"","Year","Genre","NA_Sales","EU_Sales","JP_Sales"
"81",1985,"Shooter",0.65,0.14,0.21
"82",1986,"Shooter",0.65,0.14,0.21
"144",1984,"Misc",0,0,1.45
"274",1982,"Action",0.5,0.03,0
"275",1983,"Action",0.5,0.03,0
"305",1986,"Platform",0,0,1.05
"306",1988,"Platform",0,0,1.05
"332",1989,"Puzzle",0.06,0,0
"333",1981,"Action",0.63,0.03,0
"334",1982,"Action",0.63,0.03,0
"433",1981,"Action",0.72,0.04,0
"434",1982,"Action",0.72,0.04,0
"453",1981,"Action",0.36,0.02,0
"454",1982,"Action",0.36,0.02,0
"519",1981,"Action",0.74,0.04,0
"520",1982,"Action",0.74,0.04,0
"541",1982,"Action",0.32,0.02,0
"542",1983,"Action",0.32,0.02,0
"602",1989,"Puzzle",0.96,0.38,0.55
"622",1985,"Simulation",0,0.03,0
"623",1986,"Simulation",0,0.03,0
"915",1981,"Action",0.15,0.01,0
"916",1982,"Action",0.15,0.01,0
"1093",1982,"Action",0.21,0.01,0
"1094",1983,"Action",0.21,0.01,0
"1105",1980,"Shooter",4,0.26,0
"1106",1981,"Shooter",4,0.26,0
"1124",1981,"Action",0.29,0.02,0
"1125",1982,"Action",0.29,0.02,0
"1191",1981,"Shooter",1.18,0.08,0
"1192",1982,"Shooter",1.18,0.08,0
"1397",1985,"Platform",0.39,0.09,0.43
"1398",1986,"Platform",0.39,0.09,0.43
"1422",1982,"Action",0.32,0.02,0
"1423",1983,"Action",0.32,0.02,0
"1466",1981,"Action",0.4,0.02,0
"1467",1982,"Action",0.4,0.02,0
"1478",1989,"Sports",0.66,0.27,0.65
"1479",1983,"Sports",0.73,0.1,2.35
"1673",1982,"Shooter",0.58,0.03,0
"1674",1983,"Shooter",0.58,0.03,0
"1688",1984,"Racing",0.26,0.01,0
"1689",1984,"Shooter",0.26,0.01,0
"1821",1981,"Shooter",0.68,0.04,0
"1822",1982,"Shooter",0.68,0.04,0
"2225",1985,"Puzzle",0.18,0,0.85
"2226",1989,"Puzzle",0.18,0,0.85
"2336",1980,"Fighting",0.72,0.04,0
"2437",1980,"Misc",0.25,0.02,0
"2564",1982,"Racing",0.37,0.02,0
"2565",1983,"Racing",0.37,0.02,0
"2574",1981,"Puzzle",0.55,0.03,0
"2575",1982,"Puzzle",0.55,0.03,0
"2973",1981,"Shooter",0.32,0.02,0
"2974",1982,"Shooter",0.32,0.02,0
"3073",1986,"Platform",0.54,0.06,0.62
"3074",1987,"Platform",0.54,0.06,0.62
"3083",1987,"Platform",0.45,0.06,0.42
"3084",1988,"Platform",0.45,0.06,0.42
"3085",1989,"Platform",0.4,0.07,0.37
"3161",1981,"Shooter",1.26,0.08,0
"3162",1982,"Shooter",1.26,0.08,0
"3258",1980,"Misc",0.22,0.01,0
"3322",1982,"Shooter",0.47,0.03,0
"3480",1984,"Puzzle",0.42,0.1,0.28
"3481",1985,"Puzzle",0.42,0.1,0.28
"3624",1987,"Action",0.44,0.02,0
"3625",1988,"Action",0.44,0.02,0
"3626",1986,"Action",0.71,0.16,0.25
"3677",1982,"Action",0.37,0.02,0
"3678",1983,"Action",0.37,0.02,0
"3754",1981,"Shooter",0.99,0.05,0
"3755",1982,"Shooter",0.99,0.05,0
"3872",1981,"Action",0.21,0.01,0
"3873",1982,"Action",0.21,0.01,0
"3963",1983,"Action",0.72,0.04,0
"3964",1984,"Action",0.72,0.04,0
"4014",1981,"Action",0.76,0.05,0
"4015",1982,"Action",0.76,0.05,0
"4231",1981,"Shooter",0.22,0.01,0
"4232",1982,"Shooter",0.22,0.01,0
"4485",1981,"Shooter",0.21,0.01,0
"4486",1982,"Shooter",0.21,0.01,0
"4522",1982,"Action",0.15,0.01,0
"4523",1983,"Action",0.15,0.01,0
"4580",1980,"Misc",0.99,0.05,0
"4581",1981,"Shooter",0.99,0.05,0
"4589",1987,"Shooter",0.42,0.02,0
"4590",1988,"Shooter",0.42,0.02,0
"4620",1981,"Shooter",1.99,0.12,0
"4621",1982,"Shooter",1.99,0.12,0
"4677",1987,"Shooter",0.24,0.01,0
"4821",1982,"Puzzle",1.52,0.1,0
"4822",1983,"Puzzle",1.52,0.1,0
"4823",1985,"Puzzle",0,0,0.41
"4824",1985,"Puzzle",0,0,0.41
"5123",1988,"Platform",0.82,0.23,0.35
"5124",1989,"Platform",0.91,0.3,0.42
"5282",1983,"Action",0.27,0.02,0
"5298",1981,"Platform",1.36,0.08,0
"5299",1982,"Platform",1.36,0.08,0
"5302",1983,"Platform",0.23,0.05,0.84
"5305",1988,"Platform",0.59,0.14,0.81
"5317",1983,"Platform",0.33,0.07,0.7
"5322",1981,"Platform",0.9,0.05,0
"5323",1983,"Platform",0.9,0.05,0
"5393",1986,"Action",0,0,1.15
"5415",1989,"Action",0.45,0.02,0
"5438",1989,"Puzzle",2.18,0.96,2
"5560",1988,"Role-Playing",0,0,1.25
"5561",1988,"Role-Playing",0,0,1.25
"5672",1986,"Role-Playing",0.49,0,0.52
"5701",1981,"Action",0.35,0.02,0
"5702",1982,"Action",0.35,0.02,0
"5705",1980,"Racing",0.3,0.02,0
"5849",1984,"Shooter",26.93,0.63,0.28
"6049",1981,"Action",1.84,0.11,0
"6050",1982,"Action",1.84,0.11,0
"6244",1982,"Misc",0.81,0.05,0
"6245",1983,"Racing",0.81,0.05,0
"6454",1984,"Racing",2.04,0.48,1.57
"6591",1984,"Racing",0,0,1.52
"6662",1989,"Role-Playing",0,0,1.1
"6663",1989,"Role-Playing",0,0,1.1
"6723",1989,"Sports",0,0,2.05
"6752",1981,"Action",0.32,0.02,0
"6753",1982,"Action",0.32,0.02,0
"6838",1981,"Action",0.27,0.02,0
"6839",1982,"Action",0.27,0.02,0
"7224",1987,"Role-Playing",0.32,0,0.52
"7247",1988,"Role-Playing",0,0,0.76
"7248",1988,"Role-Playing",0,0,0.76
"7380",1981,"Action",0.3,0.02,0
"7381",1982,"Action",0.3,0.02,0
"7403",1980,"Sports",0.48,0.03,0
"7596",1982,"Action",0.3,0.02,0
"7597",1983,"Action",0.3,0.02,0
"7630",1980,"Action",0.32,0.02,0
"7631",1981,"Action",0.32,0.02,0
"7645",1981,"Action",2.06,0.12,0
"7646",1982,"Action",2.06,0.12,0
"7658",1983,"Action",0.31,0.02,0
"7659",1984,"Action",0.31,0.02,0
"7682",1981,"Action",0.33,0.02,0
"7683",1982,"Action",0.33,0.02,0
"7703",1981,"Action",0.22,0.01,0
"7704",1982,"Action",0.22,0.01,0
"7727",1983,"Action",0.32,0.02,0
"7869",1982,"Shooter",0.72,0.05,0
"7870",1983,"Shooter",0.72,0.05,0
"7954",1986,"Platform",0,0,1.2
"7955",1986,"Platform",0,0,1.2
"7975",1982,"Action",0.46,0.03,0
"7976",1983,"Action",0.46,0.03,0
"7998",1987,"Role-Playing",0,0,1.25
"7999",1987,"Role-Playing",0,0,1.25
"8093",1985,"Action",0.42,0.03,0
"8094",1985,"Puzzle",0.42,0.03,0
"8108",1986,"Action",0.74,0.26,0.61
"8298",1989,"Sports",0.83,0.33,0.92
"8299",1984,"Sports",1.22,0.28,2.46
"8332",1986,"Shooter",0.27,0.08,1
"8333",1986,"Shooter",0.27,0.08,1
"8367",1981,"Racing",0.45,0.03,0
"8368",1982,"Racing",0.45,0.03,0
"8449",1982,"Action",0.35,0.02,0
"8450",1983,"Action",0.35,0.02,0
"8494",1983,"Action",0.43,0.03,0
"8495",1984,"Action",0.43,0.03,0
"8767",1985,"Puzzle",0.73,0.16,0.4
"8824",1982,"Action",0.58,0.03,0
"8825",1983,"Action",0.58,0.03,0
"9415",1984,"Shooter",0.68,0.16,0.41
"9698",1985,"Platform",0.46,0.1,0.92
"9699",1980,"Sports",0.46,0.03,0
"9700",1981,"Sports",0.46,0.03,0
"9701",1988,"Sports",1.27,0.32,0.78
"9897",1981,"Sports",0.18,0.01,0
"9898",1982,"Sports",0.18,0.01,0
"10160",1981,"Action",0.42,0.03,0
"10161",1982,"Action",0.42,0.03,0
"10474",1982,"Platform",1.01,0.06,0
"10475",1983,"Platform",1.01,0.06,0
"10476",1983,"Puzzle",0.72,0.05,0
"10477",1984,"Puzzle",0.72,0.05,0
"10515",1982,"Platform",1.03,0.06,0
"10516",1983,"Platform",1.03,0.06,0
"10685",1980,"Misc",1.07,0.07,0
"10686",1981,"Action",1.07,0.07,0
"10768",1982,"Platform",0.67,0.04,0
"10769",1983,"Platform",0.67,0.04,0
"10832",1980,"Fighting",0.44,0.03,0
"10937",1982,"Action",0.62,0.04,0
"10938",1983,"Action",0.62,0.04,0
"10943",1986,"Platform",0.53,0.12,1.09
"11053",1981,"Action",0.65,0.04,0
"11054",1982,"Action",0.65,0.04,0
"11165",1989,"Puzzle",0.14,0.01,0
"11288",1982,"Action",0.13,0.01,0
"11289",1983,"Action",0.13,0.01,0
"11294",1985,"Action",1.64,0.38,1.42
"11319",1987,"Action",0.6,0.04,0
"11403",1981,"Action",0.37,0.02,0
"11911",1984,"Puzzle",0,0,1.1
"11912",1987,"Puzzle",0,0,1.1
"12384",1983,"Misc",0.01,0,2.13
"12569",1984,"Platform",0,0,0.69
"12570",1984,"Platform",0,0,0.69
"12608",1982,"Platform",1.48,0.09,0
"12609",1983,"Platform",1.48,0.09,0
"12610",1983,"Platform",0.51,0.12,1.63
"12924",1987,"Platform",0.45,0.08,0.27
"12930",1988,"Action",0.93,0.15,0.42
"13036",1981,"Shooter",1.03,0.06,0
"13037",1982,"Shooter",1.03,0.06,0
"13236",1986,"Action",1.33,0.31,1.04
"13322",1983,"Action",0.47,0.03,0
"13323",1984,"Action",0.47,0.03,0
"13358",1987,"Fighting",2.03,0.47,0.45
"13363",1983,"Shooter",0.45,0.03,0
"13364",1984,"Shooter",0.45,0.03,0
"13454",1980,"Shooter",2.56,0.17,0
"13455",1981,"Shooter",2.56,0.17,0
"13859",1982,"Shooter",1.05,0.06,0
"13860",1983,"Shooter",1.05,0.06,0
"14029",1982,"Action",0.29,0.02,0
"14030",1983,"Action",0.29,0.02,0
"14032",1981,"Action",0.38,0.02,0
"14033",1982,"Action",0.38,0.02,0
"14041",1982,"Action",0.26,0.02,0
"14042",1983,"Action",0.26,0.02,0
"14043",1983,"Action",0.15,0.01,0
"14044",1984,"Action",0.15,0.01,0
"14054",1981,"Puzzle",1.54,0.1,0
"14055",1982,"Puzzle",1.54,0.1,0
"14685",1986,"Action",0,0,0.57
"15716",1986,"Platform",0,0,1.5
"16193",1982,"Puzzle",7.28,0.45,0
"16194",1984,"Puzzle",0.27,0.08,0.85
"16416",1983,"Adventure",0.38,0.02,0
"16417",1984,"Action",0.38,0.02,0
"16612",1981,"Simulation",0.42,0.02,0
"16613",1982,"Shooter",0.42,0.02,0
"16665",1984,"Action",0.8,0.19,0.83
"16731",1983,"Platform",1.22,0.07,0
"16741",1981,"Platform",4.21,0.24,0
"16742",1982,"Platform",4.21,0.24,0
"16863",1982,"Action",0.26,0.02,0
"16864",1983,"Action",0.26,0.02,0
"16869",1982,"Racing",1.1,0.07,0
"16870",1983,"Racing",1.1,0.07,0
"16915",1982,"Platform",0.5,0.03,0
"16916",1983,"Platform",0.5,0.03,0
"16917",1983,"Platform",0.51,0.12,0.45
"16934",1982,"Action",0.23,0.01,0
"16935",1983,"Action",0.23,0.01,0
"17057",1982,"Action",0.14,0.01,0
"17058",1983,"Action",0.14,0.01,0
"17270",1987,"Fighting",0.77,0.18,1.42
"17271",1986,"Sports",0.15,0,2.05
"17517",1982,"Puzzle",0.55,0.03,0
"17518",1983,"Puzzle",0.55,0.03,0
"17579",1988,"Sports",0.15,0,2.05
"17590",1988,"Racing",1.47,0.38,0.19
"17616",1986,"Racing",1.13,0.37,0.41
"17645",1981,"Action",0.46,0.03,0
"17646",1982,"Action",0.46,0.03,0
"17680",1988,"Action",0.22,0.01,0
"17681",1989,"Action",0.22,0.01,0
"17854",1981,"Action",0.21,0.01,0
"17855",1982,"Action",0.21,0.01,0
"17894",1981,"Sports",0.2,0.01,0
"17895",1982,"Sports",0.2,0.01,0
"17896",1986,"Sports",0.28,0.02,0
"17897",1987,"Sports",0.28,0.02,0
"17898",1981,"Sports",0.24,0.01,0
"17899",1982,"Sports",0.24,0.01,0
"17900",1982,"Sports",0.46,0.03,0
"17901",1983,"Sports",0.46,0.03,0
"17902",1981,"Sports",0.12,0.01,0
"17903",1982,"Sports",0.12,0.01,0
"18250",1981,"Shooter",1.49,0.09,0
"18251",1982,"Shooter",1.49,0.09,0
