"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","28 Waves Later","PC",2018,"Action-Adventure","Unknown",0,0,0,0,0
"2","A Plague Tale: Innocence","PC",2019,"Action-Adventure","Focus Home Interactive",0,0,0,0,0
"3","A Plague Tale: Innocence","PS4",2019,"Action-Adventure","Focus Home Interactive",0,0,0,0,0
"4","A Plague Tale: Innocence","XOne",2019,"Action-Adventure","Focus Home Interactive",0,0,0,0,0
"5","Adventure Time: Explore the Dungeon Because I Don't Know!","3DS",2013,"Action-Adventure","D3Publisher",0.1,0.04,0,0.01,0.16
"6","Adventure Time: Explore the Dungeon Because I Don't Know!","PC",2014,"Action-Adventure","D3Publisher",0,0,0,0,0
"7","Adventure Time: Explore the Dungeon Because I Don't Know!","PS3",2013,"Action-Adventure","D3Publisher",0.02,0.02,0,0.01,0.05
"8","Adventure Time: Explore the Dungeon Because I Don't Know!","WiiU",2013,"Action-Adventure","D3Publisher",0.02,0.02,0,0,0.04
"9","Adventure Time: Explore the Dungeon Because I Don't Know!","X360",2013,"Action-Adventure","D3Publisher",0.03,0.04,0,0.01,0.08
"10","Adventure Time: The Secret of the Nameless","3DS",2014,"Action-Adventure","Little Orbit",0.01,0,0,0,0.02
"11","ãƒ¬ãƒŸãƒ­ã‚¢~å°‘å¥³ã¨ç•°ä¸–ç•Œã¨é­”å°Žæ›¸","NS",1998,"Action-Adventure","Unknown",0,0,0,0,0
"12","Agony","PS4",2018,"Action-Adventure","Maximum Games",0.02,0,0,0,0.03
"13","Agony","XOne",2018,"Action-Adventure","Maximum Games",0.02,0,0,0,0.02
"14","Akiba's Trip Plus","PSP",2012,"Action-Adventure","Acquire",0,0,0.08,0,0.08
"15","Alan Wake: The Signal","XBL",2010,"Action-Adventure","Microsoft Game Studios",0,0,0,0,0
"16","Alan Wake: The Writer","XBL",2010,"Action-Adventure","Microsoft Game Studios",0,0,0,0,0
"17","Alan Wake's American Nightmare","XBL",2012,"Action-Adventure","Microsoft Studios",0,0,0,0,0
"18","Anodyne","And",2013,"Action-Adventure","Analgesic Productions",0,0,0,0,0
"19","Anodyne","iOS",2013,"Action-Adventure","Analgesic Productions",0,0,0,0,0
"20","Anodyne","Linux",2013,"Action-Adventure","Analgesic Productions",0,0,0,0,0
"21","Anodyne","NS",2019,"Action-Adventure","Analgesic Productions",0,0,0,0,0
