"","Global_Sales"
"5",0.16
"7",0.05
"8",0.04
"9",0.08
"10",0.02
"12",0.03
"13",0.02
"14",0.08
"28",0.08
"34",0.04
"36",0.89
"37",6.5
"38",0.36
"39",5.31
"44",0.63
"45",3.94
"46",3.19
"47",0.29
"48",3.34
"52",0.06
"53",3.18
"54",1.39
"56",0.15
"57",0.04
"58",0.06
"60",0.04
"71",2.4
"72",0.32
"73",1.9
"74",0.27
"77",0.48
"83",0.03
"84",0.03
"97",0.02
"106",0.16
"111",0.2
"112",0.09
"115",0.07
"116",0.2
"118",0.21
"119",0.06
"121",0.71
"133",0.85
"134",0.16
"135",0.79
"136",0.24
"137",0.08
"140",0.11
"141",0.03
"142",0.04
"147",0.16
"156",0.05
"157",0.35
"158",0.67
"160",1.04
"161",0.75
"162",0.08
"163",0.7
"164",1.11
"165",0.55
"167",0.07
"179",0.04
"180",0.03
"188",0.27
"189",0.25
"190",0.01
"191",0.25
"192",2.73
"193",1
"194",0.11
"199",0.6
"200",0.35
"201",0.16
"202",0.02
"210",0.05
"211",0.03
"214",0.51
"215",0.22
"218",0.01
"219",0.04
"220",0.04
"221",0.28
"222",0.1
"223",0.19
"224",0.08
"225",0.18
"239",0.09
"240",0.02
"246",0.22
"247",0.16
"248",1.98
"249",1.01
"251",0.56
"252",0.29
"254",0.02
"255",2.41
"256",0.01
"257",0.03
"258",0.16
"259",0.86
"261",0.71
"264",0.01
"265",1.23
"266",0.37
"267",1.42
"268",0.12
"269",1.69
"270",0.44
"272",0.46
"273",0.3
"274",0.41
"275",0.34
"276",0.31
"277",0.28
"279",0.35
"280",1.31
"281",0.18
"282",0.29
"283",0.24
"284",0.5
"285",0.25
"287",0.05
"288",0.47
"289",0.62
"290",0.16
"291",0.23
"292",0.46
"293",0.27
"294",0.41
"300",2.87
"301",1.11
"309",0.01
"316",0.59
"317",1.2
"318",0.14
"319",0.27
"321",0.16
"322",0.39
"324",0.56
"327",0.04
"337",0.14
"338",0.33
"339",0.1
"340",0.17
"341",0.16
"345",2.26
"346",0.23
"353",0.14
"354",0.39
"355",0.29
"356",0.15
"357",0.07
"359",0.01
"361",0.03
"372",0.03
"373",0.02
"375",0.87
"377",0.07
"378",0.02
"379",0.03
"380",0.01
"382",0.76
"383",0.03
"389",0.05
"390",0.03
"392",0.26
"395",13.94
"396",5.77
"399",0.02
"407",0.1
"408",0.05
"417",0.37
"418",0.1
"419",0.02
"422",0.27
"423",0.05
"425",0.14
"433",0.96
"435",1.2
"437",1.74
"438",0.78
"441",0.27
"442",0.07
"445",0.28
"450",0.43
"451",0.45
"452",0.59
"453",0.55
"454",0.4
"455",0.2
"456",0.23
"457",0.75
"459",1.04
"460",0.87
"461",0.2
"462",0.31
"463",0.3
"469",0.25
"470",0.06
"474",0.06
"475",0.05
"476",0.02
"477",0.1
"480",0.03
"481",0.25
"482",0.21
"483",0.57
"484",0.1
"485",0.1
"489",0.46
"491",0.21
"501",0.45
"502",0.1
"503",0.69
"504",0.21
"506",0.2
"509",0.8
"511",0.16
"512",0.09
"513",0.74
"514",0.06
"515",0.01
"516",0.27
"517",0.56
"518",0.06
"519",0.25
"520",0.22
"537",1.29
"538",6.27
"549",0.72
"551",0.98
"552",0.71
"553",0.31
"554",0.66
"555",1.32
"556",0.65
"557",0.04
"567",0.21
"568",0.98
"569",0.13
"570",1
"571",1.51
"572",0.66
"587",0.49
"588",1.83
"589",4.32
"590",0.13
"591",1.29
"592",1.64
"593",0.14
"594",0.09
"605",0.05
"607",0.05
