"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1",".hack: Sekai no Mukou ni + Versus","PS3",2012,"Action","Namco Bandai Games",0,0,0.03,0,0.03
"2","[Prototype]","PC",2009,"Action","Activision",0,0,0,0,0
"3","[Prototype]","PS3",2009,"Action","Activision",0.65,0.41,0,0.19,1.24
"4","[Prototype]","PSN",2010,"Action","Activision",0,0,0,0,0
"5","[Prototype]","X360",2009,"Action","Activision",0.84,0.35,0,0.12,1.31
"6","#IDARB","XOne",2015,"Action","Other Ocean Interactive",0,0,0,0,0
"7","#killallzombies","PS4",2015,"Action","Beatshapers",0,0,0,0,0
"8","007: License To Kill","PC",1989,"Action","Domark Software",0,0,0,0,0
"9","007: Quantum of Solace","DS",2008,"Action","Activision",0.11,0.01,0,0.01,0.14
"10","007: Quantum of Solace","PC",2008,"Action","Activision",0.01,0.01,0,0,0.03
"11","007: Quantum of Solace","PS2",2008,"Action","Activision",0.17,0,0,0.26,0.43
"12","007: Quantum of Solace","PS3",2008,"Action","Activision",0.43,0.52,0.02,0.2,1.16
"13","007: Quantum of Solace","Wii",2008,"Action","Activision",0.3,0.29,0.01,0.07,0.67
"14","007: Quantum of Solace","X360",2008,"Action","Activision",0.82,0.52,0.01,0.14,1.49
"15","007: The World is not Enough","GB",2001,"Action","Electronic Arts",0,0,0,0,0
"16","007: The World is not Enough","N64",2000,"Action","Electronic Arts",1.13,0.38,0.02,0.03,1.55
"17","007: The World is not Enough","PS",2000,"Action","Electronic Arts",0.51,0.35,0,0.06,0.92
"18","10 Second Run RETURNS","NS",2018,"Action","Blue Print",0,0,0,0,0
"19","10,000 Games","PC",2007,"Action","Viva Media",0,0,0,0,0
"20","10.000 Bullets","PS2",2005,"Action","505 Games",0,0,0,0,0
"21","100 Bullets","PS3",2019,"Action","Unknown",0,0,0,0,0
"22","100 DOORS : HELL PRISON ESCAPE","And",2014,"Action","100 Gates",0,0,0,0,0
"23","100 Doors 3","And",2014,"Action","MPI Games",0,0,0,0,0
"24","100 Doors Brain Teasers","And",2014,"Action","Unknown",0,0,0,0,0
"25","100 Doors Seasons - Part 1","And",2014,"Action","Unknown",0,0,0,0,0
"26","100 Doors Seasons - Part 2","And",2014,"Action","Unknown",0,0,0,0,0
"27","100 Washitsu ""room escape game""","And",2014,"Action","Unknown",0,0,0,0,0
"28","100 Wiki Quiz","And",2015,"Action","Unknown",0,0,0,0,0
"29","100-Yen Gomibako","PSN",NA,"Action","Unknown",0,0,0,0,0
"30","100% Pascal Sensei: Kanpeki Paint Bombers","3DS",2017,"Action","Konami Digital Entertainment",0,0,0.03,0,0.03
"31","1000 Games","PC",2006,"Action","Avanquest Software",0,0,0,0,0
"32","1000 Tiny Claws","PSN",2011,"Action","Mediatonic",0,0,0,0,0
"33","1001 Crosswords","DS",2012,"Action","Mastertronic",0,0,0,0,0
"34","1001 Spikes","WiiU",2014,"Action","Nicalis",0,0,0,0,0
"35","1001 Touch Games","DS",2011,"Action","Avanquest",0.12,0.17,0,0.04,0.33
"36","1001 Touch Games","DS",2011,"Action","Unknown",0.11,0.17,0,0.03,0.31
"37","16 Shot! Shooting Watch","DSiW",2010,"Action","Hudson Soft",0,0,0,0,0
"38","1950s Lawn Mower Kids","DSiW",2011,"Action","Unknown",0,0,0,0,0
"39","2 Days to Vegas","PC",NA,"Action","Unknown",0,0,0,0,0
"40","2 Days to Vegas","PS3",NA,"Action","Unknown",0,0,0,0,0
"41","2 Days to Vegas","X360",NA,"Action","Unknown",0,0,0,0,0
"42","2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures","GBA",2007,"Action","THQ",1.26,0.47,0,0.03,1.76
"43","2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2","GBA",2005,"Action","THQ",0.22,0.08,0,0.01,0.31
"44","2 Games in 1: Finding Nemo & Finding Nemo: The Continuing Adventures","GBA",2005,"Action","THQ",0,0,0,0,0
"45","2 Games in 1: Finding Nemo & The Incredibles","GBA",2020,"Action","Unknown",0,0,0,0,0
"46","2 Games in 1: LEGO Knights' Kingdom + Bionicle","GBA",2005,"Action","THQ",0,0,0,0,0
"47","2Dark","PC",2015,"Action","Unknown",0,0,0,0,0
"48","3 Words: Summer","And",2014,"Action","Apprope",0,0,0,0,0
"49","3-Demon","PC",NA,"Action","Unknown",0,0,0,0,0
"50","300: March to Glory","PSN",2009,"Action","Warner Bros. Interactive",0,0,0,0,0
"51","300: March to Glory","PSP",2007,"Action","Warner Bros. Interactive",0.27,0.08,0,0.07,0.41
"52","300: March to Glory","PSP",2007,"Action","Warner Bros. Interactive Entertainment",0.27,0.08,0,0.06,0.41
"53","3D Bug Attack","PC",1999,"Action","Unknown",0,0,0,0,0
"54","3D Classics: TwinBee","3DS",2011,"Action","Nintendo",0,0,0,0,0
"55","3D Frog Frenzy","PC",1999,"Action","Unknown",0,0,0,0,0
"56","3D Maze Man: Amazing Adventures","PC",1998,"Action","eGames",0,0,0,0,0
"57","3D Ms. Maze Tropical Adventures","PC",1998,"Action","Webfoot Technologies",0,0,0,0,0
"58","3rd Space Incursion","PC",NA,"Action","Unknown",0,0,0,0,0
"59","3rd Super Robot Wars Z: Tengoku-Hen","PS3",2015,"Action","Namco Bandai Games",0,0,0.16,0,0.16
"60","3rd Super Robot Wars Z: Tengoku-Hen","PSV",2015,"Action","Namco Bandai Games",0,0,0.2,0,0.2
"61","3x3 Eyes: Juuma Houkan","SNES",1995,"Action","Banpresto",0,0,0,0,0
"62","3Xtreme","PS",1999,"Action","989 Studios",0.5,0.34,0,0.06,0.9
"63","4 Clues 1 Word","And",2014,"Action","Unknown",0,0,0,0,0
"64","4 Get It","PC",NA,"Action","Unknown",0,0,0,0,0
"65","4 Pics 1 Word: Allegory","And",2014,"Action","Unknown",0,0,0,0,0
"66","4 Pics 1 Word: Close Up","And",2014,"Action","Unknown",0,0,0,0,0
"67","4 Pics Mystery: Evolution","And",2014,"Action","Unknown",0,0,0,0,0
"68","4 Pics Mystery: Renaissance","And",2014,"Action","Unknown",0,0,0,0,0
"69","4 Pics Mystery: Revolution","And",2014,"Action","Unknown",0,0,0,0,0
"70","4 Pics Mystery: Variety","And",2014,"Action","Unknown",0,0,0,0,0
"71","5 Elements Masters","PC",NA,"Action","Unknown",0,0,0,0,0
"72","50 Cent: Bulletproof","PS2",2005,"Action","Vivendi Games",0.85,0.76,0,0.16,1.77
"73","50 Cent: Bulletproof","PSP",2006,"Action","Vivendi Games",0.08,0,0,0.01,0.09
"74","50 Cent: Bulletproof","XB",2005,"Action","Vivendi Games",0.33,0.1,0,0.02,0.44
"75","7 Blades","PS2",2001,"Action","Konami",0,0,0,0,0
"76","7 Days to Die","PC",2013,"Action","The Fun Pimps",0,0,0,0,0
