"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","_summer ##","PS2",2006,"Adventure","GN Software",0,0,0,0,0
"2","...Iru!","PS",1998,"Adventure","Takara",0,0,0,0,0
"3","@Simple DL Series Vol. 1 : THE Misshitsu kara no Dasshutsu: Fushigi na Kumadonaru Burger Hen","3DS",2011,"Adventure","D3 Publisher",0,0,0,0,0
"4","@Simple DS Series Vol. 1: The Misshitsukara no Dasshutsu","DSiW",2009,"Adventure","D3 Publisher",0,0,0,0,0
"5","@Simple DS Series Vol. 2: The Misshitsukara no Dasshutsu - Gakkou-hen","DSiW",2009,"Adventure","D3 Publisher",0,0,0,0,0
"6","@Simple DS Series Vol. 4: The Misshitsukara no Dasshutsu - Karakuri Yashiki","DSiW",2010,"Adventure","D3 Publisher",0,0,0,0,0
"7","@Simple DS Series Vol. 6: The Misshitsukara no Dasshutsu: s Sky Tower Hen","DSiW",2010,"Adventure","D3 Publisher",0,0,0,0,0
"8","1/2 Summer +","PSP",2013,"Adventure","Kaga Create",0,0,0.01,0,0.01
"9","1001 Nights: The Adventures of Sindbad","MS",NA,"Adventure","Unknown",0,0,0,0,0
"10","10101: ""Will"" the Starship","PS",1997,"Adventure","Sound Technology",0,0,0,0,0
"11","11eyes: CrossOver","PSP",2010,"Adventure","5pb",0,0,0.02,0,0.02
"12","11eyes: CrossOver","X360",2009,"Adventure","5pb",0,0,0.02,0,0.02
"13","12-Sai. Honto no Kimochi","3DS",2014,"Adventure","Happinet",0,0,0.07,0,0.07
"14","12-Sai. Koisuru Diary","3DS",2016,"Adventure","Happinet",0,0,0.08,0,0.08
"15","12Riven: The Psi-Climinal of Integral","PC",2008,"Adventure","CyberFront",0,0,0,0,0
"16","12Riven: The Psi-Climinal of Integral","PS2",2008,"Adventure","CyberFront",0,0,0.04,0,0.04
"17","12Riven: The Psi-Climinal of Integral","PSP",2009,"Adventure","CyberFront",0,0,0,0,0
"18","13 Sentinels: Aegis Rim","PS4",2019,"Adventure","Atlus",0,0,0,0,0
"19","15 Days","PC",2009,"Adventure","DTP Entertainment",0,0.01,0,0,0.01
"20","19:03 Ueno Hatsu Yakou Ressha","PS",1999,"Adventure","Visit",0,0,0,0,0
"21","1954: Alcatraz","PC",2014,"Adventure","Unknown",0,0,0,0,0
"22","20-Seiki Alice","PC",2000,"Adventure","Alice Soft",0,0,0,0,0
"23","2064: Read Only Memories","Linux",2015,"Adventure","MidBoss",0,0,0,0,0
"24","2064: Read Only Memories","OSX",2015,"Adventure","MidBoss",0,0,0,0,0
"25","2064: Read Only Memories","PC",2015,"Adventure","MidBoss",0,0,0,0,0
"26","2064: Read Only Memories","PS4",2017,"Adventure","MidBoss",0,0,0,0,0
"27","2064: Read Only Memories","PSV",2017,"Adventure","MidBoss",0,0,0,0,0
"28","2064: Read Only Memories","XOne",2017,"Adventure","MidBoss",0,0,0,0,0
"29","2064: Read Only Memories INTEGRAL","NS",2018,"Adventure","MidBoss",0,0,0,0,0
"30","21: TwoOne","DC",2001,"Adventure","Princess Soft",0,0,0,0,0
"31","221 B Baker St.","PC",1986,"Adventure","Unknown",0,0,0,0,0
"32","24: The Game","PS2",2006,"Adventure","2K Games",0.15,0.12,0,0.04,0.3
"33","24: The Game","PS2",2006,"Adventure","Sony Computer Entertainment",0.15,0.12,0,0.04,0.3
"34","2400 A.D.","PC",1987,"Adventure","Origin Systems",0,0,0,0,0
"35","3x3 Eyes: Kyuusei Koushu","PS",1995,"Adventure","Xing Entertainment",0,0,0,0,0
"36","3x3 Eyes: Kyuusei Koushu S","SAT",1996,"Adventure","Nippon Create",0,0,0,0,0
"37","3x3 Eyes: Sanjiyan Henjou","PCE",1994,"Adventure","NEC",0,0,0,0,0
"38","3X3 Eyes: Tenrinou Genmu","PS",1998,"Adventure","King Records",0,0,0,0,0
"39","428: Fuusa Sareta Shibuya de","PS3",2009,"Adventure","Spike",0,0,0.02,0,0.02
"40","428: Fuusa Sareta Shibuya de","PSN",2011,"Adventure","ChunSoft",0,0,0,0,0
"41","428: Fuusa Sareta Shibuya de","PSP",2009,"Adventure","Spike",0,0,0.04,0,0.04
"42","428: Fuusa Sareta Shibuya de","Wii",2008,"Adventure","Sega",0,0,0.13,0,0.13
"43","4PM","OSX",2014,"Adventure","4PM Game LTD",0,0,0,0,0
"44","4PM","PC",2014,"Adventure","4PM Game LTD",0,0,0,0,0
"45","7'scarlet","PSV",2018,"Adventure","Aksys Games",0,0,0.02,0,0.02
