"","Global_Sales"
"8",0.01
"11",0.02
"12",0.02
"13",0.07
"14",0.08
"16",0.04
"19",0.01
"32",0.3
"33",0.3
"39",0.02
"41",0.04
"42",0.13
"45",0.02
"48",0.04
"49",0.04
"51",0.43
"52",0.37
"61",0.06
"64",0.02
"65",0.02
"68",0.01
"74",0.04
"75",0.02
"76",0.03
"77",0.03
"78",0.02
"79",0.01
"80",0.26
"81",0.76
"82",0.7
"91",1.3
"92",1.3
"97",0.03
"98",0.02
"99",0.04
"100",0.02
"101",0.01
"102",0.08
"106",0.06
"113",0.21
"114",0.22
"118",0.07
"119",0.07
"124",0.08
"125",0.02
"126",0.02
"129",0.09
"131",0.01
"132",0.01
"133",0.1
"134",0.1
"135",0.02
"139",0.02
"140",0.08
"141",0.05
"147",0.08
"148",0.08
"153",0.13
"154",0.13
"155",0.02
"160",0.02
"162",0.01
"163",0.06
"174",0.01
"175",0.02
"176",0.02
"178",0.03
"181",0.01
"182",0.01
"183",0.08
"184",0.23
"185",0.07
"186",0.14
"187",0.01
"188",0.08
"193",0.02
"204",0.04
"205",0.03
"208",0.5
"210",0.53
"215",0.12
"216",0.6
"217",0.5
"221",0.14
"222",0.33
"223",1.09
"224",0.29
"225",0.52
"230",0.01
"231",0.06
"232",0.18
"233",0.49
"235",0.18
"237",0.01
"241",0.14
"242",0.31
"243",0.31
"248",0.16
"249",0.16
"256",0.13
"257",0.15
"258",0.04
"259",0.02
"262",0.03
"263",0.24
"267",0.11
"269",0.46
"272",0.02
"275",0.04
"276",0.03
"301",0.06
"302",0.06
"304",0.03
"308",0.08
"320",0.06
"335",0.02
"340",0.01
"341",1.06
"342",0.99
"347",0.02
"348",0.04
"356",0.01
"358",0.02
"359",0.01
"360",0.02
"361",0.05
"364",0.14
"365",0.14
"367",0.04
"368",0.05
"369",0.02
"370",0.02
"371",0.02
"375",0.05
"385",0.03
"392",0.01
"395",0.92
"396",4.83
"397",5.55
"399",1.48
"403",0.02
"414",0.04
"418",0.34
"420",0.5
"424",0.11
"425",0.28
"427",0.13
"428",0.25
"429",0.19
"455",0.04
"457",0.04
"458",0.04
"459",0.04
"463",0.09
"464",0.18
"466",0.06
"467",0.03
"468",0.02
"481",0.01
"482",0.01
"483",0.02
"484",0.02
"490",0.01
"493",0.13
"495",0.23
"496",0.13
"498",0.31
"499",0.23
"501",0.12
"502",0.45
"503",0.02
"504",0.02
"506",0.11
"514",0.12
"515",0.12
"516",0.19
"517",0.07
"518",0.07
"519",0.07
"520",0.05
"521",0.18
"522",0.26
"523",0.55
"530",0.02
"541",0.07
"543",0.33
"544",0.1
"552",0.01
"555",1.79
"567",0.01
"576",0.05
"577",0.03
"578",0.05
"579",0.2
"583",0.01
"594",0.15
"595",0.15
"596",0.08
"597",0.04
"599",0.09
"606",0.04
"609",0.1
"620",0.4
"621",0.41
"622",0.08
"624",0.19
"626",0.07
"627",0.1
"632",0.62
"634",0.26
"635",0.19
"636",0.57
"637",0.25
"639",0.17
"640",0.17
"641",0.25
"642",0.25
"647",0.03
"656",0.02
"657",0.02
"659",0.57
"661",0.28
"662",0.26
"664",1.48
"665",0.01
"666",0.21
"667",0.01
"668",0.12
"669",0.12
"677",0.07
"678",0.02
"680",0.06
"681",0.06
"683",0.24
"684",0.17
"686",0.06
"690",0.02
"691",0.02
"693",0.03
"697",0.15
"700",0.05
"702",0.21
"713",0.01
"716",0.06
"717",0.06
"719",0.12
"720",0.11
"728",0.02
"730",0.01
"731",0.01
"735",0.01
"736",0.03
"737",0.03
"738",0.03
"739",0.01
"740",0.01
"743",0.02
"744",0.06
"745",0.02
"747",0.01
"748",0.01
"749",0.01
"750",0.83
"754",0.02
"755",0.02
"766",0.04
"769",0.1
"770",0.1
"772",0.08
"773",0.08
"774",0.72
"775",0.32
"776",0.02
"783",0.01
"784",0.01
"785",0.05
"787",0.04
"788",0.03
"789",0.02
"790",0.01
"791",0.04
"796",0.3
"797",0.3
"798",0.18
"799",0.18
"801",0.35
"802",0.35
"803",0.11
"804",0.11
"809",0.19
"810",0.19
"811",0.39
"812",0.39
"817",0.13
"818",0.04
"819",0.03
"820",0.03
"825",0.01
"827",0.2
"828",0.01
"829",0.08
"830",0.05
"841",0.04
"842",0.03
"843",0.04
"844",0.03
"846",0.03
"848",0.02
"849",0.43
"850",0.43
"851",0.89
"852",0.89
"853",0.7
"854",0.01
"860",0.53
"861",0.53
"864",0.33
"865",0.33
"867",0.17
"868",0.17
"869",0.12
"871",0.04
"875",0.22
"877",0.1
"878",0.08
"879",0.09
"880",0.11
"886",0.02
"887",0.02
"888",3.16
"889",0.67
"890",0.06
"891",0.06
"892",0.07
"893",0.07
"894",0.08
"895",0.02
"898",0.12
