"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","Billion Road","NS",2018,"Board Game","Bandai Namco Games",0,0,0.01,0,0.01
"2","Carcassonne","NS",2018,"Board Game","Asmodee Digital",0,0,0,0,0
"3","Catan Universe","NS",2019,"Board Game","Asmodee Digital",0,0,0,0,0
"4","Chess Ultra","NS",2017,"Board Game","Ripstone",0,0,0,0,0
"5","Conduct Exam","CD32",2019,"Board Game","Unknown",0,0,0,0,0
"6","Fable Fortune","PC",2018,"Board Game","Mediatonic",0,0,0,0,0
"7","Fable Fortune","XOne",2018,"Board Game","Mediatonic",0,0,0,0,0
"8","Monopoly for Nintendo Switch","NS",2017,"Board Game","Ubisoft",0.06,0.22,0.01,0.02,0.3
"9","Munchkin","NS",2019,"Board Game","Asmodee Digital",0,0,0,0,0
"10","Othello","NS",2017,"Board Game","Arc System Works",0,0,0,0,0
"11","Pandemic","NS",2019,"Board Game","Asmodee Digital",0,0,0,0,0
"12","Physical Contact: SPEED","NS",2017,"Board Game","Collavier Corporation",0,0,0,0,0
"13","Poisoft Thud Card","NS",2018,"Board Game","Poisoft",0,0,0,0,0
"14","The Lord of the Rings: Living Card Game","NS",2019,"Board Game","Asmodee Digital",0,0,0,0,0
"15","UNO","NS",2017,"Board Game","Ubisoft",0,0,0,0,0
"16","Wily & Right no RockBoard: That's Paradise","NES",NA,"Board Game","Unknown",0,0,0,0,0
