"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","3-D Body Adventure","PC",1994,"Education","Knowledge Adventure",0,0,0,0,0
"2","3D Dinosaur Adventure","MSD",NA,"Education","Unknown",0,0,0,0,0
"3","3D Dinosaur Adventure","PC",NA,"Education","Unknown",0,0,0,0,0
"4","Brain Age: Concentration Training","3DS",2013,"Education","Nintendo",0.08,0,0,0.01,0.09
"5","Fisher Price: Time to Play Pet Shop","PC",2001,"Education","Knowledge Adventure",0,0,0,0,0
"6","Influent","PC",2014,"Education","Three Flip Studios",0,0,0,0,0
"7","It's Spring Again","PC",2007,"Education","Unknown",0,0,0,0,0
"8","Jump*Start 1st Grade","PC",1995,"Education","Unknown",0,0,0,0,0
"9","Jump*Start Kindergarten","PC",1994,"Education","Unknown",0,0,0,0,0
"10","Jump*Start Math for Second Graders","PC",1996,"Education","Unknown",0,0,0,0,0
"11","Knowledge Adventure: The Game","PC",NA,"Education","Unknown",0,0,0,0,0
"12","Minna no Doubutsu Shogi","NS",2019,"Education","Silver Star Japan",0,0,0,0,0
