"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","3 Count Bout","NG",1993,"Fighting","SNK",0,0,0,0,0
"2","3 Count Bout","VC",2011,"Fighting","D4 Enterprise",0,0,0,0,0
"3","3 Count Bout (CD)","NG",1995,"Fighting","SNK",0,0,0,0,0
"4","3D Classics: Urban Champion","3DS",2011,"Fighting","Nintendo",0,0,0,0,0
"5","64 Oozumou","N64",1997,"Fighting","Bottom Up",0,0,0,0,0
"6","64 Oozumou 2","N64",1999,"Fighting","Bottom Up",0,0,0,0,0
"7","Aa Harimanada","GB",1993,"Fighting","ASK",0,0,0,0,0
"8","Aa Harimanada","GEN",1993,"Fighting","Sega",0,0,0,0,0
"9","Aa Harimanada","GG",1993,"Fighting","Sega",0,0,0,0,0
"10","AAA: El Videojuego","DS",NA,"Fighting","Unknown",0,0,0,0,0
"11","AAA: El Videojuego","PS3",NA,"Fighting","Unknown",0,0,0,0,0
"12","AAA: El Videojuego","PSP",NA,"Fighting","Unknown",0,0,0,0,0
"13","AAA: El Videojuego","Wii",NA,"Fighting","Unknown",0,0,0,0,0
"14","AAA: El Videojuego","X360",NA,"Fighting","Unknown",0,0,0,0,0
"15","ACA NEOGEO ART OF FIGHTING","NS",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"16","ACA NEOGEO ART OF FIGHTING","PS4",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"17","ACA NEOGEO ART OF FIGHTING","XOne",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"18","ACA NEOGEO ART OF FIGHTING 2","NS",2018,"Fighting","Hamster Corporation",0,0,0,0,0
"19","ACA NEOGEO ART OF FIGHTING 2","PS4",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"20","ACA NEOGEO ART OF FIGHTING 2","XOne",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"21","ACA NEOGEO ART OF FIGHTING 3","NS",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"22","ACA NEOGEO ART OF FIGHTING 3","XOne",2018,"Fighting","Hamster Corporation",0,0,0,0,0
"23","ACA NEOGEO FATAL FURY","NS",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"24","ACA NEOGEO FATAL FURY","PS4",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"25","ACA NEOGEO FATAL FURY","XOne",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"26","ACA NEOGEO FATAL FURY 2","NS",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"27","ACA NEOGEO FATAL FURY 2","PS4",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"28","ACA NEOGEO FATAL FURY 2","XOne",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"29","ACA NEOGEO FATAL FURY 3","NS",2018,"Fighting","Hamster Corporation",0,0,0,0,0
"30","ACA NEOGEO FATAL FURY 3","PS4",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"31","ACA NEOGEO FATAL FURY 3","XOne",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"32","ACA NEOGEO FATAL FURY SPECIAL","NS",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"33","ACA NEOGEO FATAL FURY SPECIAL","PS4",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"34","ACA NEOGEO FATAL FURY SPECIAL","XOne",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"35","ACA NEOGEO GALAXY FIGHT: UNIVERSAL WARRIORS","NS",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"36","ACA NEOGEO GALAXY FIGHT: UNIVERSAL WARRIORS","PS4",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"37","ACA NEOGEO GALAXY FIGHT: UNIVERSAL WARRIORS","XOne",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"38","ACA NEOGEO GAROU: MARK OF THE WOLVES","NS",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"39","ACA NEOGEO KARNOV'S REVENGE","NS",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"40","ACA NEOGEO KARNOV'S REVENGE","PS4",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"41","ACA NEOGEO KARNOV'S REVENGE","XOne",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"42","ACA NEOGEO REAL BOUT FATAL FURY","NS",2018,"Fighting","Hamster Corporation",0,0,0,0,0
"43","ACA NEOGEO REAL BOUT FATAL FURY","PS4",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"44","ACA NEOGEO REAL BOUT FATAL FURY","XOne",2017,"Fighting","Hamster Corporation",0,0,0,0,0
"45","ACA NEOGEO REAL BOUT FATAL FURY 2","XOne",2018,"Fighting","Hamster Corporation",0,0,0,0,0
"46","ACA NEOGEO REAL BOUT FATAL FURY SPECIAL","NS",2018,"Fighting","Hamster Corporation",0,0,0,0,0
