"","Global_Sales"
"109",0.15
"110",0.1
"111",0.06
"113",0.2
"114",0.2
"117",0.03
"123",0.16
"124",0.16
"125",0.2
"126",0.2
"128",0.06
"129",0.05
"142",0.04
"143",0.04
"144",0.04
"148",0.01
"166",0.28
"167",0.12
"168",0.6
"169",0.17
"179",0.14
"185",1.27
"186",1.27
"188",0.71
"189",0.71
"191",0.27
"192",0.27
"193",0.12
"194",0.12
"195",0.03
"196",0.03
"200",0.01
"201",0.01
"203",0.09
"204",0.09
"212",0.09
"213",0.09
"214",0.15
"215",0.15
"222",0.01
"231",0.27
"232",0.27
"233",0.12
"234",0.05
"235",0.05
"236",0.16
"237",0.16
"239",0.03
"240",0.03
"243",0.04
"244",0.02
"245",0.08
"246",0.08
"248",0.01
"249",0.01
"250",0.57
"251",0.58
"252",0.36
"253",0.36
"255",0.11
"256",0.11
"260",0.12
"261",0.17
"263",0.29
"264",0.32
"265",0.11
"267",0.04
"268",0.16
"269",0.03
"270",0.08
"271",0.41
"272",0.41
"273",0.32
"274",0.32
"282",0.09
"283",0.01
"284",0.12
"286",0.11
"287",0.11
"289",0.13
"290",0.13
"291",0.07
"293",0.08
"295",0.09
"296",0.05
"297",0.06
"298",0.15
"299",0.16
"300",0.1
"301",0.1
"302",0.09
"304",0.07
"305",0.08
"306",0.08
"307",0.09
"309",0.08
"310",0.33
"311",0.32
"312",0.05
"313",0.03
"314",0.5
"315",0.51
"316",0.46
"317",0.45
"318",0.06
"320",0.39
"321",0.39
"323",0.35
"324",0.35
"325",0.09
"326",0.09
"327",0.04
"328",0.46
"329",0.46
"331",0.18
"333",0.11
"334",0.11
"335",0.36
"338",0.77
"339",0.07
"341",0.07
"345",0.01
"350",0.31
"354",0.1
"355",0.1
"361",1.16
"362",0.68
"363",0.68
"366",0.01
"368",0.01
"370",0.2
"371",0.04
"373",0.22
"374",0.22
"375",0.11
"376",0.1
"377",0.75
"378",0.12
"380",0.05
"381",0.15
"382",0.15
"383",0.1
"384",0.1
"385",0.07
"386",0.09
"387",0.07
"388",0.16
"389",0.18
"390",0.12
"391",0.12
"404",0.21
"411",0.55
"412",0.55
"415",0.12
"416",0.12
"418",0.03
"419",0.03
"420",0.37
"421",0.33
"422",0.17
"423",0.16
"425",0.39
"429",0.42
"430",0.42
"431",0.04
"438",0.02
"439",0.02
"440",0.04
"441",0.04
"444",0.15
"445",0.15
"447",0.19
"450",0.15
"451",0.15
"452",0.03
"457",0.28
"458",0.28
"459",0.18
"460",0.18
"461",0.14
"462",0.14
"463",1
"464",1
"465",1.77
"468",0.47
"469",0.65
"470",0.65
"471",0.33
"472",0.1
"473",0.33
"474",0.32
"475",0.08
"478",0.35
"480",0.1
"481",0.1
"487",0.5
"488",0.5
"489",0.45
"490",0.45
"491",0.04
"492",0.04
"493",0.04
"494",0.04
"499",0.04
"501",0.04
"504",0.25
"505",0.25
"506",1.94
"507",1.94
"508",0.22
"509",1.76
"510",0.54
"511",0.54
"512",0.16
"513",0.19
"514",0.18
"515",0.15
"516",0.03
"517",0.07
"518",0.07
"520",0.1
"521",0.07
"523",0.15
"524",0.15
"526",0.02
"527",0.02
"528",0.04
"529",0.04
"530",0.09
"531",0.09
"532",0.02
"533",0.02
"538",0.89
"540",0.46
"542",2.25
"545",0.06
"547",0.11
"548",0.11
"554",0.1
"555",0.1
"556",0.04
"557",0.04
"558",0.44
"560",1.46
"561",0.52
"562",0.27
"563",0.27
"564",0.29
"565",0.34
"566",0.09
"567",0.09
"569",1.45
"570",1.45
"571",0.01
"572",0.21
"573",0.21
"574",0.33
"575",0.12
"576",0.08
"577",0.69
"578",3.09
"579",0.27
"580",2.41
"581",1.94
"582",1.66
"583",0.79
"584",0.3
"585",3
"586",1.04
"587",0.86
"588",0.49
"589",0.35
"591",0.19
"592",0.19
"593",0.15
"594",0.15
"595",0.36
"596",0.36
"597",1.2
"598",1.2
"599",0.21
"600",0.46
"601",0.24
"603",0.55
"605",0.44
"606",0.09
"607",0.09
"608",0.51
"609",0.5
"610",1.08
"611",0.27
"612",0.27
"614",0.62
"615",0.62
"616",0.54
"617",0.54
"618",0.73
"619",0.73
"620",0.1
"621",0.1
"623",0.77
"624",0.77
"625",0.51
"626",0.51
"627",0.83
"628",0.83
"629",0.64
"630",0.64
"632",0.52
"634",0.28
"635",0.35
"645",0.05
"646",0.05
"650",0.37
"651",0.38
"653",0.35
"654",0.36
"655",1.11
"656",0.48
"657",0.11
"658",0.11
"661",0.22
"662",0.48
"663",0.48
"664",0.3
"665",0.3
"671",0.1
"672",0.25
"673",0.25
"674",0.17
"675",0.17
"676",0.19
"677",0.19
"679",0.22
"681",0.11
"682",0.11
"684",0.08
"685",0.08
"686",0.07
"688",0.03
"692",0.39
"693",0.39
"698",0.45
"699",0.45
"709",0.56
"710",0.56
"714",0.04
"715",0.04
"716",0.01
"717",0.01
"718",0.07
"719",0.07
"720",0.01
"721",0.01
"724",0.05
"725",0.05
"727",0.08
"728",0.06
"729",0.14
"732",0.05
"733",0.18
"734",0.18
"735",0.11
"736",0.11
"738",1.48
"739",1.48
"740",0.68
"741",0.68
"742",1.13
"743",1.15
"744",0.78
"745",0.8
"746",0.17
"747",0.17
"748",0.87
"749",0.87
"750",0.6
"751",0.6
"753",0.67
"754",0.67
"755",1.56
"756",1.56
"757",1.67
"758",1.67
"760",0.52
"761",0.52
"762",1.47
"763",1.47
"764",0.33
"765",0.33
"767",1.52
"768",1.53
"769",1.4
"770",1.41
"772",0.05
"773",0.05
"774",0.17
"775",0.17
"776",0.07
"777",0.07
"778",0.19
"782",0.16
"783",0.62
"784",0.62
"785",0.61
"790",1.32
"796",0.4
"797",0.4
"798",0.04
"799",0.04
"801",0.21
"802",0.21
"807",0.09
"809",0.12
"810",0.13
"811",0.13
"818",0.19
"820",0.12
"825",0.3
"826",0.02
"827",0.06
"829",0.1
"830",0.1
"837",0.6
"838",0.6
"840",0.2
"841",0.2
"842",0.32
"843",0.32
"844",0.29
"845",0.29
"846",0.02
"850",0.05
"851",0.22
"852",0.22
"855",0.04
"856",0.04
"862",0.05
"869",0.1
"870",0.1
"881",0.16
"882",0.71
"883",0.12
"884",0.12
"885",0.28
"887",0.47
"888",0.14
"890",0.05
"891",0.05
"894",0.1
"897",0.14
"898",0.14
"902",0.01
"905",0.05
"906",0.05
"908",0.1
"909",0.1
"912",0.16
"913",0.16
"917",0.12
"919",0.06
"920",0.35
"921",0.35
"923",0.15
"924",0.15
"927",0.11
"928",0.07
"929",0.14
"930",0.07
"933",0.1
"935",0.21
"936",0.18
"937",0.17
"938",0.16
"940",0.04
"941",0.04
"942",0.04
"943",0.04
"944",0.06
"945",0.06
"947",0.08
"948",0.08
"949",0.03
"950",0.03
"953",0.08
"954",0.23
"955",0.23
"957",0.26
"958",0.26
"959",0.08
"960",0.08
"961",0.14
"962",0.14
"965",0.06
"966",0.03
"971",0.21
"972",0.02
"978",0.05
"983",0.13
"984",0.13
"987",0.02
"989",1.72
"990",0.89
"992",1.28
"993",0.87
"994",0.14
"995",0.2
"996",1.42
"997",0.98
"998",0.13
"1004",0.11
"1005",0.11
"1006",0.27
"1007",0.27
"1008",0.14
"1009",0.02
"1011",0.32
"1012",0.31
"1013",0.26
"1014",0.06
"1016",0.02
"1017",0.02
"1018",0.06
"1019",0.58
"1020",0.58
"1021",0.04
"1022",0.03
"1023",0.04
"1029",0.55
"1030",0.74
"1034",0.01
"1035",0.01
"1036",0.24
"1037",0.24
"1041",0.05
"1046",0.03
"1047",0.11
"1048",0.11
"1050",0.05
"1051",0.12
"1052",0.12
"1053",0.15
"1054",0.1
"1055",0.03
"1056",0.05
"1057",0.05
"1058",0.06
"1059",0.07
"1060",0.06
"1061",0.08
"1062",0.47
"1063",0.47
"1074",0.04
"1075",0.04
"1076",0.02
"1077",0.02
"1078",0.06
"1079",0.08
"1080",0.08
"1081",0.06
"1082",0.03
"1084",0.07
"1085",0.07
"1086",0.39
"1087",0.39
"1088",0.07
"1089",0.08
"1090",0.02
"1091",0.02
"1095",0.54
"1096",0.54
"1101",3.2
"1103",0.06
"1104",0.11
"1107",0.82
"1109",0.06
"1110",0.12
"1111",0.01
"1112",0.26
"1113",0.26
"1116",0.04
"1117",0.05
"1118",0.05
"1119",0.07
"1120",0.07
"1126",0.33
"1131",1.52
"1132",1.52
"1133",0.92
"1134",0.92
"1135",1.41
"1136",1.41
"1137",0.41
"1138",0.41
"1139",0.56
"1140",0.56
"1143",0.03
"1148",0.28
"1151",0.13
"1152",0.13
"1154",0.03
"1155",0.06
"1156",0.55
"1157",0.4
"1158",0.13
"1159",0.76
"1160",0.14
"1161",0.07
"1162",0.12
"1163",0.33
"1164",0.13
"1168",0.11
"1169",0.1
"1172",0.05
"1173",0.05
"1174",0.19
"1175",0.19
"1179",0.01
"1180",0.12
"1181",0.02
"1182",0.01
"1189",0.08
"1190",0.38
"1191",0.77
"1192",0.32
"1193",0.28
"1194",0.42
"1195",0.29
"1196",0.21
"1197",0.38
"1198",0.34
"1199",0.34
"1200",0.06
"1201",0.26
"1202",0.26
"1204",0.14
"1205",0.76
"1207",0.14
"1209",1.36
"1210",1.08
"1211",0.1
"1212",0.78
"1213",0.78
"1215",0.7
"1216",0.34
"1221",0.11
"1223",0.06
"1230",3.02
"1231",0.01
"1233",0.42
"1234",0.42
"1235",0.41
"1236",0.41
"1237",0.63
"1238",0.63
"1242",2.67
"1243",2.67
"1246",0.03
"1247",1.56
"1248",2.85
"1249",0.76
"1252",1.14
"1253",2.11
"1254",2.9
"1255",0.71
"1256",2.12
"1262",1.34
"1263",1.34
"1267",0.55
"1268",1.53
"1269",1.53
"1271",0.73
"1272",0.73
"1273",1.46
"1274",1.46
"1286",1.93
"1287",1.93
"1288",0.03
"1289",2.39
"1290",0.08
"1292",0.4
"1293",0.68
"1294",0.96
"1295",0.96
"1297",2.79
"1298",2.79
"1300",2.05
"1302",1.99
"1304",0.05
"1305",3.49
"1306",1.74
"1310",1.06
"1311",0.25
"1313",0.01
"1314",0.41
"1315",2.49
"1316",0.96
"1317",0.11
"1318",1.88
"1319",0.76
"1328",0.21
"1329",0.01
"1331",0.74
"1334",0.76
"1335",0.21
"1336",0.07
"1337",0.05
"1338",0.26
"1340",0.3
"1341",0.14
"1342",0.16
"1343",0.16
"1344",0.03
"1345",0.12
"1346",0.51
"1347",0.06
"1348",0.15
"1349",0.15
"1350",0.37
"1351",0.37
"1352",0.08
"1353",0.66
"1354",0.66
"1355",0.17
"1356",0.17
"1357",0.38
"1358",0.38
"1359",0.35
"1360",0.35
"1362",1.22
"1363",0.78
"1364",0.79
"1365",0.96
"1366",0.52
"1369",1.06
"1370",0.35
"1371",0.01
"1372",0.74
"1373",0.45
"1375",0.16
"1376",0.14
"1378",0.47
"1379",0.23
"1380",0.03
"1383",0.1
"1384",0.09
"1385",0.07
"1386",0.68
"1387",0.68
"1388",0.21
"1389",0.21
"1390",1.04
"1391",1.04
"1392",1.02
"1393",0.39
"1394",0.44
"1395",0.33
"1396",0.23
"1397",0.19
"1398",0.19
"1399",0.31
"1400",0.3
"1401",0.32
"1402",0.32
"1403",0.61
"1404",0.57
"1405",0.57
"1406",0.36
"1407",0.36
"1408",0.44
"1409",0.06
"1410",0.06
"1411",0.26
"1412",0.16
"1413",0.16
"1414",1.07
"1415",1.08
"1418",0.03
"1419",0.33
"1420",0.33
"1427",0.34
"1428",0.34
"1431",0.01
"1432",0.02
"1433",0.04
"1434",0.05
"1435",0.02
"1436",0.02
"1439",0.04
"1446",0.65
"1447",0.12
"1448",0.19
"1449",0.08
"1450",0.08
"1451",0.35
"1452",0.35
"1453",0.36
"1454",0.36
"1455",0.49
"1456",0.49
"1457",0.04
"1458",0.12
"1459",0.12
"1460",0.12
"1470",0.16
"1471",0.16
"1472",0.77
"1473",0.13
"1474",0.14
"1475",0.09
"1476",0.74
"1477",0.13
"1480",0.04
"1481",0.04
"1489",0.99
"1490",0.5
"1491",0.23
"1492",0.23
"1494",0.03
"1498",0.93
"1510",0.14
"1511",0.14
"1513",0.3
"1514",0.3
"1521",0.11
"1522",0.11
"1526",2.4
"1533",0.16
"1538",0.05
"1554",0.05
"1555",0.05
"1556",0.01
"1557",0.01
"1560",0.24
"1561",0.52
"1562",0.81
"1570",0.1
"1573",0.06
"1578",0.14
"1596",0.52
"1598",0.03
"1599",0.03
"1605",0.09
"1606",0.09
"1608",0.86
"1609",0.86
"1610",0.15
"1611",0.15
"1615",0.01
"1616",0.39
"1617",0.39
"1618",0.13
"1619",0.13
"1621",0.06
"1622",0.06
"1623",0.06
"1628",0.01
"1629",0.07
"1631",0.05
"1632",0.3
"1633",0.04
"1634",0.04
"1637",0.05
"1638",0.05
"1643",0.07
"1649",0.4
"1654",0.15
"1655",0.15
"1657",0.09
"1658",0.09
"1659",0.06
"1660",0.06
"1661",0.01
"1662",0.01
"1663",0.25
"1667",0.08
"1672",0.08
"1673",0.08
"1676",0.02
"1677",0.02
"1679",0.01
"1680",0.01
"1682",0.2
"1688",0.03
"1689",0.03
"1692",0.26
"1693",0.25
"1694",0.11
"1697",0.16
"1714",0.05
"1715",0.03
"1724",0.01
"1725",0.33
"1727",0.27
"1728",0.23
"1732",0.02
"1733",0.01
"1734",0.04
"1735",0.04
"1736",0.02
"1737",0.02
"1738",0.06
"1739",0.06
"1740",0.13
"1741",0.13
"1742",0.3
"1743",0.12
"1744",0.06
"1745",0.06
"1746",0.06
"1747",0.07
"1754",1.51
"1755",1.51
"1760",0.02
"1761",0.01
"1766",0.05
"1767",0.02
"1769",1.59
"1770",0.01
"1772",0.34
"1773",0.34
"1775",1.5
"1776",1.5
"1778",2.06
"1779",1
"1780",1
"1781",0.13
"1782",0.03
"1783",1.07
"1784",1.07
"1786",1.47
"1788",1.59
"1789",0.76
"1790",0.76
"1791",0.59
"1792",0.59
"1794",0.71
"1795",0.3
"1797",0.51
"1798",0.51
"1802",0.02
"1803",0.3
"1804",0.3
"1808",0.06
"1809",0.07
"1814",0.19
"1816",0.24
"1817",0.07
"1820",0.85
"1821",0.85
"1823",0.32
"1824",0.32
"1825",0.17
"1826",0.17
"1829",0.15
"1830",1.03
"1834",0.33
"1835",0.24
"1837",0.76
"1838",0.76
"1840",0.35
"1841",0.66
"1842",0.15
"1843",0.15
"1844",0.1
"1845",0.11
"1846",0.11
"1847",0.75
"1848",0.75
"1849",0.23
"1850",0.23
"1851",0.85
"1852",0.85
"1854",4.1
"1857",6.3
"1863",1.66
"1871",0.13
"1872",0.13
"1873",4.19
"1874",2.95
"1877",0.07
"1878",1.39
"1880",0.21
"1881",0.02
