"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","Aberoth","PC",2015,"MMO","Jarbit",0,0,0,0,0
"2","Angel Love Online","PS3",2011,"MMO","Q Entertainment",0,0,0,0,0
"3","Angel Love Online","PSN",2008,"MMO","Q Entertainment",0,0,0,0,0
"4","ATLAS","PC",2018,"MMO","Studio Wildcard",0,0,0,0,0
"5","ATLAS","XOne",2019,"MMO","Studio Wildcard",0,0,0,0,0
"6","Bit Heroes","PC",2017,"MMO","Kongregate",0,0,0,0,0
"7","Black Desert","XOne",2019,"MMO","Pearl Abyss",0,0,0,0,0
"8","Black Desert Online","PC",2016,"MMO","Kakao Games",0,0,0,0,0
"9","Bless Online","PC",2013,"MMO","Unknown",0,0,0,0,0
"10","Closers","PC",2016,"MMO","En Masse Entertainment",0,0,0,0,0
"11","Closers","PS4",2019,"MMO","En Masse Entertainment",0,0,0,0,0
"12","DC Universe Online","PC",2011,"MMO","Sony Online Entertainment",0.16,0.06,0,0.02,0.23
"13","DC Universe Online","PS3",2011,"MMO","Sony Online Entertainment",0.35,0.11,0,0.06,0.51
"14","DC Universe Online","PS4",2013,"MMO","Sony Online Entertainment",0,0,0,0,0
"15","DC Universe Online","PSN",2011,"MMO","Sony Online Entertainment",0,0,0,0,0
"16","Dragon Quest X","3DS",2014,"MMO","Square Enix",0,0,0.17,0,0.17
"17","Dragon Quest X","PC",2013,"MMO","Square Enix",0,0,0,0,0
"18","Dragon Quest X","Wii",2011,"MMO","Unknown",0,0,0.97,0,0.97
"19","Dragon Quest X","WiiU",2013,"MMO","Square Enix",0,0,0.42,0,0.42
"20","Dragon Quest X: 5000-nen no Harukanaru Kokyou e Online","NS",2017,"MMO","Square Enix",0,0,0.03,0,0.03
"21","Dragon Quest X: 5000-nen no Harukanaru Kokyou e Online","WiiU",2017,"MMO","Square Enix",0,0,0.03,0,0.03
"22","Dragon Quest X: All in One Package","NS",2017,"MMO","Square Enix",0,0,0.04,0,0.04
"23","Dragon Quest X: All in One Package","WiiU",2015,"MMO","Square Enix",0,0,0.02,0,0.02
"24","Dragon Quest X: All in One Package Ver.1-4","NS",2018,"MMO","Square Enix",0,0,0.03,0,0.03
"25","Dragon Quest X: All in One Package Ver.1-4","PC",2018,"MMO","Square Enix",0,0,0,0,0
"26","Dragon Quest X: All in One Package Ver.1-4","PS4",2018,"MMO","Square Enix",0,0,0.01,0,0.01
"27","Dragon Quest X: All in One Package Ver.1-4","WiiU",2018,"MMO","Square Enix",0,0,0,0,0
"28","Dragon Quest X: Inishie no Ryuu no Denshou Online","WiiU",2015,"MMO","Square Enix",0,0,0,0,0
"29","Dragon's Prophet","PC",2018,"MMO","Sony Online Entertainment",0,0,0,0,0
"30","EverQuest Next","PC",2019,"MMO","Sony Online Entertainment",0,0,0,0,0
"31","EverQuest Next","PS4",2019,"MMO","Sony Online Entertainment",0,0,0,0,0
