"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1",".deTuned","PSN",2009,"Misc","Sony Computer Entertainment",0,0,0,0,0
"2",".hack: Sekai no Mukou ni + Versus","PS3",2012,"Misc","Namco Bandai Games",0,0,0.03,0,0.03
"3","@field","PSV",2012,"Misc","Sonic Powered",0,0,0,0,0
"4","0 Kara no Shogi: Shogi Youchien Ayumi Kumi R","PS",2000,"Misc","Affect",0,0,0,0,0
"5","0 Kara no Shogi: Shogi Youchien Ayumi Kumi R","PSN",2010,"Misc","Affect",0,0,0,0,0
"6","0-ji no Kane to Cinderella: Halloween Wedding","PSP",2013,"Misc","Quinrose",0,0,0.01,0,0.01
"7","0x10c","OSX",2014,"Misc","Unknown",0,0,0,0,0
"8","0x10c","PC",2014,"Misc","Unknown",0,0,0,0,0
"9","1 vs. 100","DS",2008,"Misc","DSI Games",0.08,0,0,0.01,0.09
"10","1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)","PC",2011,"Misc","Dejobaan Games",0,0,0,0,0
"11","1/2 Summer +","PSP",2013,"Misc","Kaga Create",0,0,0.01,0,0.01
"12","100 Classic Books","DS",2008,"Misc","Nintendo",0.13,0.52,0,0.02,0.67
"13","100 Classic Books","DS",2010,"Misc","Nintendo",0.12,0.52,0,0.02,0.67
"14","100 Classic Games","DS",2011,"Misc","Rondomedia",0,0.03,0,0,0.04
"15","100 Doors 2013","And",2012,"Misc","Gipnetix Games",0,0,0,0,0
"16","100 Manyen Quiz Hunter","PS",1998,"Misc","FPS",0,0,0,0,0
"17","1000 Cooking Recipes from ELLE a table","DS",2010,"Misc","Nintendo",0,0.02,0,0,0.03
"18","1001 Nights: The Adventures of Sindbad","PC",NA,"Misc","Unknown",0,0,0,0,0
"19","1001 Nights: The Adventures of Sindbad","PSP",2011,"Misc","Alawar Entertainment",0,0,0,0,0
"20","101 Drinking Games","And",2014,"Misc","G5 Entertainment",0,0,0,0,0
"21","101 Penguin Pets 3D","3DS",2013,"Misc","SelectSoft",0,0,0,0,0
"22","101 Pinball World","DSi",2012,"Misc","SelectSoft",0,0,0,0,0
"23","101-in-1 Explosive Megamix","DS",2009,"Misc","Atlus",0.05,0.13,0,0.02,0.19
"24","101-in-1 Megamix","PSN",2010,"Misc","Nordcurrent",0,0,0,0,0
"25","101-in-1 Party Megamix Wii","Wii",2009,"Misc","Atlus",0.19,0.01,0,0.02,0.22
"26","101-in-1 Party Megamix Wii","Wii",2009,"Misc","Nordcurrent",0.19,0.01,0,0.02,0.23
"27","13-Sai no Hello Work DS","DS",2008,"Misc","Digital Works Entertainment",0,0,0,0,0
