"","Global_Sales"
"2",0.03
"6",0.01
"9",0.09
"11",0.01
"12",0.67
"13",0.67
"14",0.04
"17",0.03
"23",0.19
"25",0.22
"26",0.23
"48",0.93
"50",1.75
"51",1.83
"53",0.61
"54",0.06
"59",0.12
"60",0.53
"61",0.53
"62",0.02
"77",0.08
"96",0.23
"97",0.19
"98",0.12
"102",1.45
"105",0.02
"121",0.02
"122",0.01
"123",0.55
"128",0.22
"129",0.22
"133",0.02
"147",1.37
"148",0.31
"171",0.8
"176",0.01
"182",0.16
"183",0.24
"184",0.28
"185",0.23
"203",0.05
"204",0.05
"206",0.05
"209",0.5
"212",0.06
"238",0.01
"279",0.09
"280",0.07
"281",0.04
"294",0.01
"299",0.01
"300",0.01
"304",0.4
"305",0.4
"306",0.01
"307",0.01
"308",0.41
"309",0.41
"310",0.11
"315",0.04
"316",0.04
"346",0.18
"347",0.24
"348",0.24
"369",0.14
"371",0.07
"372",0.05
"373",0.06
"374",0.11
"375",0.11
"376",0.1
"377",0.09
"378",0.1
"379",0.11
"380",0.29
"381",0.3
"382",0.1
"383",0.1
"387",0.04
"392",0.02
"398",0.12
"399",0.08
"400",0.22
"402",0.55
"409",0.05
"410",0.01
"413",0.03
"414",0.18
"446",0.42
"459",0.01
"460",0.02
"478",0.01
"480",0.01
"494",0.04
"498",0.33
"499",0.14
"500",0.08
"505",0.11
"510",0.01
"511",0.01
"531",0.11
"534",0.16
"536",0.02
"537",0.02
"538",0.04
"547",0.07
"548",0.07
"551",0.53
"552",0.53
"554",0.09
"555",0.21
"556",0.39
"558",0.55
"570",0.01
"583",2.57
"584",0.02
"585",0.49
"638",0.04
"648",0.18
"651",0.18
"652",0.18
"654",0.4
"655",0.25
"656",0.09
"657",0.04
"658",0.07
"659",0.06
"660",0.06
"661",0.06
"662",0.06
"663",0.05
"667",0.14
"668",0.06
"670",0.05
"715",0.03
"727",0.05
"746",0.34
"753",0.03
"754",0.03
"759",0.01
"760",0.01
"761",0.02
"780",0.45
"781",0.41
"782",0.76
"783",0.99
"784",0.8
"788",0.21
"791",0.56
"792",0.15
"793",0.15
"794",0.46
"795",0.26
"828",0.02
"832",0.01
"844",0.03
"845",0.03
"846",0.08
"849",0.08
"861",0.11
"862",0.09
"875",0.09
"877",0.04
"880",0.04
"881",0.26
"882",0.27
"883",0.93
"886",0.03
"893",0.23
"894",0.23
"897",6.67
"899",3.82
"900",0.23
"901",0.03
"917",0.03
"918",0.03
"919",0.03
"936",0.32
"937",0.32
"938",0.06
"949",0.09
"950",0.1
"957",0.14
"966",0.05
"980",0.01
"984",0.16
"1005",0.5
"1006",0.08
"1008",0.02
"1009",0.02
"1014",0.2
"1015",0.2
"1023",0.16
"1025",0.06
"1026",0.06
"1027",0.17
"1028",0.17
"1036",0.27
"1037",0.19
"1038",0.5
"1039",0.24
"1042",0.66
"1054",0.32
"1055",0.65
"1056",0.75
"1068",0.27
"1069",20.22
"1071",0.13
"1072",0.13
"1073",0.45
"1078",0.01
"1080",0.07
"1081",0.11
"1082",0.01
"1084",0.04
"1085",0.17
"1088",0.54
"1089",0.54
"1090",0.2
"1092",0.38
"1097",0.01
"1101",0.01
"1112",0.27
"1118",0.22
"1120",0.24
"1123",0.03
"1124",0.03
"1135",0.07
"1136",0.07
"1137",0.15
"1138",0.01
"1143",0.01
"1150",0.54
"1151",0.54
"1152",0.26
"1153",0.26
"1165",0.17
"1170",0.41
"1171",0.41
"1176",0.23
"1177",0.23
"1180",0.9
"1182",0.9
"1184",0.93
"1185",0.01
"1186",0.92
"1187",1.49
"1188",0.78
"1189",0.78
"1190",0.88
"1191",1.61
"1192",0.2
"1194",0.34
"1199",0.02
"1200",0.02
"1201",0.11
"1202",0.18
"1203",0.1
"1223",0.77
"1224",0.07
"1225",0.07
"1228",0.25
"1240",0.01
"1244",0.16
"1248",0.01
"1249",0.31
"1257",0.18
"1265",0.2
"1266",0.2
"1267",0.01
"1268",0.02
"1274",0.51
"1275",0.15
"1278",0.33
"1280",0.3
"1284",0.02
"1303",0.07
"1304",0.07
"1313",0.07
"1314",0.07
"1323",2.04
"1324",2.05
"1325",4.06
"1326",4.1
"1327",0.32
"1328",0.33
"1329",0.09
"1330",0.23
"1335",0.52
"1337",0.05
"1338",0.05
"1339",0.65
"1340",0.65
"1341",0.32
"1342",0.32
"1344",0.15
"1345",0.15
"1346",0.25
"1347",0.25
"1348",0.08
"1349",0.08
"1353",0.06
"1395",0.07
"1396",0.07
"1420",0.15
"1429",0.03
"1430",0.04
"1433",0.03
"1434",0.24
"1436",0.04
"1440",0.01
"1453",0.04
"1455",0.39
"1456",0.13
"1458",0.16
"1460",0.12
"1462",0.01
"1464",0.08
"1477",0.07
"1482",0.07
"1491",0.01
"1494",0.15
"1495",0.01
"1510",0.01
"1514",0.13
"1515",0.18
"1516",0.17
"1517",0.06
"1523",0.07
"1545",0.04
"1561",0.07
"1562",0.07
"1569",0.52
"1578",0.03
"1591",0.01
"1601",0.96
"1602",3.5
"1606",0.02
"1613",0.06
"1614",0.06
"1624",0.04
"1625",0.04
"1626",0.17
"1627",0.17
"1639",0.07
"1646",0.05
"1667",0.27
"1668",0.27
"1687",0.04
"1695",0.01
"1696",0.08
"1698",0.07
"1705",0.68
"1706",0.67
"1707",0.46
"1708",0.46
"1713",0.14
"1716",3.39
"1717",0.09
"1718",0.09
"1719",0.12
"1720",0.12
"1721",0.08
"1739",0.06
"1740",0.16
"1741",0.27
"1742",0.14
"1779",0.01
"1783",0.16
"1796",0.01
"1798",0.02
"1810",0.02
"1814",0.03
"1818",0.03
"1819",0.19
"1820",0.18
"1822",0.03
"1823",0.01
"1824",0.11
"1826",0.02
"1827",0.1
"1829",0.06
"1831",0.02
"1832",0.04
"1833",0.06
"1835",0.03
"1836",0.03
"1837",0.01
"1840",3.19
"1841",2.04
"1842",0.83
"1846",0.02
"1847",0.03
"1848",0.47
"1855",0.09
"1856",1.05
"1857",0.12
"1858",0.12
"1862",0.39
"1863",0.06
"1864",0.06
"1876",0.02
"1877",0.02
"1878",0.02
"1880",0.22
"1881",0.24
"1882",0.2
"1883",0.19
"1884",0.46
"1886",0.16
"1887",0.16
"1888",0.24
"1889",0.39
"1890",0.39
"1891",0.19
"1892",0.26
"1893",0.24
"1894",0.41
"1910",0.02
"1915",0.01
"1916",0.03
"1917",0.01
"1923",0.09
"1924",0.09
"1925",0.02
"1926",0.04
"1939",0.79
"1943",0.2
"1944",0.17
"1948",0.01
"1949",1.72
"1950",1.71
"1952",0.01
"1953",0.01
"1954",1.31
"1955",0.04
"1957",0.2
"1958",0.01
"1961",0.03
"1975",0.14
"1976",0.13
"1979",0.35
"1980",0.33
"1981",0.33
"1982",0.35
"1983",0.3
"1984",0.29
"1985",1.05
"1986",0.11
"1987",0.4
"1988",0.09
"2015",0.17
"2032",0.01
"2036",1.94
"2039",0.04
"2040",0.02
"2041",0.03
"2051",0.2
"2054",0.03
"2057",0.01
"2058",0.01
"2068",0.02
"2094",0.08
"2099",0.16
"2100",0.22
"2104",0.2
"2105",0.11
"2106",0.11
"2108",0.29
"2110",0.03
"2111",0.46
"2114",1.05
"2115",0.02
"2116",1.66
"2117",1.53
"2118",0.13
"2119",0.41
"2121",0.5
"2122",0.4
"2123",1.2
"2124",0.43
"2125",0.17
"2126",0.61
"2127",0.12
"2128",0.65
"2129",0.34
"2130",0.26
"2131",1.49
"2132",0.45
"2133",0.45
"2134",0.4
"2135",0.4
"2136",0.6
"2137",0.59
"2138",0.1
"2140",0.24
"2141",0.24
"2142",0.17
"2143",0.61
"2147",0.4
"2148",0.01
"2149",0.07
"2150",0.05
"2151",0.05
"2152",0.21
"2154",0.15
"2155",0.15
"2156",1.23
"2160",0.01
"2176",0.32
"2177",0.91
"2178",0.78
"2179",1.09
"2180",0.78
"2181",0.63
"2182",0.83
"2185",0.13
"2191",0.03
"2192",0.03
"2194",0.01
"2197",0.01
"2199",0.02
"2204",0.01
"2209",0.01
"2211",0.04
"2214",0.01
"2215",0.1
"2216",0.04
"2217",1.07
"2220",0.01
"2232",1.15
"2235",0.39
"2236",0.39
"2247",0.58
"2248",0.48
"2251",0.43
"2252",0.43
"2253",0.09
"2254",0.09
"2255",0.26
"2256",0.27
"2257",0.26
"2258",0.26
"2259",0.09
"2260",0.09
"2261",0.04
"2262",0.04
"2263",0.1
"2264",0.11
"2265",0.1
"2266",0.1
"2273",0.01
"2275",0.04
"2276",0.05
"2277",0.04
"2279",0.04
"2315",0.56
"2316",0.11
"2320",0.17
"2321",0.17
"2322",0.29
"2323",0.24
"2324",0.01
"2325",0.46
"2336",0.11
"2342",0.01
"2351",0.32
"2353",0.08
"2354",0.08
"2355",0.01
"2361",0.15
"2368",0.02
"2369",0.01
"2370",0.02
"2371",0.07
"2372",0.02
"2373",0.02
"2374",0.04
"2377",0.03
"2378",0.03
"2380",0.14
"2381",0.14
"2382",0.19
"2383",0.05
"2385",0.24
"2387",0.07
"2388",0.07
"2394",0.15
"2398",0.05
"2399",0.05
"2409",0.56
"2410",0.26
"2416",0.2
"2417",0.1
"2422",0.16
"2423",0.07
"2448",0.22
"2449",0.29
"2450",0.29
"2451",0.01
"2452",0.01
"2461",0.01
"2462",0.01
"2464",0.02
"2480",0.29
"2482",0.33
"2488",0.61
"2489",0.09
"2490",0.21
"2491",0.16
"2492",0.31
"2493",0.12
"2498",0.01
"2499",0.03
"2502",0.17
"2503",0.17
"2513",0.06
"2520",0.07
"2540",0.01
"2541",0.01
"2542",0.15
"2543",0.15
"2550",0.03
"2573",0.38
"2576",0.02
"2577",0.02
"2591",0.87
"2595",3.33
"2596",0.1
"2597",0.1
"2599",0.02
"2605",0.19
"2606",0.12
"2630",0.03
"2634",0.03
"2636",0.12
"2644",0.22
"2648",0.22
"2649",0.25
"2650",0.25
"2651",0.17
"2652",0.17
"2653",0.1
"2654",0.1
"2656",0.07
"2657",0.07
"2658",0.06
"2659",0.06
"2660",0.02
"2661",0.02
"2665",0.01
"2666",0.03
"2669",0.32
"2670",0.32
"2676",0.1
"2678",4.2
"2679",0.38
"2680",0.38
"2687",0.18
"2688",0.18
"2700",0.19
"2701",0.19
"2719",0.04
"2726",0.44
"2737",0.17
"2738",0.27
"2739",0.64
"2740",0.2
"2741",0.11
"2742",0.05
"2743",0.13
"2744",0.12
"2745",0.19
"2746",0.08
"2749",0.09
"2750",0.09
"2756",0.09
"2757",0.1
"2758",0.16
"2759",0.16
"2760",0.33
"2761",0.33
"2768",0.07
"2769",0.15
"2794",0.14
"2797",0.12
"2821",0.63
"2823",0.1
"2832",0.11
"2872",0.31
"2888",3.84
"2904",0.06
"2905",0.06
"2909",0.03
"2929",0.04
"2946",0.44
"2947",0.44
"2970",0.5
"2971",0.07
"2972",0.03
"2979",0.03
"2981",0.02
"2988",0.13
"2989",0.13
"3009",0.66
"3013",0.19
"3017",0.06
"3018",0.06
"3061",0.01
"3065",0.04
"3066",0.04
"3071",0.05
"3072",0.05
"3073",0.04
"3078",0.05
"3081",0.08
"3083",1.21
"3084",1.21
"3086",0.17
"3087",0.17
"3092",0.03
"3102",0.02
"3118",0.02
"3119",0.01
"3130",0.24
"3134",1
"3135",1.22
"3137",1.22
"3138",0.61
"3140",0.06
"3147",0.09
"3148",0.09
"3150",0.05
"3151",0.05
"3158",2.52
"3159",1.91
"3160",0.58
"3161",0.59
"3162",0.13
"3172",0.3
"3175",0.01
"3179",0.61
"3183",0.01
"3188",0.03
"3189",0.03
"3194",0.03
"3195",0.03
"3196",0.03
"3197",0.03
"3199",0.01
"3204",0.06
"3205",0.02
"3215",0.15
"3217",0.04
"3218",0.04
"3219",0.11
"3220",0.12
"3223",0.01
"3224",0.01
"3262",0.06
"3266",0.05
"3267",0.05
"3268",0.04
"3269",0.04
"3282",0.37
"3283",1.54
"3284",1.65
"3292",0.24
"3293",0.45
"3294",0.02
"3295",0.04
"3296",0.03
"3307",0.01
"3314",0.09
"3315",0.25
"3316",0.25
"3317",0.03
"3318",0.03
"3320",0.02
"3321",0.02
"3325",0.01
"3327",0.02
"3335",0.03
"3337",0.14
"3342",0.04
"3344",0.01
"3347",0.01
"3351",0.01
"3360",0.11
"3361",0.57
"3362",0.08
"3363",0.16
"3365",0.04
"3366",0.09
"3367",0.42
"3368",0.38
"3369",0.41
"3372",0.06
"3373",0.38
"3374",0.27
"3384",0.01
"3396",0.05
"3398",2.38
"3400",1.12
"3401",1.1
"3402",1.58
"3403",1.14
"3404",1.11
"3405",5.12
"3406",2.2
"3407",2.21
"3408",0.02
"3409",4.98
"3410",4.98
"3411",2.26
"3412",2.25
"3413",4.62
"3414",4.6
"3415",4.53
"3416",4.53
"3418",0.28
"3419",0.81
"3420",0.18
"3421",0.24
"3422",0.51
"3423",0.38
"3425",0.79
"3426",1
"3427",1.29
"3428",1.23
"3429",0.35
"3430",0.63
"3431",0.95
"3432",0.81
"3433",3.48
"3434",1.58
"3435",0.22
"3436",0.36
"3437",0.61
"3438",0.42
"3439",0.1
"3440",0.28
"3441",0.29
"3442",0.3
"3443",0.82
"3444",1.01
"3445",0.87
"3446",0.03
"3447",0.03
"3448",1.8
"3449",1.93
"3450",3.65
"3451",2.67
"3453",0.11
"3454",0.11
"3456",0.26
"3457",0.1
"3475",0.01
"3481",0.05
"3483",0.06
"3487",0.01
"3488",0.01
"3489",0.06
"3504",0.04
"3510",0.04
"3512",0.01
"3513",0.03
"3514",0.02
"3517",0.04
"3518",0.04
"3519",0.02
"3520",0.02
"3528",0.16
"3530",0.03
"3531",0.01
"3534",0.01
"3535",0.01
"3546",0.14
"3547",0.14
"3554",0.01
"3556",0.56
"3557",0.56
"3561",0.13
"3562",0.08
"3563",0.06
"3564",0.22
"3565",0.57
"3567",1.43
"3569",1.38
"3570",0.25
"3571",0.82
"3572",0.21
"3573",0.12
"3574",0.07
