"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","Audiosurf 2","PC",2000,"Music","Unknown",0,0,0,0,0
"2","Beat Saber","PS4",2018,"Music","Beat Games",0,0,0,0,0
"3","Before the Echo","PC",2011,"Music","Unknown",0,0,0,0,0
"4","Cadence of Hyrule: Crypt of the NecroDancer feat. The Legend of Zelda","NS",2019,"Music","Nintendo",0,0,0,0,0
"5","Country Dance: All Stars","X360",2012,"Music","GameMill Entertainment",0.16,0,0,0.02,0.18
"6","Crypt of the NecroDancer","Linux",2015,"Music","Klei Entertainment",0,0,0,0,0
"7","Crypt of the NecroDancer","OSX",2015,"Music","Klei Entertainment",0,0,0,0,0
"8","Crypt of the NecroDancer","PC",2015,"Music","Klei Entertainment",0,0,0,0,0
"9","Crypt of the NecroDancer","PS4",2016,"Music","Brace Yourself Games",0,0,0,0,0
"10","Crypt of the NecroDancer","PSV",2016,"Music","Brace Yourself Games",0,0,0,0,0
"11","Crypt of the NecroDancer","XOne",2017,"Music","Brace Yourself Games",0,0,0,0,0
"12","Crypt of the NecroDancer: Nintendo Switch Edition","NS",2018,"Music","Brace Yourself Games",0,0,0,0,0
"13","Cytus Alpha","NS",2019,"Music","PM Studios",0,0,0,0,0
"14","Daigasso! Band Brothers P","3DS",2013,"Music","Nintendo",0,0,0.19,0,0.19
"15","Dance Central","X360",2010,"Music","MTV Games",0,0,0,0,0
"16","Dance Central 2","X360",2011,"Music","Microsoft",1.45,0.41,0.01,0.16,2.04
"17","Dance Central 3","X360",2012,"Music","Microsoft",0.57,0.19,0,0.07,0.83
"18","Dance Central Spotlight","XOne",2014,"Music","Microsoft Studios",0,0,0,0,0
"19","Dark Witch Music Episode: Rudymical","NS",2017,"Music","Flyhigh Works",0,0,0,0,0
"20","Deemo: The Last Recital","NS",2019,"Music","PM Studios",0,0,0,0,0
"21","Disney Violetta: Rhythm & Music","3DS",2014,"Music","Disney Interactive Studios",0,0,0,0,0
"22","Disney Violetta: Rhythm & Music","DS",2014,"Music","Disney Interactive Studios",0,0,0,0,0
"23","Disney Violetta: Rhythm & Music","Wii",2014,"Music","Disney Interactive Studios",0,0,0,0,0
"24","EAT BEAT DEADSPIKE-san","NS",2018,"Music","Arc System Works",0,0,0,0,0
"25","Everybody Dance","PS3",2011,"Music","Sony Computer Entertainment",0.11,0,0,0.02,0.13
"26","Fantasia: Music Evolved","X360",2014,"Music","Disney Interactive Studios",0.08,0.01,0,0.01,0.1
"27","Fantasia: Music Evolved","XOne",2014,"Music","Disney Interactive Studios",0.14,0.03,0,0.02,0.19
"28","Fitness Boxing","NS",2019,"Music","Nintendo",0,0,0,0,0
"29","Frederic: The Resurrection of Music","NS",2017,"Music","Forever Entertainment S.A.",0,0,0,0,0
"30","Gal Metal!","NS",2018,"Music","Xseed Games",0.01,0,0.01,0,0.02
"31","Guitar Hero Live","PS3",2015,"Music","Activision",0.16,0.16,0,0.06,0.38
"32","Guitar Hero Live","PS4",2015,"Music","Activision",0.52,0.49,0,0.2,1.21
"33","Guitar Hero Live","WiiU",2015,"Music","Activision",0.18,0.06,0,0.03,0.27
"34","Guitar Hero Live","X360",2015,"Music","Activision",0.2,0.11,0,0.03,0.34
"35","Guitar Hero Live","XOne",2015,"Music","Activision",0.52,0.23,0,0.08,0.83
"36","HarmoKnight","3DS",2013,"Music","Nintendo",0,0,0,0,0
"37","Hatsune Miku -Project DIVA- f","PSV",2014,"Music","Sega",0,0,0,0,0
"38","Hatsune Miku: Project Diva F 2nd","PS3",2014,"Music","Sega",0.1,0.03,0.1,0.03,0.27
"39","Hatsune Miku: Project Diva F 2nd","PSV",2014,"Music","Sega",0.08,0.05,0.16,0.04,0.32
"40","Hatsune Miku: Project Diva Future Tone","PS4",2017,"Music","Sega",0,0,0,0,0
"41","Hatsune Miku: Project Diva X","PS4",2016,"Music","Sega",0.08,0,0.04,0.02,0.13
