"","Global_Sales"
"5",0.18
"14",0.19
"16",2.04
"17",0.83
"25",0.13
"26",0.1
"27",0.19
"30",0.02
"31",0.38
"32",1.21
"33",0.27
"34",0.34
"35",0.83
"38",0.27
"39",0.32
"41",0.13
"42",0.18
"43",0.23
"46",0.08
"47",0.03
"49",0.39
"50",0.47
"51",3.89
"52",0.64
"53",1.03
"54",0.48
"55",0.28
"56",0.41
"57",2.09
"58",0.75
"59",0.61
"60",0.54
"61",0.22
"62",0.39
"63",1.11
"64",0.6
"65",0.36
"66",0.38
"67",0.29
"69",0.13
"70",1
"71",0.43
"72",0.28
"73",0.34
"74",0.76
"75",0.07
"76",0.3
"77",0.39
"78",0.17
"79",0.1
"80",0.21
"81",0.76
"82",0.17
"83",0.24
"84",0.1
"85",0.07
"86",0.15
"87",0.45
"88",6.89
"89",0.38
"90",1.21
"91",0.29
"92",0.14
"93",0.16
"94",0.01
"95",0.09
"96",0.07
"97",0.08
"98",0.2
"101",0.04
"102",0.05
"105",0.1
"108",0.03
"111",0.03
"112",0.03
"113",0.01
"114",0.14
"115",0.55
"116",0.12
"121",0.07
"122",0.01
"123",0.28
"124",0.02
"125",0.02
"126",0.04
"127",0.01
"128",0.38
"129",0.06
"130",0.02
"131",0.02
"132",0.13
"133",0.05
"134",0.13
"136",0.89
"137",0.8
"138",0.3
"139",0.57
"140",0.75
"142",0.7
"143",1.05
"144",0.67
"145",0.99
"146",0.43
"148",0.14
"149",0.13
"153",0.03
"155",0.23
"156",0.09
"157",0.19
"159",0.03
"160",0.02
"163",0.33
"164",0.66
"165",0.08
"166",0.14
"167",0.36
"168",0.09
"169",0.11
"170",0.19
"171",0.04
"172",0.17
"173",0.07
"175",0.12
"176",0.11
"177",0.16
"178",0.41
"181",0.12
"182",0.06
"183",0.09
"184",0.01
"185",0.03
"188",0.25
"191",0.04
"193",0.07
"194",0.05
"195",0.18
