"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","1-2-Switch","NS",2017,"Party","Nintendo",0,0,0,0,0
"2","A Gummy's Life","NS",2018,"Party","Unknown",0,0,0,0,0
"3","A Gummy's Life","PC",NA,"Party","Unknown",0,0,0,0,0
"4","Adorables","PC",2001,"Party","Unknown",0,0,0,0,0
"5","America's Greatest Game Shows: Wheel of Fortune and Jeopardy!","NS",2018,"Party","Ubisoft",0.06,0,0,0.01,0.06
"6","Animal Crossing: Amiibo Festival","WiiU",2015,"Party","Nintendo",0.23,0.12,0.1,0.04,0.49
"7","Animal Force","PS4",2018,"Party","Oasis Games Ltd.",0,0,0,0,0
"8","Ape Escape Academy","PSN",2009,"Party","Sony Computer Entertainment",0,0,0,0,0
"9","Ape Escape Academy","PSP",2006,"Party","Sony Computer Entertainment",0.13,0.15,0,0.05,0.33
"10","Ape Escape Academy (jp sales)","PSP",2006,"Party","Sony Computer Entertainment",0,0,0.13,0,0.14
"11","Ape Escape Academy 2","PSN",2009,"Party","Sony Computer Entertainment",0,0,0,0,0
"12","Ape Escape Academy 2","PSP",2005,"Party","Sony Computer Entertainment",0,0,0,0,0
"13","Ape Escape: Pumped & Primed","PS2",2004,"Party","Ubisoft",0.04,0.03,0,0.01,0.08
"14","Astro Bears Party","NS",2017,"Party","QubicGames",0,0,0,0,0
"15","BINGO for Nintendo Switch","NS",2018,"Party","Starsign",0,0,0,0,0
"16","Carnival Games","NS",2018,"Party","2K Games",0.11,0.14,0,0.02,0.27
"17","Carnival Games","PS4",2018,"Party","2K Games",0.04,0,0,0.01,0.05
"18","Carnival Games","XOne",2018,"Party","2K Games",0.04,0,0,0.01,0.05
"19","Carnival Games: Wild West 3D","3DS",2011,"Party","2K Play",0.06,0.03,0,0.01,0.09
"20","Chimparty","PS4",2018,"Party","Sony Interactive Entertainment",0,0,0,0,0
"21","Conga Master Party!","NS",2017,"Party","Undercoders",0,0,0,0,0
"22","Death Squared","NS",2017,"Party","SMG Studio",0,0,0,0,0
"23","Disney Tsum Tsum Festival","NS",2019,"Party","Bandai Namco Entertainment",0,0,0,0,0
"24","Every Party","X360",2005,"Party","Microsoft Game Studios",0,0,0,0,0
"25","EyeToy: Monkey Mania","PS2",2005,"Party","Sony Computer Entertainment",0,0,0,0,0
"26","Frantics","PS4",2018,"Party","Sony Interactive Entertainment",0,0,0,0,0
"27","Game & Wario","WiiU",2013,"Party","Nintendo",0.06,0.06,0.12,0.01,0.25
"28","Guilt Battle Arena","NS",2018,"Party","ForwardXP",0,0,0,0,0
"29","Hasbro Game Night for Nintendo Switch","NS",2018,"Party","Ubisoft",0,0.01,0,0,0.01
"30","INVERSUS Deluxe","NS",2017,"Party","Hypersect",0,0,0,0,0
"31","Just Deal With It","PS4",2018,"Party","Wired Productions",0.01,0,0,0,0.01
"32","Kinect Adventures!","X360",2010,"Party","Microsoft Game Studios",0,0,0,0,0
"33","Knowledge is Power","PS4",2017,"Party","Sony Interactive Entertainment",0.05,0.47,0,0.09,0.61
"34","Knowledge is Power: Decades","PS4",2018,"Party","Sony Interactive Entertainment",0,0,0,0,0
"35","Lovers in a Dangerous Spacetime","NS",2017,"Party","Asteroid Base",0,0,0,0,0
"36","Mario Party 9","Wii",2012,"Party","Nintendo",0,0,0,0,0
"37","Mario Party: Island Tour","3DS",2013,"Party","Nintendo",0,0,0,0,0
"38","Mario Party: Star Rush","3DS",2016,"Party","Nintendo",0.25,0.37,0.2,0.05,0.87
"39","Momotaro Dentetsu 2017: Tachiagare Nippon!!","3DS",2016,"Party","Nintendo",0,0,0.4,0,0.4
"40","Moon Hunters","NS",2017,"Party","Kitfox Games",0,0,0,0,0
"41","Move or Die","PC",2005,"Party","Unknown",0,0,0,0,0
"42","Nintendo Land","WiiU",2012,"Party","Nintendo",0,0,0,0,0
"43","Pac-Man Party 3D","3DS",2011,"Party","Namco Bandai",0.09,0.04,0,0.01,0.15
"44","Party Arcade","NS",2018,"Party","Planet Entertainment",0.05,0,0,0.01,0.06
"45","PlayStation Move Ape Escape","PS3",2011,"Party","Sony Computer Entertainment",0,0.03,0,0.01,0.04
"46","Pooh's Party Game: In Search of the Treasure","PS",2001,"Party","Disney Interactive Studios",0,0,0,0,0
"47","Rabbids Land","WiiU",2012,"Party","Ubisoft",0.01,0.01,0,0,0.03
"48","Schlag den Star","NS",2017,"Party","bitComposer Games",0,0,0,0,0
"49","Schlag den Star","PS4",2017,"Party","bitComposer Games",0,0,0,0,0
"50","Shrek: Treasure Hunt","PS",2002,"Party","TDK Mediactive",0,0,0,0,0
