"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","'Splosion Man","XBL",2009,"Platform","Twisted Pixel Games",0,0,0,0,0
"2","140","PC",2019,"Platform","Unknown",0,0,0,0,0
"3","2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild","GBA",2005,"Platform","THQ",0.33,0.12,0,0.01,0.45
"4","2 Games in 1: The SpongeBob SquarePants Movie / Battle for Bikini Bottom","GC",2006,"Platform","THQ",0,0,0,0,0
"5","2 Games in 1: The SpongeBob SquarePants Movie / Tak 2: The Staff of Dreams","GC",2006,"Platform","THQ",0,0,0,0,0
"6","2-in-1 Game Pack: Spider-Man & Spider-Man 2","GBA",2005,"Platform","Activision",0.06,0.02,0,0,0.09
"7","20XX","PC",2017,"Platform","Batterystaple Games",0,0,0,0,0
"8","3 Ninjas Kick Back","GEN",1994,"Platform","Psygnosis",0,0,0,0,0
"9","3 Ninjas Kick Back","SNES",1994,"Platform","Sony Imagesoft",0,0,0,0,0
"10","3 Ninjas Kick Back / Hook","SCD",1994,"Platform","Sony Imagesoft",0,0,0,0,0
"11","36 Fragments of Midnight","NS",2017,"Platform","Petite Games",0,0,0,0,0
"12","3D Classics: Kid Icarus","3DS",2012,"Platform","Nintendo",0,0,0,0,0
"13","3D Classics: Kirby's Adventure","3DS",2011,"Platform","Nintendo",0,0,0,0,0
"14","40 Winks","PS",1999,"Platform","GT Interactive",0.17,0.12,0,0.02,0.31
"15","40 Winks","PSN",2010,"Platform","Atari",0,0,0,0,0
"16","6180 the moon","PC",2013,"Platform","Unknown",0,0,0,0,0
"17","6180 the moon","WiiU",2015,"Platform","Unknown",0,0,0,0,0
"18","8 Eyes","NES",1990,"Platform","Taxan",0,0,0,0,0
"19","A Bomb's Way","XBL",2009,"Platform","Microsoft",0,0,0,0,0
"20","A Boy and His Blob","3DS",NA,"Platform","Unknown",0,0,0,0,0
"21","A Boy and His Blob","PC",NA,"Platform","Unknown",0,0,0,0,0
"22","A Boy and His Blob","PS4",NA,"Platform","Unknown",0,0,0,0,0
"23","A Boy and His Blob","Wii",2009,"Platform","Majesco",0.18,0.01,0,0.02,0.21
"24","A Boy and His Blob","Wii",2009,"Platform","Majesco Entertainment",0.19,0.02,0,0.02,0.22
"25","A Boy and His Blob","XOne",NA,"Platform","Unknown",0,0,0,0,0
"26","A Boy and His Blob: Trouble on Blobolonia","NES",1989,"Platform","Absolute Entertainment",0,0,0,0,0
"27","A Boy and His Blob: Trouble on Blobolonia","VC",2009,"Platform","Majesco",0,0,0,0,0
"28","A Bug's Life","GB",1999,"Platform","THQ",0,0,0,0,0
"29","A Bug's Life","N64",1998,"Platform","Activision",0.49,0.13,0,0.01,0.63
"30","A Bug's Life","N64",1999,"Platform","Activision",0.49,0.13,0,0.01,0.63
"31","A Bug's Life","PC",1998,"Platform","Disney Interactive Studios",0,0,0,0,0
"32","A Bug's Life","PS",1998,"Platform","Sony Computer Entertainment",1.96,0.72,0,0.11,2.79
"33","A Bug's Life","PSN",2010,"Platform","Sony Computer Entertainment",0,0,0,0,0
"34","A Game you can't BEAT!!","XBL",NA,"Platform","Unknown",0,0,0,0,0
"35","A Great Easter Egg Hunt","XBL",2009,"Platform","Microsoft",0,0,0,0,0
"36","A Hard Game Without Zombies","XBL",2011,"Platform","Microsoft",0,0,0,0,0
"37","A Hat in Time","OSX",2017,"Platform","Gears for Breakfast",0,0,0,0,0
"38","A Hat in Time","PC",2017,"Platform","Gears for Breakfast",0,0,0,0,0
"39","A Hat in Time","PS4",2017,"Platform","Humble Bundle",0,0,0,0,0
"40","A Hat in Time","XOne",2017,"Platform","Humble Bundle",0,0,0,0,0
"41","A Nightmare on Elm Street","NES",1990,"Platform","LJN",0,0,0,0,0
"42","A Robot Named Fight!","NS",2018,"Platform","Hitcents",0,0,0,0,0
"43","A.R.E.S. Extinction Agenda","PC",2010,"Platform","Extend Studio",0,0,0,0,0
"44","A.R.E.S. Extinction Agenda EX","PC",2014,"Platform","ORiGO Games",0,0,0,0,0
"45","A.R.E.S. Extinction Agenda EX","XBL",NA,"Platform","Unknown",0,0,0,0,0
"46","AAAHH!!! Real Monsters","GEN",1995,"Platform","Viacom",0,0,0,0,0
"47","AAAHH!!! Real Monsters","SNES",1995,"Platform","Viacom",0,0,0,0,0
"48","Action Pachio","SNES",1993,"Platform","Coconuts Japan",0,0,0,0,0
"49","ActRaiser 2","SNES",1993,"Platform","Enix",0,0,0,0,0
"50","Adventure Island","GB",1992,"Platform","Hudson Soft",0,0,0,0,0
"51","Adventure Island","NES",1986,"Platform","Hudson Soft",0,0,1.05,0,1.05
"52","Adventure Island","NES",1988,"Platform","Hudson Soft",0,0,1.05,0,1.05
"53","Adventure Island","VC",2007,"Platform","Hudson Soft",0,0,0,0,0
"54","Adventure Island 3","NES",1992,"Platform","Hudson Soft",0,0,0,0,0
"55","Adventure Island II","NES",1991,"Platform","Hudson Soft",0,0,0,0,0
"56","Adventure Island II","VC",2011,"Platform","Hudson Soft",0,0,0,0,0
"57","Adventure Island II: Aliens in Paradise","3DS",NA,"Platform","Unknown",0,0,0,0,0
"58","Adventure Island II: Aliens in Paradise","GB",1993,"Platform","Hudson Soft",0,0,0,0,0
"59","Adventure Island: The Beginning","WW",2009,"Platform","Hudson Soft",0,0,0,0,0
"60","ADVENTURES of CAPTAIN Becky","XBL",2010,"Platform","Microsoft",0,0,0,0,0
"61","Adventures of Shuggy","PC",2012,"Platform","Smudged Cat Games",0,0,0,0,0
"62","Adventures of Shuggy","XBL",2011,"Platform","Valcon Games",0,0,0,0,0
"63","Adventures Of Sid XMAS Special","XBL",2009,"Platform","Microsoft",0,0,0,0,0
"64","Adventures of Yogi Bear","SNES",1994,"Platform","CyberSoft",0,0,0,0,0
"65","Aero The Acro-Bat","GBA",2002,"Platform","Metro 3D",0,0,0,0,0
"66","Aero The Acro-Bat","GEN",1993,"Platform","Sunsoft",0,0,0,0,0
"67","Aero The Acro-Bat","SNES",1993,"Platform","Sunsoft",0,0,0,0,0
"68","Aero The Acro-Bat","VC",2010,"Platform","Sunsoft",0,0,0,0,0
"69","Aero The Acro-Bat 2","GEN",1994,"Platform","Sunsoft",0,0,0,0,0
"70","Aero The Acro-Bat 2","SNES",1994,"Platform","Sunsoft",0,0,0,0,0
"71","Aero The Acro-Bat 2","VC",2010,"Platform","Sunsoft",0,0,0,0,0
"72","Agent Hugo: Hula Holiday","PC",2008,"Platform","NDS Software",0,0,0,0,0
"73","Agent Hugo: Hula Holiday","PS2",2008,"Platform","NDS Software",0,0,0,0,0
"74","Agent Hugo: Hula Holiday","Wii",2008,"Platform","NDS Software",0,0,0,0,0
"75","Agent Hugo: Lemoon Twist","PC",2007,"Platform","ITE Media",0,0,0,0,0
"76","Agent Hugo: Lemoon Twist","PS2",2007,"Platform","ITE Media",0,0,0,0,0
"77","Agent Hugo: Lemoon Twist","Wii",2008,"Platform","ITE Media",0,0,0,0,0
"78","Akane the Kunoichi","X360",2011,"Platform","Haruneko",0,0,0,0,0
"79","Akane the Kunoichi","XBL",2011,"Platform","Microsoft",0,0,0,0,0
"80","Akuji the Heartless","PS",1998,"Platform","Eidos Interactive",0.07,0.04,0,0.01,0.12
"81","Akumajou Dracula (FDS)","NES",1986,"Platform","Konami",0,0,0,0,0
"82","Akumajou Dracula X: Chi no Rondo","PCE",1993,"Platform","Konami",0,0,0,0,0
"83","Akumajou Dracula X: Gekka no Yasoukyoku","SAT",1998,"Platform","Konami",0,0,0,0,0
"84","Akumajou Special: Boku Dracula-kun","NES",1990,"Platform","Konami",0,0,0,0,0
"85","Albert and Otto","PC",2015,"Platform","K Bros Games",0,0,0,0,0
"86","Alex Kidd in Miracle World","MS",1986,"Platform","Sega",0,0,0,0,0
"87","Alex Kidd in Miracle World","PSN",2008,"Platform","Unknown",0,0,0,0,0
"88","Alex Kidd in Miracle World","VC",2008,"Platform","Sega",0,0,0,0,0
"89","Alex Kidd in Shinobi World","MS",1990,"Platform","Sega",0,0,0,0,0
"90","Alex Kidd in Shinobi World","VC",2010,"Platform","Sega",0,0,0,0,0
"91","Alex Kidd in the Enchanted Castle","GEN",1989,"Platform","Sega",0,0,0,0,0
"92","Alex Kidd in the Enchanted Castle","PC",2010,"Platform","Sega",0,0,0,0,0
"93","Alex Kidd in the Enchanted Castle","VC",2007,"Platform","Sega",0,0,0,0,0
"94","Alex Kidd: High-Tech World","MS",1989,"Platform","Sega",0,0,0,0,0
"95","Alex Kidd: The Lost Stars","MS",1988,"Platform","Sega",0,0,0,0,0
"96","Alex Kidd: The Lost Stars","VC",2009,"Platform","Sega",0,0,0,0,0
"97","Alfred Chicken","GB",1994,"Platform","Mindscape",0,0,0,0,0
"98","Alfred Chicken","NES",1994,"Platform","Mindscape",0,0,0,0,0
"99","Alfred's Adventure","GB",2000,"Platform","SCi",0,0,0,0,0
"100","Alien 3","GEN",1992,"Platform","Arena Entertainment",0,0,0,0,0
"101","Alien 3","GG",1994,"Platform","Arena Entertainment",0,0,0,0,0
"102","Alien 3","MS",1992,"Platform","Tec Toy",0,0,0,0,0
"103","Alien 3","NES",1993,"Platform","LJN",0,0,0,0,0
"104","Alien 3","SNES",1993,"Platform","LJN",0,0,0,0,0
"105","Alien Soldier","PC",2011,"Platform","Sega",0,0,0,0,0
"106","Alisia Dragoon","GEN",1992,"Platform","Sega",0,0,0,0,0
"107","All Night Nippon Super Mario Bros. (FDS)","NES",1986,"Platform","Fuji",0,0,0,0,0
"108","Along Came A Spider","XBL",2009,"Platform","Microsoft",0,0,0,0,0
"109","Alpacapaca Dash","PC",2017,"Platform","Synnergy Circle Games",0,0,0,0,0
"110","Alter World","PC",2015,"Platform","Giorgi Abelashvili",0,0,0,0,0
"111","Alteric","NS",2018,"Platform","Sometimes You",0,0,0,0,0
"112","Amagon","NES",1989,"Platform","Sammy Corporation",0,0,0,0,0
"113","Amazing Princess Sarah","PC",2014,"Platform","Haruneko",0,0,0,0,0
"114","Amazing Princess Sarah","X360",2014,"Platform","Haruneko",0,0,0,0,0
"115","An American Tail: Fievel's Gold Rush","GBA",2002,"Platform","Conspiracy Entertainment",0.02,0.01,0,0,0.03
"116","An American Tail: Fievel's Gold Rush","GBA",2003,"Platform","Crave Entertainment",0.02,0.01,0,0,0.03
"117","Ancients of Ooga","PC",2010,"Platform","NinjaBee",0,0,0,0,0
