"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","10 Days Under the Sea","PC",2008,"Puzzle","Alawar Entertainment",0,0,0,0,0
"2","10 Talismans","PC",2006,"Puzzle","Red Mile Entertainment",0,0,0,0,0
"3","10,000,000","PC",2018,"Puzzle","Unknown",0,0,0,0,0
"4","100 All-Time Favorites","DS",2009,"Puzzle","Ubisoft",0.35,0.12,0,0.04,0.51
"5","100 Doors: Floors Escape","And",2014,"Puzzle","100 Gates",0,0,0,0,0
"6","1001 Blockbusters","DSiW",2011,"Puzzle","SelectSoft",0,0,0,0,0
"7","1001 Crystal Mazes Collection","DSiW",2010,"Puzzle","Teyon Entertainment",0,0,0,0,0
"8","101-in-1 Explosive Megamix","DS",2008,"Puzzle","Nordcurrent",0.05,0.13,0,0.02,0.2
"9","101-in-1 Explosive Megamix","WW",NA,"Puzzle","Unknown",0,0,0,0,0
"10","12-Sai. Torokeru Puzzle Futari no Harmony","3DS",2017,"Puzzle","Happinet",0,0,0.01,0,0.01
"11","15 Puzzle","XBL",2009,"Puzzle","Microsoft",0,0,0,0,0
"12","1500DS Spirits Vol. 3: Block Kuzushi","DS",2007,"Puzzle","Tasuke",0,0,0,0,0
"13","2 Games in 1: Columns Crown & ChuChu Rocket!","GBA",2005,"Puzzle","Sega",0,0,0,0,0
"14","2048","3DS",2014,"Puzzle","Cosmigo",0,0,0,0,0
"15","2Puzzle It: Fantasy","DSiW",2010,"Puzzle","Unknown",0,0,0,0,0
"16","3-D Tetris","VB",1996,"Puzzle","Nintendo",0,0,0,0,0
"17","3D Block Kuzushi","3DS",2011,"Puzzle","SilverStar",0,0,0,0,0
"18","3D Lemmings","PC",1995,"Puzzle","Psygnosis",0,0,0,0,0
"19","3D Lemmings","PS",1995,"Puzzle","Psygnosis",0.03,0.02,0,0,0.06
"20","3D Lemmings","SAT",1996,"Puzzle","Psygnosis",0,0,0,0,0
"21","3D Twist & Match","DSiW",2011,"Puzzle","Sanuk Games",0,0,0,0,0
"22","3D Twist & Match","PSN",2011,"Puzzle","Sanuk Games",0,0,0,0,0
"23","4 Elements","3DS",2013,"Puzzle","Tulip Games",0,0.02,0,0,0.02
"24","4 Elements","PC",2009,"Puzzle","eGames",0,0.04,0,0.01,0.05
"25","4 Elements","PC",2009,"Puzzle","Mastertronic",0,0.04,0,0.01,0.05
"26","4 Elements HD","PSN",2011,"Puzzle","Playrix Entertainment",0,0,0,0,0
"27","4 Play Collection: Treasure Hunters","PC",2014,"Puzzle","Avanquest Software",0,0.01,0,0,0.01
"28","5 in 1 Mahjong","DSiW",2011,"Puzzle","cerasus.media",0,0,0,0,0
"29","5 Spots Party","WW",2009,"Puzzle","Cosmonaut Games",0,0,0,0,0
"30","505 Tangram","DSiW",2011,"Puzzle","Cosmigo",0,0,0,0,0
"31","7 Wonders II","DS",2009,"Puzzle","Rondomedia",0.14,0.15,0,0.03,0.32
"32","7 Wonders II","DS",2010,"Puzzle","Mumbo Jumbo",0.13,0.15,0,0.03,0.31
"33","7 Wonders II","PC",2007,"Puzzle","Mumbo Jumbo",0,0,0,0,0
"34","7 Wonders of the Ancient World","DS",2007,"Puzzle","Mumbo Jumbo",0.1,0.01,0,0.01,0.13
"35","7 Wonders of the Ancient World","DS",2007,"Puzzle","Funsta",0.1,0.01,0,0.01,0.13
"36","7 Wonders of the Ancient World","PC",2007,"Puzzle","Mumbo Jumbo",0,0.01,0,0,0.01
"37","7 Wonders of the Ancient World","PS2",2007,"Puzzle","Mumbo Jumbo",0,0,0,0,0
"38","7 Wonders of the Ancient World","PSN",2009,"Puzzle","Mumbo Jumbo",0,0,0,0,0
"39","7 Wonders of the Ancient World","PSP",2007,"Puzzle","Mumbo Jumbo",0.07,0,0,0.01,0.08
"40","7 Wonders: Treasures of Seven","DS",2011,"Puzzle","Avanquest",0.02,0.03,0,0.01,0.05
"41","7 Wonders: Treasures of Seven","DS",2011,"Puzzle","Mumbo Jumbo",0.01,0.02,0,0,0.03
"42","7 Wonders: Treasures of Seven","PC",2008,"Puzzle","Mumbo Jumbo",0,0,0,0,0
"43","9 Clues 2: The Ward","PC",2015,"Puzzle","Artifex Mundi sp. z o.o.",0,0,0,0,0
"44","A Fairy Tale","DSiW",2011,"Puzzle","High Horse Entertainment",0,0,0,0,0
"45","A Kappa's Trail","DSiW",2010,"Puzzle","Nintendo",0,0,0,0,0
"46","A Morons Challenge","XBL",2009,"Puzzle","Microsoft",0,0,0,0,0
"47","A Normal Lost Phone","NS",2018,"Puzzle","Plug In Digital",0,0,0,0,0
"48","A Topsy Turvy Life: Turvy Drops","DSiW",2010,"Puzzle","Tecmo Koei",0,0,0,0,0
"49","Aargon Deluxe","PC",2001,"Puzzle","Unknown",0,0,0,0,0
"50","ABC Island","PC",2008,"Puzzle","Unknown",0,0,0,0,0
