"","Global_Sales"
"4",0.51
"8",0.2
"10",0.01
"19",0.06
"23",0.02
"24",0.05
"25",0.05
"27",0.01
"31",0.32
"32",0.31
"34",0.13
"35",0.13
"36",0.01
"39",0.08
"40",0.05
"41",0.03
"76",0.06
"94",1.94
"108",0.01
"110",0.24
"111",0.23
"117",0.65
"118",0.17
"121",0.26
"122",0.09
"123",0.34
"125",0.3
"126",0.23
"127",0.09
"128",0.27
"129",0.1
"130",0.28
"131",0.16
"133",0.11
"134",0.12
"136",0.01
"142",0.11
"143",0.11
"144",0.02
"155",0.56
"159",0.24
"160",0.27
"161",0.12
"165",0.06
"166",0.06
"177",0.16
"211",0.02
"213",0.03
"214",0.03
"225",0.02
"239",0.05
"240",0.05
"245",0.04
"247",0.14
"248",0.05
"249",0.05
"250",0.01
"262",0.05
"266",0.05
"268",0.32
"269",0.32
"274",0.02
"275",0.02
"277",0.34
"278",0.36
"279",0.08
"280",0.15
"281",0.14
"283",0.14
"284",0.14
"286",0.02
"287",0.02
"290",0.1
"292",0.05
"293",0.17
"295",0.18
"296",0.16
"297",0.01
"298",0.01
"299",0.01
"300",0.03
"301",0.03
"314",0.01
"327",0.05
"344",0.03
"345",0.03
"358",0.05
"359",0.05
"364",0.05
"365",0.05
"366",0.16
"367",1.03
"368",1.03
"371",0.15
"372",0.15
"373",0.01
"379",0.01
"380",0.01
"381",0.02
"382",0.02
"383",1.04
"391",0.44
"392",0.44
"393",0.08
"394",0.08
"396",0.09
"397",0.09
"398",0.16
"399",0.16
"404",0.09
"405",0.09
"406",0.07
"407",0.07
"411",0.12
"412",0.12
"414",0.25
"417",0.33
"418",0.33
"419",0.04
"420",0.04
"426",0.34
"427",0.03
"428",0.03
"429",0.33
"433",0.01
"434",1.23
"435",0.47
"450",0.03
"455",0.02
"459",15.3
"461",0.09
"463",0.15
"464",0.15
"465",0.15
"466",0.15
"478",0.09
"483",0.12
"484",0.12
"486",0.21
"487",0.21
"490",0.11
"491",0.11
"506",0.02
"510",0.06
"511",0.06
"514",0.04
"515",0.04
"516",0.03
"517",0.03
"521",0.05
"522",0.05
"523",0.06
"524",0.06
"529",0.59
"530",0.59
"534",0.05
"535",0.05
"536",0.02
"537",0.02
"540",0.06
"541",0.06
"543",0.32
"544",0.32
"547",0.08
"548",0.08
"550",0.2
"551",0.2
"556",0.01
"560",0.22
"561",0.22
"562",0.16
"563",0.15
"564",0.14
"565",0.14
"566",0.11
"567",0.11
"571",0.31
"572",0.07
"576",0.11
"577",0.11
"578",0.28
"579",0.27
"580",0.03
"581",0.03
"582",0.15
"583",0.15
"591",0.01
"592",0.19
"594",1.19
"600",0.28
"601",0.28
"603",0.06
"604",0.08
"610",0.04
"611",0.04
"614",0.71
"615",0.31
"625",0.01
"626",0.01
"627",0.06
"628",0.06
"629",0.09
"631",0.07
"632",0.04
"633",0.04
"634",0.04
"635",0.01
"636",0.01
"638",0.08
"639",0.1
"640",0.01
"641",0.01
"647",0.04
"648",0.04
"661",0.09
"669",0.11
"670",0.56
"671",0.56
"672",0.46
"673",0.52
"681",0.82
"682",0.82
"690",0.05
"719",0.15
"720",0.05
"726",0.24
"727",0.25
"732",0.46
"733",0.47
"738",0.06
"739",0.06
"741",0.04
"742",0.02
"743",0.02
"757",0.01
"758",0.01
"761",0.55
"762",0.55
"763",0.14
"764",0.13
"765",0.08
"773",0.02
"774",0.02
"784",0.02
"785",0.07
"789",0.07
"798",0.01
"799",0.02
"811",0.04
"812",0.04
"815",0.45
"816",0.54
"820",1.26
"826",1.64
"827",1.64
"831",0.41
"832",0.41
"840",0.06
"841",0.06
"852",0.14
"855",0.4
"856",0.12
"878",0.03
"879",0.03
"885",0.01
"886",0.01
"889",5.34
"891",4.85
"893",0.33
"895",0.42
"907",0.01
"913",0.65
"914",0.76
"927",0.06
"940",0.09
"952",0.01
"953",0.03
"954",0.01
"982",0.02
"986",0.08
"987",0.08
"991",0.1
"992",0.1
"1000",0.11
"1003",0.04
"1004",0.04
"1008",0.04
"1009",0.05
"1010",0.05
"1011",0.07
"1013",0.47
"1015",0.02
"1026",0.29
"1037",0.05
"1040",0.02
"1071",0.31
"1074",0.08
"1075",0.08
"1089",1.72
"1090",1.71
"1091",1.38
"1092",1.36
"1095",0.11
"1096",0.11
"1103",0.02
"1104",0.02
"1111",0.45
"1131",0.12
"1132",0.12
"1133",0.11
"1134",0.11
"1145",0.01
"1147",0.02
"1148",0.13
"1149",0.04
"1158",0.01
"1167",0.06
"1168",0.05
"1170",0.05
"1171",0.05
"1174",1.32
"1186",0.16
"1187",0.16
"1190",0.12
"1192",0.02
"1193",0.38
"1194",0.38
"1200",0.1
"1201",0.1
"1202",0.22
"1203",0.57
"1205",1.45
"1226",0.54
"1229",0.09
"1230",0.09
"1231",0.09
"1234",0.03
"1249",0.22
"1250",0.22
"1257",0.15
"1264",2.2
"1274",0.06
"1275",0.06
"1282",0.03
"1283",0.03
"1296",0.03
"1297",0.19
"1300",0.83
"1301",0.3
"1302",0.14
"1304",0.01
"1305",0.04
"1324",0.05
"1325",1.22
"1338",0.05
"1339",0.05
"1340",0.06
"1341",0.06
"1347",0.02
"1352",0.05
"1353",0.06
"1354",0.07
"1355",0.06
"1356",0.06
"1357",0.53
"1358",0.53
"1359",0.19
"1360",0.06
"1361",0.05
"1362",0.03
"1363",0.03
"1364",0.02
"1365",0.02
"1366",0.04
"1367",0.04
"1368",0.18
"1369",0.17
"1371",0.02
"1372",0.03
"1375",0.03
"1376",0.07
"1377",0.01
"1378",0.01
"1379",0.06
"1380",0.05
"1381",0.05
"1382",0.04
"1384",0.29
"1385",0.15
"1386",0.15
"1387",0.01
"1388",0.22
"1389",0.22
"1390",0.07
"1394",0.07
"1395",0.23
"1396",0.24
"1398",0.04
"1399",0.03
"1400",0.03
"1413",0.78
"1414",0.78
"1416",0.06
"1420",0.03
"1421",0.09
"1422",0.09
"1432",0.73
"1433",0.73
"1435",0.41
"1436",0.42
"1446",1.23
"1450",0.32
"1451",0.32
"1452",0.22
"1454",0.15
"1464",0.15
"1471",0.01
"1474",0.02
"1477",0.14
"1478",0.13
"1481",0.11
"1482",0.11
"1483",0.37
"1484",0.37
"1500",0.31
"1505",0.06
"1506",0.06
"1508",0.34
"1509",0.34
"1510",0.32
"1519",0.55
"1520",0.03
"1521",0.14
"1524",0.01
"1535",0.87
"1545",0.01
"1556",0.08
"1557",0.08
"1559",0.02
"1560",0.02
"1576",0.02
"1578",1.1
"1579",1.1
"1585",0.04
"1586",0.04
"1605",0.3
"1606",0.3
"1610",1.11
"1611",1.11
"1613",0.02
"1615",0.04
"1616",0.02
"1622",0.17
"1626",0.01
"1627",0.01
"1631",0.04
"1632",0.04
"1636",0.02
"1639",0.27
"1640",0.27
"1672",0.2
"1673",0.2
"1676",0.14
"1681",0.29
"1682",0.3
"1683",0.04
"1684",0.09
"1685",0.09
"1692",0.19
"1693",0.18
"1697",0.2
"1698",0.2
"1700",0.07
"1701",0.07
"1716",0.03
"1717",0.03
"1718",0.16
"1719",0.17
"1725",0.07
"1726",0.13
"1727",0.49
"1729",0.41
"1730",1.17
"1732",1.2
"1733",2.69
"1735",0.08
"1736",0.02
"1737",0.62
"1741",0.04
"1742",0.05
"1744",0.44
"1745",0.43
"1746",0.06
"1747",0.05
"1748",0.01
"1749",0.31
"1750",0.31
"1754",0.05
"1759",0.1
"1760",0.1
"1762",0.23
