"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","007 Racing","PS",2000,"Racing","Electronic Arts",0.3,0.2,0,0.03,0.53
"2","18 Wheeler: American Pro Trucker","DC",2001,"Racing","Sega",0,0,0,0,0
"3","18 Wheeler: American Pro Trucker","GC",2002,"Racing","Acclaim Entertainment",0.09,0.02,0,0,0.11
"4","18 Wheeler: American Pro Trucker","PS2",2001,"Racing","Acclaim Entertainment",0.2,0.15,0,0.05,0.4
"5","18 Wheels of Steel: Across America","PC",2003,"Racing","ValuSoft",0,0,0,0,0
"6","18 Wheels of Steel: American Long Haul","PC",2007,"Racing","ValuSoft",0,0,0,0,0
"7","18 Wheels of Steel: Big City Rigs","PC",2009,"Racing","ValuSoft",0,0,0,0,0
"8","18 Wheels of Steel: Convoy","PC",2005,"Racing","ValuSoft",0,0,0,0,0
"9","18 Wheels of Steel: Extreme Trucker","PC",2009,"Racing","Rondomedia",0,0.02,0,0,0.02
"10","18 Wheels of Steel: Extreme Trucker","PC",2009,"Racing","ValuSoft",0,0.02,0,0,0.02
"11","18 Wheels of Steel: Extreme Trucker 2","PC",2011,"Racing","Rondomedia",0.08,0.02,0,0.01,0.11
"12","18 Wheels of Steel: Extreme Trucker 2","PC",2011,"Racing","THQ",0.1,0.02,0,0.01,0.13
"13","18 Wheels of Steel: Gold Edition","PC",2009,"Racing","Rondomedia",0,0,0,0,0
"14","18 Wheels of Steel: Haulin'","PC",2006,"Racing","ValuSoft",0,0,0,0,0
"15","18 Wheels of Steel: Pedal to the Metal","PC",2004,"Racing","ValuSoft",0,0,0,0,0
"16","18 Wheels of Steel: Triple Pack","PC",2011,"Racing","Unknown",0,0,0,0,0
"17","187: Ride or Die","PS2",2005,"Racing","Ubisoft",0.07,0.06,0,0.02,0.15
"18","187: Ride or Die","XB",2005,"Racing","Ubisoft",0.05,0.01,0,0,0.06
"19","1nsane","PC",2001,"Racing","Codemasters",0,0,0,0,0
"20","2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race","GBA",2005,"Racing","THQ",0.09,0.03,0,0,0.12
"21","2060 Cyber Racer","XBL",2009,"Racing","Microsoft",0,0,0,0,0
"22","2XL Supercross","PC",2010,"Racing","2XL Games",0,0,0,0,0
"23","3,2,1... SuperCrash!","PSN",2010,"Racing","StormBASIC",0,0,0,0,0
"24","360: Three Sixty","PS",1999,"Racing","Cryo Interactive",0,0,0,0,0
"25","3D Classics: Excite Bike","3DS",NA,"Racing","Unknown",0,0,0,0,0
"26","3D Classics: Excitebike","3DS",2011,"Racing","Nintendo",0,0,0,0,0
"27","3D Pixel Racing","WW",2011,"Racing","Microforum",0,0,0,0,0
"28","4 Wheel Thunder","DC",2000,"Racing","Midway Games",0,0,0,0,0
"29","4x4 EVO 2","GC",2002,"Racing","Vivendi Games",0.11,0.03,0,0,0.14
"30","4x4 EVO 2","PC",2001,"Racing","Gathering of Developers",0,0,0,0,0
"31","4x4 EVO 2","PS2",2003,"Racing","BAM! Entertainment",0,0,0,0,0
"32","4x4 EVO 2","XB",2001,"Racing","Gathering of Developers",0.18,0.05,0,0.01,0.24
"33","4X4 EVO 2","GC",2002,"Racing","VU Games",0.11,0.03,0,0,0.14
"34","4X4 EVO 2","XB",2001,"Racing","Gathering of Developers",0.18,0.05,0,0.01,0.24
"35","4x4 Evolution","DC",2000,"Racing","Gathering of Developers",0,0,0,0,0
"36","4x4 Evolution","PC",2000,"Racing","Gathering of Developers",0,0,0,0,0
"37","4x4 Evolution","PS2",2001,"Racing","Gathering of Developers",0.16,0.12,0,0.04,0.32
"38","4x4 Hummer","PC",2009,"Racing","Aspyr",0,0,0,0,0
"39","4x4 Jam","PSN",2010,"Racing","Unknown",0,0,0,0,0
"40","4X4 World Trophy","PS",2000,"Racing","Infogrames",0,0,0,0,0
"41","5 Star Racing","PS",2003,"Racing","Phoenix Games",0,0,0,0,0
"42","A.I.M. Racing","PC",2007,"Racing","1C Company",0,0,0,0,0
"43","A2 racer","PC",1996,"Racing","Davilex",0,0,0,0,0
"44","A2 Racer 2","PC",1998,"Racing","Davilex",0,0,0,0,0
"45","A2 Racer 3","PC",2000,"Racing","Davilex",0,0,0,0,0
"46","A2 Racer II","PS",1998,"Racing","Davilex",0,0,0,0,0
"47","A2 Racer III: Europa Tour","PS",2002,"Racing","Davilex",0,0,0,0,0
"48","ABC Sports Indy Racing","PC",1997,"Racing","Unknown",0,0,0,0,0
"49","Absolute Drift","PC",NA,"Racing","Unknown",0,0,0,0,0
"50","ACA NEOGEO OVER TOP","NS",2017,"Racing","Hamster Corporation",0,0,0,0,0
"51","ACA NEOGEO OVER TOP","PS4",2017,"Racing","Hamster Corporation",0,0,0,0,0
"52","ACA NEOGEO OVER TOP","XOne",2017,"Racing","Hamster Corporation",0,0,0,0,0
"53","ACA NEOGEO RIDING HERO","NS",2018,"Racing","Hamster Corporation",0,0,0,0,0
"54","ACA NEOGEO RIDING HERO","XOne",2018,"Racing","Hamster Corporation",0,0,0,0,0
"55","Action Girlz Racing","PC",2005,"Racing","Metro 3D",0,0,0,0,0
"56","Action Girlz Racing","PS2",2005,"Racing","Metro 3D",0,0,0,0,0
"57","Action Girlz Racing","Wii",2008,"Racing","Conspiracy Entertainment",0.01,0,0,0,0.01
"58","Adrenalin Misfits","X360",2010,"Racing","Konami",0.12,0.02,0,0.01,0.14
"59","Adrenalin Misfits","X360",2010,"Racing","Konami Digital Entertainment",0.12,0.02,0,0.01,0.14
"60","Advan Racing","PS",1998,"Racing","Atlus",0,0,0,0,0
"61","Aero Gauge","N64",1997,"Racing","ASCII Entertainment",0.06,0.01,0,0,0.07
"62","Aero Gauge","N64",1998,"Racing","ASCII Entertainment",0.06,0.01,0,0,0.07
"63","Aero Racer","PSN",2010,"Racing","Halfbrick Studios",0,0,0,0,0
"64","Aero-Cross","PSN",NA,"Racing","Unknown",0,0,0,0,0
"65","Aero-Cross","XBL",NA,"Racing","Unknown",0,0,0,0,0
"66","Air Combat: Desert Aces","XBL",2011,"Racing","Microsoft",0,0,0,0,0
"67","AiRace","DSiW",2010,"Racing","Qubic Games",0,0,0,0,0
"68","AiRace: Tunnel","DSiW",2010,"Racing","Qubic Games",0,0,0,0,0
"69","AirBoarder 64","N64",1998,"Racing","GMI",0,0,0,0,0
"70","Aircars","AJ",1997,"Racing","ICD",0,0,0,0,0
"71","AirRace Championship","PS",1999,"Racing","Xing Entertainment",0,0,0,0,0
"72","Al Unser Jr. Turbo Racing","NES",1990,"Racing","Data East",0,0,0,0,0
"73","Al Unser Jr.'s Road to the Top","SNES",1994,"Racing","Mindscape",0,0,0,0,0
"74","Al Unser, Jr. Arcade Racing","PC",1995,"Racing","Mindscape",0,0,0,0,0
"75","Aladdin Magic Racer","Wii",2011,"Racing","Big Ben Interactive",0.01,0,0,0,0.01
"76","Alarm For Cobra 11 Vol.2: Hot Pursuit","PS2",2005,"Racing","RTL",0,0,0,0,0
"77","Alfa Romeo Racing Italiano","PS2",2005,"Racing","Black Bean Games",0.01,0.01,0,0,0.01
"78","Alfa Romeo Racing Italiano","PS2",2006,"Racing","Valcon Games",0.01,0.01,0,0,0.01
"79","All Japan Grand Touring Car Championship","PS",1996,"Racing","Kaneko Co. Ltd",0,0,0,0,0
"80","All-Star Fruit Racing","NS",2018,"Racing","PQube",0.01,0,0,0,0.01
"81","All-Star Fruit Racing","PS4",2018,"Racing","PQube",0.03,0,0,0.01,0.03
"82","All-Star Racing","PS",2002,"Racing","Mud Duck Productions",0,0,0,0,0
"83","All-Star Racing 2","PS",2003,"Racing","Mud Duck Productions",0,0,0,0,0
"84","AMA Superbike","PC",2013,"Racing","Unknown",0,0,0,0,0
"85","American Chopper","PC",2004,"Racing","Activision",0,0,0,0,0
"86","American Chopper","PS2",2004,"Racing","Activision",0.35,0.01,0,0.06,0.42
"87","American Chopper","PS2",2004,"Racing","Zoo Digital Publishing",0.35,0.01,0,0.06,0.42
"88","American Chopper","XB",2004,"Racing","Activision",0.11,0.03,0,0.01,0.15
"89","American Chopper","XB",2004,"Racing","Zoo Digital Publishing",0.11,0.03,0,0.01,0.15
"90","American Chopper 2: Full Throttle","GC",2005,"Racing","Activision",0.04,0.01,0,0,0.05
"91","American Chopper 2: Full Throttle","PS2",2005,"Racing","Activision",0.09,0.07,0,0.02,0.18
"92","American Chopper 2: Full Throttle","PS2",2005,"Racing","Zoo Digital Publishing",0.09,0.07,0,0.02,0.18
"93","American Chopper 2: Full Throttle","XB",2005,"Racing","Activision",0.04,0.01,0,0,0.05
"94","American Chopper 2: Full Throttle","XB",2005,"Racing","Zoo Digital Publishing",0.04,0.01,0,0,0.05
"95","Anarchy: Rush Hour","PSN",2010,"Racing","Gaijin Entertainment",0,0,0,0,0
"96","Andretti Racing","PC",1997,"Racing","EA Sports",0,0,0,0,0
"97","Andretti Racing","PS",1996,"Racing","EA Sports",0.43,0.29,0,0.05,0.77
"98","Andretti Racing","PS",1996,"Racing","Electronic Arts",0.43,0.29,0,0.05,0.77
"99","Andretti Racing","SAT",1997,"Racing","EA Sports",0,0,0,0,0
"100","Antigrav Racing Championship","XBL",2009,"Racing","Microsoft",0,0,0,0,0
"101","Antigraviator","PC",2018,"Racing","Iceberg Interactive",0,0,0,0,0
"102","Antz Extreme Racing","GBA",2002,"Racing","Empire Interactive",0,0,0,0,0
"103","Antz Extreme Racing","PC",2002,"Racing","Empire Interactive",0,0,0,0,0
"104","Antz Extreme Racing","PS2",2002,"Racing","Empire Interactive",0.02,0.02,0,0.01,0.04
"105","Antz Extreme Racing","XB",2002,"Racing","Empire Interactive",0.01,0,0,0,0.02
"106","Antz Racing","GB",2001,"Racing","Electronic Arts",0,0,0,0,0
"107","Apex","XB",2003,"Racing","Atari",0.1,0.03,0,0,0.14
"108","Aqua GT","DC",2000,"Racing","Take-Two Interactive",0,0,0,0,0
"109","Aqua GT","PS",2001,"Racing","Take-Two Interactive",0,0,0,0,0
"110","Aqua Moto Racing Utopia","NS",2018,"Racing","Big Ben Interactive",0.03,0,0,0,0.03
"111","Aqua Teen Hunger Force: Zombie Ninja Pro-Am","PS2",2007,"Racing","Midway Games",0.03,0.03,0,0.01,0.07
"112","ARC Ninja Edition","XBL",2009,"Racing","Microsoft",0,0,0,0,0
"113","Arcade Archives: Traverse USA","NS",2017,"Racing","Hamster Corporation",0,0,0,0,0
"114","Arctic Thunder","PS2",2001,"Racing","Midway Games",0.17,0.14,0,0.05,0.36
"115","Arctic Thunder","XB",2001,"Racing","Midway Games",0.09,0.02,0,0,0.12
"116","Armada F/X Racers","GB",2000,"Racing","Metro 3D",0,0,0,0,0
"117","Armageddon Riders","PSN",2011,"Racing","Unknown",0,0,0,0,0
"118","Army Racer","PC",2005,"Racing","Techland",0,0,0,0,0
"119","Art Camion Geijutsuden","PS",1999,"Racing","TYO",0,0,0,0,0
"120","Art Style: light trax","WW",2010,"Racing","Nintendo",0,0,0,0,0
"121","Arthur! Ready to Race","PS",2000,"Racing","The Learning Company",0.03,0.02,0,0,0.05
