"","Global_Sales"
"1",0.53
"3",0.11
"4",0.4
"9",0.02
"10",0.02
"11",0.11
"12",0.13
"17",0.15
"18",0.06
"20",0.12
"29",0.14
"32",0.24
"33",0.14
"34",0.24
"37",0.32
"57",0.01
"58",0.14
"59",0.14
"61",0.07
"62",0.07
"75",0.01
"77",0.01
"78",0.01
"80",0.01
"81",0.03
"86",0.42
"87",0.42
"88",0.15
"89",0.15
"90",0.05
"91",0.18
"92",0.18
"93",0.05
"94",0.05
"97",0.77
"98",0.77
"104",0.04
"105",0.02
"107",0.14
"110",0.03
"111",0.07
"114",0.36
"115",0.12
"121",0.05
"122",0.49
"124",0.26
"125",0.6
"127",0.14
"130",0.01
"132",0.08
"133",0.02
"137",0.01
"138",0.09
"139",0.02
"141",2.41
"142",2.18
"143",2.18
"144",1.2
"145",1.2
"147",0.46
"148",0.57
"149",0.57
"150",0.11
"153",0.22
"154",0.28
"155",0.84
"156",0.45
"160",0.01
"161",0.01
"164",0.11
"165",0.11
"166",0.26
"167",0.26
"168",1.04
"170",0.36
"171",0.03
"172",0.39
"173",0.39
"174",0.01
"178",0.47
"191",0.21
"192",0.2
"195",0.03
"196",0.05
"202",0.38
"203",0.05
"209",0.1
"212",0.05
"222",0.27
"224",0.62
"226",0.15
"227",0.13
"228",0.13
"229",0.14
"230",0.09
"231",0.09
"232",0.05
"233",0.12
"234",0.13
"235",0.1
"236",0.1
"238",0.05
"241",0.04
"242",0.04
"243",0.08
"244",0.08
"246",0.84
"247",0.84
"248",0.19
"249",0.19
"251",0.2
"252",0.2
"253",0.07
"254",0.07
"258",0.03
"259",0.15
"262",0.32
"263",0.03
"264",0.06
"265",0.06
"269",0.05
"270",0.05
"271",0.01
"273",0.08
"274",0.12
"276",0.06
"277",0.74
"278",0.6
"281",0.02
"282",0.02
"289",0.14
"294",0.02
"297",0.09
"298",0.39
"299",0.39
"304",0.12
"305",0.12
"306",0.3
"307",0.74
"308",0.13
"309",0.15
"310",0.85
"311",0.24
"312",2.68
"313",1.31
"320",0.46
"321",0.18
"323",0.85
"324",1.97
"326",1.36
"328",0.37
"329",0.11
"336",0.1
"337",0.09
"338",0.04
"339",0.9
"340",0.51
"341",0.53
"344",0.02
"345",0.02
"349",0.16
"364",0.98
"365",1.13
"366",0.93
"368",1.21
"369",1.22
"370",0.94
"371",0.25
"372",0.2
"373",0.23
"374",1.32
"376",0.54
"377",0.13
"378",0.95
"379",0.5
"380",0.32
"381",0.01
"382",0.29
"383",0.02
"384",0.02
"385",0.05
"386",0.49
"387",0.68
"390",0.25
"391",0.41
"392",0.15
"393",0.48
"394",0.47
"395",0.19
"396",0.41
"397",0.99
"398",0.15
"402",0.3
"404",0.05
"405",0.05
"407",0.13
"408",0.13
"410",0.06
"411",0.12
"413",0.14
"416",0.58
"417",0.58
"431",0.12
"434",0.02
"435",0.06
"438",0.44
"439",0.44
"441",0.02
"442",0.02
"443",0.05
"445",0.06
"448",0.25
"449",0.26
"451",0.02
"452",0.06
"454",0.07
"457",0.07
"458",0.07
"459",0.01
"464",0.25
"465",0.25
"469",0.05
"470",0.05
"475",0.06
"479",2.87
"480",2.87
"481",0.01
"482",0.94
"483",0.1
"484",0.02
"486",0.91
"488",0.02
"490",0.05
"491",0.01
"493",1.4
"494",1.4
"495",0.04
"496",0.04
"499",0.28
"501",1.33
"502",1.33
"503",0.24
"504",0.1
"505",0.1
"507",0.15
"508",0.15
"511",0.21
"512",0.09
"513",0.46
"514",0.26
"515",0.26
"517",1.95
"518",1.95
"519",0.31
"520",0.31
"521",0.16
"522",0.16
"523",0.54
"524",0.54
"526",0.26
"527",0.25
"528",0.13
"529",0.13
"530",4.79
"542",0.03
"543",0.03
"550",0.03
"551",0.03
"555",1.81
"556",0.49
"558",2.52
"561",0.07
"563",0.2
"564",0.3
"566",0.48
"569",0.12
"573",0.12
"575",0.21
"576",1.74
"579",0.64
"581",0.01
"588",0.03
"589",0.03
"592",0.05
"593",0.02
"595",0.03
"596",0.02
"617",0.55
"618",0.55
"620",0.14
"621",0.14
"630",0.31
"631",0.31
"633",0.03
"634",0.03
"636",0.9
"640",1.17
"641",1.17
"642",0.16
"643",0.13
"644",0.13
"645",0.14
"646",0.14
"647",4.88
"648",1.24
"649",0.13
"650",0.13
"651",0.02
"652",1.06
"653",0.87
"655",0.12
"656",0.05
"657",1.01
"659",0.32
"660",0.33
"661",0.38
"662",0.81
"663",0.16
