"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","- Arcane preRaise -","PC",NA,"Role-Playing","Unknown",0,0,0,0,0
"2","- Arcane Raise -","PC",NA,"Role-Playing","Unknown",0,0,0,0,0
"3","- Arcane RERaise -","PC",NA,"Role-Playing","Unknown",0,0,0,0,0
"4",".hack//fragment","PC",2005,"Role-Playing","Namco Bandai",0,0,0,0,0
"5",".hack//G.U. Last Recode","PC",2018,"Role-Playing","Namco Bandai Games",0,0,0,0,0
"6",".hack//G.U. Last Recode","PS4",2017,"Role-Playing","Namco Bandai Games",0.1,0.04,0.08,0.03,0.24
"7",".hack//G.U. Vol.1//Rebirth","PS2",2006,"Role-Playing","Namco Bandai",0,0,0.17,0,0.17
"8",".hack//G.U. Vol.1//Rebirth","PS2",2006,"Role-Playing","Namco Bandai Games",0,0,0.17,0,0.17
"9",".hack//G.U. Vol.2//Reminisce","PS2",2006,"Role-Playing","Namco Bandai Games",0.11,0.09,0,0.03,0.23
"10",".hack//G.U. Vol.2//Reminisce","PS2",2007,"Role-Playing","Namco Bandai",0.11,0.09,0,0.03,0.23
"11",".hack//G.U. Vol.2//Reminisce (jp sales)","PS2",2006,"Role-Playing","Namco Bandai Games",0,0,0.16,0,0.16
"12",".hack//G.U. Vol.2//Reminisce (jp sales)","PS2",2007,"Role-Playing","Namco Bandai",0,0,0.16,0,0.16
"13",".hack//G.U. Vol.3//Redemption","PS2",2007,"Role-Playing","Namco Bandai",0,0,0.17,0,0.17
"14",".hack//G.U. Vol.3//Redemption","PS2",2007,"Role-Playing","Namco Bandai Games",0,0,0.17,0,0.17
"15",".hack//Infection Part 1","PS2",2002,"Role-Playing","Atari",0.49,0.38,0.26,0.13,1.27
"16",".hack//Infection Part 1","PS2",2003,"Role-Playing","Bandai",0.49,0.38,0.26,0.13,1.27
"17",".hack//Link","PSP",2010,"Role-Playing","Namco Bandai",0,0,0.14,0,0.14
"18",".hack//Link","PSP",2010,"Role-Playing","Namco Bandai Games",0,0,0.14,0,0.14
"19",".hack//Mutation Part 2","PS2",2002,"Role-Playing","Atari",0.23,0.18,0.2,0.06,0.68
"20",".hack//Mutation Part 2","PS2",2003,"Role-Playing","Bandai",0.23,0.18,0.2,0.06,0.68
"21",".hack//Outbreak Part 3","PS2",2002,"Role-Playing","Atari",0.14,0.11,0.17,0.04,0.46
"22",".hack//Outbreak Part 3","PS2",2003,"Role-Playing","Bandai",0.14,0.11,0.17,0.04,0.46
"23",".hack//Quarantine Part 4: The Final Chapter","PS2",2003,"Role-Playing","Atari",0.09,0.07,0,0.02,0.18
"24",".hack//Quarantine Part 4: The Final Chapter","PS2",2004,"Role-Playing","Bandai",0.09,0.07,0,0.02,0.18
"25","100 Years' War","PC",NA,"Role-Playing","Unknown",0,0,0,0,0
"26","2nd Super Robot Wars Original Generation","PS3",2012,"Role-Playing","Namco Bandai Games",0,0,0.3,0,0.3
"27","3-Nen B-Gumi Kinpachi Sensei: Densetsu no Kyoudan ni Tate!","PS2",2004,"Role-Playing","ChunSoft",0,0,0,0,0
"28","3D Dot Game Heroes","PS3",2009,"Role-Playing","SouthPeak Games",0.36,0.12,0.03,0.07,0.57
"29","3D Dot Game Heroes","PS3",2010,"Role-Playing","Atlus",0.36,0.12,0.03,0.07,0.57
"30","3rd Super Robot Wars Z Jigoku Hen","PS3",2014,"Role-Playing","Namco Bandai Games",0,0,0.23,0,0.23
"31","3rd Super Robot Wars Z Jigoku Hen","PSV",2014,"Role-Playing","Namco Bandai Games",0,0,0.19,0,0.19
"32","7th Dragon","DS",2009,"Role-Playing","Sega",0,0,0.14,0,0.14
"33","7th Dragon 2020","PSN",2011,"Role-Playing","Sega",0,0,0,0,0
"34","7th Dragon 2020","PSP",2011,"Role-Playing","Sega",0,0,0.2,0,0.2
"35","7th Dragon 2020-II","PSP",2013,"Role-Playing","Sega",0,0,0.13,0,0.13
"36","7th Dragon III Code: VFD","3DS",2015,"Role-Playing","Sega",0.03,0,0.12,0,0.16
"37","7th Dragon III Code: VFD","3DS",2016,"Role-Playing","Sega",0.06,0.04,0.13,0.01,0.24
"38","9Dragons","PC",2007,"Role-Playing","Acclaim Entertainment",0,0,0,0,0
"39","A Farewell to Dragons","PC",2009,"Role-Playing","1C Company",0,0,0,0,0
"40","A Pimp RPG","XBL",2011,"Role-Playing","Microsoft",0,0,0,0,0
"41","A Witch's Tale","DS",2009,"Role-Playing","Nippon Ichi Software",0.08,0,0.03,0.01,0.11
"42","A Witch's Tale","DS",2009,"Role-Playing","NIS America",0.08,0,0.03,0.01,0.11
"43","A Wizard's Lizard","Linux",2014,"Role-Playing","Lost Decade Games, LLC",0,0,0,0,0
"44","A Wizard's Lizard","OSX",2014,"Role-Playing","Lost Decade Games, LLC",0,0,0,0,0
"45","A Wizard's Lizard","PC",2014,"Role-Playing","Lost Decade Games, LLC",0,0,0,0,0
"46","A.I.M.","PC",2004,"Role-Playing","1C Company",0,0,0,0,0
"47","A.I.M. 2: Clan Wars","PC",2008,"Role-Playing","1C Company",0,0,0,0,0
"48","Abandoned Places: A Time for Heroes","PC",1992,"Role-Playing","Unknown",0,0,0,0,0
"49","Absolute: Blazing Infinity","X360",2007,"Role-Playing","Idea Factory",0,0,0,0,0
"50","Absolute: Blazing Infinity","XBL",2009,"Role-Playing","Idea Factory",0,0,0,0,0
"51","Absolver","PS4",NA,"Role-Playing","Unknown",0,0,0,0,0
"52","Accel World vs. Sword Art Online: Millennium Twilight","PC",2017,"Role-Playing","Bandai Namco Entertainment",0,0,0,0,0
"53","Advance Guardian Heroes","GBA",2004,"Role-Playing","Ubisoft",0.03,0.01,0,0,0.04
"54","Advanced Dungeons & Dragons","Int",1982,"Role-Playing","Mattel Electronics",0,0,0,0,0
"55","Advanced Dungeons & Dragons: Curse of the Azure Bonds","PC",1989,"Role-Playing","SSI",0,0,0,0,0
"56","Advanced Dungeons & Dragons: Dragons of Flame","NES",1992,"Role-Playing","Pony Canyon",0,0,0,0,0
"57","Advanced Dungeons & Dragons: DragonStrike","NES",1992,"Role-Playing","FCI",0,0,0,0,0
"58","Advanced Dungeons & Dragons: Eye of the Beholder","SCD",1994,"Role-Playing","Sega",0,0,0,0,0
"59","Advanced Dungeons & Dragons: Eye of the Beholder","SNES",1994,"Role-Playing","Capcom",0,0,0,0,0
"60","Advanced Dungeons & Dragons: Heroes of the Lance","MS",1991,"Role-Playing","U.S. Gold",0,0,0,0,0
"61","Advanced Dungeons & Dragons: Heroes of the Lance","NES",1991,"Role-Playing","FCI",0,0,0,0,0
"62","Advanced Dungeons & Dragons: Hillsfar","NES",1993,"Role-Playing","FCI",0,0,0,0,0
"63","Advanced Dungeons & Dragons: Hillsfar","PC",1989,"Role-Playing","SSI",0,0,0,0,0
"64","Advanced Dungeons & Dragons: Pool of Radiance","NES",1992,"Role-Playing","FCI",0,0,0,0,0
"65","Advanced Dungeons & Dragons: Pool of Radiance","PC",1988,"Role-Playing","SSI",0,0,0,0,0
"66","Advanced Dungeons & Dragons: Slayer","3DO",1994,"Role-Playing","SSI",0,0,0,0,0
"67","Advanced Dungeons & Dragons: Treasure of Tarmin","Int",1983,"Role-Playing","Mattel Electronics",0,0,0,0,0
"68","Adventure in Serenia","PC",1982,"Role-Playing","IBM",0,0,0,0,0
"69","Adventures of Mana","And",2016,"Role-Playing","Square Enix",0,0,0,0,0
"70","Adventures of Mana","PSV",2016,"Role-Playing","Square Enix",0,0,0,0,0
"71","Adventures to Go!","PSN",2010,"Role-Playing","Natsume",0,0,0,0,0
"72","Adventures to Go!","PSP",2008,"Role-Playing","Zushi Games",0.1,0,0.01,0.01,0.13
"73","Adventures to Go!","PSP",2009,"Role-Playing","Natsume",0.11,0,0.01,0.02,0.14
"74","Aedis Eclipse: Generation of Chaos","PSN",2009,"Role-Playing","NIS America",0,0,0,0,0
"75","Aedis Eclipse: Generation of Chaos","PSP",2006,"Role-Playing","Idea Factory",0.02,0,0,0,0.02
"76","Aedis Eclipse: Generation of Chaos","PSP",2007,"Role-Playing","NIS America",0.02,0,0,0,0.02
"77","AereA","PC",2017,"Role-Playing","Soedesco",0,0,0,0,0
"78","AereA","PS4",2017,"Role-Playing","Soedesco",0.02,0,0,0,0.03
"79","AereA","XOne",2017,"Role-Playing","Soedesco",0,0,0,0,0
"80","After Armageddon Gaiden: Majuu Toushouden Eclipse","SCD",1994,"Role-Playing","Sega",0,0,0,0,0
"81","Agarest Senki: Re-appearance","PS3",2009,"Role-Playing","Unknown",0,0,0.01,0,0.01
"82","Agarest Senki: Re-appearance","PS3",NA,"Role-Playing","Idea Factory",0,0,0.01,0,0.01
"83","Agarest: Generations of War","PC",2005,"Role-Playing","Unknown",0,0,0,0,0
"84","Age of Conan: Hyborian Adventures","PC",2008,"Role-Playing","Eidos Interactive",0,0,0,0,0
"85","Age of Conan: Hyborian Adventures","X360",2008,"Role-Playing","Unknown",0,0,0,0,0
"86","Age of Conan: Rise of the Godslayer","PC",2010,"Role-Playing","Funcom",0,0.02,0,0,0.03
"87","Age of Pirates 2: City of Abandoned Ships","PC",2009,"Role-Playing","Playlogic Game Factory",0,0,0,0,0
"88","Age of Pirates: Caribbean Tales","PC",2006,"Role-Playing","Playlogic Game Factory",0,0,0,0,0
"89","Age of Wulin - Legend of the Nine Scrolls","PC",2003,"Role-Playing","Unknown",0,0,0,0,0
"90","Ahriman's Prophecy","PC",2005,"Role-Playing","Unknown",0,0,0,0,0
"91","Aidyn Chronicles: The First Mage","N64",2001,"Role-Playing","THQ",0.08,0.02,0,0,0.1
"92","Aikatsu! Cinderella Lesson","3DS",2012,"Role-Playing","Namco Bandai Games",0,0,0.2,0,0.2
"93","Aion: Assault on Balaurea","PC",2010,"Role-Playing","NCSoft",0,0,0,0,0
"94","Aion: Tower of Eternity","PC",2009,"Role-Playing","NCSoft",0,0,0,0,0
"95","Aisle Lord","SCD",1992,"Role-Playing","Wolf Team",0,0,0,0,0
"96","Akalabeth","PC",1979,"Role-Playing","California Pacific",0,0,0,0,0
"97","Akaneiro: Demon Hunters","PC",2013,"Role-Playing","Spicy Horse",0,0,0,0,0
"98","Akazukin ChaCha","GB",1995,"Role-Playing","Tomy Corporation",0,0,0,0,0
"99","Akuma: Demon Spawn","PC",1999,"Role-Playing","JC Research",0,0,0,0,0
"100","Al-Qadim: The Genie's Curse","PC",1994,"Role-Playing","SSI",0,0,0,0,0
"101","Albert Odyssey","SNES",1993,"Role-Playing","Sunsoft",0,0,0,0,0
"102","Albert Odyssey","VC",1993,"Role-Playing","Unknown",0,0,0,0,0
"103","Albert Odyssey 2: Jashin no Taidou","SNES",1994,"Role-Playing","Sunsoft",0,0,0,0,0
"104","Albert Odyssey: Legend of Eldean","SAT",1997,"Role-Playing","Working Designs",0,0,0,0,0
"105","Albion","PC",1996,"Role-Playing","Blue Byte",0,0,0,0,0
"106","Alcahest","SNES",1993,"Role-Playing","Square",0,0,0,0,0
"107","Alchemyland","PC",2010,"Role-Playing","Unknown",0,0,0,0,0
"108","Alganon","PC",2010,"Role-Playing","Unknown",0,0,0,0,0
"109","Alien Breed 2: Assault","PSN",2010,"Role-Playing","Team17 Software",0,0,0,0,0
"110","Alien Fires: 2199 AD","PC",2009,"Role-Playing","Unknown",0,0,0,0,0
"111","Alien Syndrome","PSN",2009,"Role-Playing","Sega",0,0,0,0,0
"112","Alien Syndrome","PSP",2007,"Role-Playing","Sega",0.07,0,0,0.01,0.08
"113","Alien Syndrome","Wii",2007,"Role-Playing","Sega",0.06,0,0,0,0.06
"114","All Points Bulletin","PC",2010,"Role-Playing","Electronic Arts",0,0.03,0,0.01,0.04
"115","All Points Bulletin","PS3",1986,"Role-Playing","Unknown",0,0,0,0,0
"116","All Points Bulletin","X360",1986,"Role-Playing","Unknown",0,0,0,0,0
"117","Allods Online","PC",1996,"Role-Playing","Unknown",0,0,0,0,0
"118","Alnam no Tsubasa: Shouchiri no Sora no Achira e","PS",1997,"Role-Playing","Right Stuff",0,0,0,0,0
"119","Alpha Protocol","PC",2010,"Role-Playing","Sega",0,0.03,0,0.01,0.04
"120","Alpha Protocol","PS3",2010,"Role-Playing","Sega",0.19,0.18,0,0.07,0.43
"121","Alpha Protocol","X360",2010,"Role-Playing","Sega",0.23,0.13,0,0.04,0.4
"122","Alshark","SCD",1993,"Role-Playing","Unknown",0,0,0,0,0
"123","Alternate Reality: The City","PC",1986,"Role-Playing","Unknown",0,0,0,0,0
"124","Altis Gates","PC",2010,"Role-Playing","IGG",0,0,0,0,0
"125","Alundra","PS",1997,"Role-Playing","Psygnosis",0.13,0.09,0,0.01,0.23
"126","Alundra","PS",1997,"Role-Playing","Working Designs",0.13,0.09,0,0.01,0.23
"127","Alundra","PSN",2010,"Role-Playing","Sony Computer Entertainment",0,0,0,0,0
"128","Alundra 2: A New Legend Begins","PS",1999,"Role-Playing","Activision",0.15,0.1,0,0.02,0.27
"129","Alundra 2: A New Legend Begins","PS",2000,"Role-Playing","Activision",0.15,0.1,0,0.02,0.27
"130","Alvastia Chronicles","And",2018,"Role-Playing","Kemco",0,0,0,0,0
"131","Alvastia Chronicles","iOS",2018,"Role-Playing","Kemco",0,0,0,0,0
"132","Alvastia Chronicles","NS",2019,"Role-Playing","Kemco",0,0,0,0,0
"133","Alvastia Chronicles","PC",2019,"Role-Playing","Kemco",0,0,0,0,0
"134","Alvastia Chronicles","PS4",2019,"Role-Playing","Kemco",0,0,0,0,0
"135","Alvastia Chronicles","PSV",2019,"Role-Playing","Kemco",0,0,0,0,0
"136","Alvastia Chronicles","XOne",2019,"Role-Playing","Kemco",0,0,0,0,0
"137","Amphibian Man","PS3",2020,"Role-Playing","Unknown",0,0,0,0,0
"138","An Elder Scrolls Legend: Battlespire","PC",1997,"Role-Playing","Bethesda Softworks",0,0,0,0,0
"139","Anachronox","PC",2001,"Role-Playing","Eidos Interactive",0,0,0,0,0
"140","Anarchy Online","PC",2001,"Role-Playing","Funcom",0,0,0,0,0
"141","Anarchy Online: Alien Invasion","PC",2004,"Role-Playing","Funcom",0,0,0,0,0
"142","Anarchy Online: Lost Eden","PC",2006,"Role-Playing","Funcom",0,0,0,0,0
"143","Anarchy Online: Shadowlands","PC",2003,"Role-Playing","Funcom",0,0,0,0,0
"144","Anarchy Online: The Notum Wars","PC",2002,"Role-Playing","Funcom",0,0,0,0,0
"145","Ancient Domains of Mystery","PC",1994,"Role-Playing","Unknown",0,0,0,0,0
"146","Ancient Land of Ys","PC",1989,"Role-Playing","Broderbund",0,0,0,0,0
"147","Ancient Roman: Power of Dark Side","PS",1998,"Role-Playing","Nihon System",0,0,0,0,0
"148","Angband","PC",1996,"Role-Playing","Unknown",0,0,0,0,0
"149","Angel Blade: Neo Tokyo Guardians","PS",1997,"Role-Playing","On Demand",0.12,0.08,0,0.01,0.21
"150","Angel Senki","PS3",2011,"Role-Playing","Q Entertainment",0,0,0,0,0
"151","Angel Senki","PSN",2009,"Role-Playing","Q Entertainment",0,0,0,0,0
"152","Angel's Feather","PC",2003,"Role-Playing","Studio e-go",0,0,0,0,0
"153","Angel's Feather","PS2",2004,"Role-Playing","KID",0,0,0,0,0
"154","Angel's Feather: Kohaku no Hitomi","PC",2005,"Role-Playing","Studio e-go",0,0,0,0,0
"155","Angel's Feather: Kuro no Zanei","PS2",2005,"Role-Playing","GN Software",0,0,0,0,0
"156","Angelique Duet","DS",2006,"Role-Playing","KOEI",0,0,0,0,0
"157","Angelique Tenkuu no Requiem","PCFX",1998,"Role-Playing","KOEI",0,0,0,0,0
"158","Angelique Tenkuu no Requiem","PS",1999,"Role-Playing","KOEI",0,0,0,0,0
"159","Angels Online","PC",2007,"Role-Playing","IGG",0,0,0,0,0
"160","Animal Breeder 3","GB",1999,"Role-Playing","J-Wing",0,0,0,0,0
"161","Animal Breeder 4","GB",2001,"Role-Playing","J-Wing",0,0,0,0,0
"162","Animastar","DC",2000,"Role-Playing","Aki Corp.",0,0,0,0,0
"163","Animastar GB","GB",2001,"Role-Playing","Media Factory",0,0,0,0,0
"164","Anonymous Notes Chapter 1: From the Abyss","DSiW",2011,"Role-Playing","Sonic Powered",0,0,0,0,0
"165","Anonymous Notes Chapter 2: From the Abyss","DSiW",2011,"Role-Playing","Sonic Powered",0,0,0,0,0
"166","Another Bible","GB",1995,"Role-Playing","Atlus",0,0,0,0,0
"167","Anthem","PC",2019,"Role-Playing","Electronic Arts",0,0,0,0,0
"168","Anthem","PS4",2019,"Role-Playing","Electronic Arts",0,0,0,0,0
"169","Anthem","XOne",2019,"Role-Playing","Electronic Arts",0,0,0,0,0
"170","Antiphona no Seikahime: Tenshi no Gakufu Op.A","PSP",2009,"Role-Playing","Nippon Ichi Software",0,0,0.02,0,0.02
"171","Antiquia Lost","And",2016,"Role-Playing","Kemco",0,0,0,0,0
"172","Antiquia Lost","NS",2017,"Role-Playing","Kemco",0,0,0,0,0
"173","Antiquia Lost","PC",2017,"Role-Playing","Kemco",0,0,0,0,0
"174","Antiquia Lost","PS4",2018,"Role-Playing","Kemco",0,0,0,0,0
"175","Anvil of Dawn","PC",1995,"Role-Playing","New World Computing",0,0,0,0,0
"176","APB Reloaded","PC",2011,"Role-Playing","Iceberg Interactive",0.02,0.01,0,0,0.04
"177","APB Reloaded","PC",2011,"Role-Playing","IGS",0.02,0.01,0,0,0.04
"178","Ape Quest","PSN",2008,"Role-Playing","Sony Computer Entertainment",0,0,0,0,0
"179","Aphelion","XBL",2011,"Role-Playing","Unknown",0,0,0,0,0
"180","Aphelion 2","XBL",2011,"Role-Playing","Unknown",0,0,0,0,0
"181","Aphelion Episode One: Graves of Earth","XBL",2010,"Role-Playing","Microsoft",0,0,0,0,0
"182","Aphelion Episode Two: Wings of Omega","XBL",2010,"Role-Playing","Microsoft",0,0,0,0,0
"183","Apocalypse: Desire Next","X360",2007,"Role-Playing","Idea Factory",0,0,0,0,0
"184","Ar nosurge: Ode to an Unborn Star","PS3",2014,"Role-Playing","Tecmo Koei",0.05,0.04,0.06,0.02,0.17
"185","Ar Nosurge: Ode to an Unborn Star","PS3",2014,"Role-Playing","Tecmo Koei",0.05,0.04,0.06,0.02,0.16
"186","Ar Nosurge: Ode to an Unborn Star","PSV",2014,"Role-Playing","Tecmo Koei",0,0,0.04,0,0.04
"187","Ar Nosurge: Ode to an Unborn Star","PSV",2015,"Role-Playing","Tecmo Koei",0,0,0.04,0,0.04
"188","Ar tonelico 2: Melody of Metafalica","PS2",2007,"Role-Playing","Nippon Ichi Software",0.04,0.03,0.11,0.01,0.18
"189","Ar tonelico 2: Melody of Metafalica","PS2",2009,"Role-Playing","NIS America",0.04,0.03,0.11,0.01,0.18
"190","Ar tonelico Qoga: Knell of Ar Ciel","PS3",2010,"Role-Playing","Tecmo Koei",0.08,0.01,0.13,0.01,0.24
"191","Ar tonelico Qoga: Knell of Ar Ciel","PS3",2011,"Role-Playing","NIS America",0.08,0.01,0.13,0.01,0.24
"192","Ar tonelico: Melody of Elemia","PS2",2006,"Role-Playing","505 Games",0,0,0.1,0,0.1
"193","Ar tonelico: Melody of Elemia","PS2",2007,"Role-Playing","Nippon Ichi Software",0,0,0.1,0,0.1
"194","Arc of Alchemist","PS4",2019,"Role-Playing","Idea Factory",0,0,0,0,0
"195","Arc Rise Fantasia","Wii",2009,"Role-Playing","Marvelous Interactive",0.13,0,0.06,0.01,0.19
"196","Arc Rise Fantasia","Wii",2010,"Role-Playing","Ignition Entertainment",0.12,0,0.06,0.01,0.19
"197","Arc the Lad","PS",1995,"Role-Playing","Sony Computer Entertainment",0,0,1.1,0.01,1.11
"198","Arc the Lad","PSN",2010,"Role-Playing","Sony Computer Entertainment",0,0,0,0,0
"199","Arc the Lad Collection","PS",2002,"Role-Playing","Working Designs",0,0,0,0,0
"200","Arc the Lad II","PS",1996,"Role-Playing","Sony Computer Entertainment",0,0,0.92,0.13,1.05
"201","Arc the Lad II","PSN",2010,"Role-Playing","Sony Computer Entertainment",0,0,0,0,0
"202","Arc the Lad III","PS",1999,"Role-Playing","Sony Computer Entertainment",0,0,0.39,0.03,0.42
"203","Arc the Lad III","PSN",2011,"Role-Playing","Sony Computer Entertainment",0,0,0,0,0
"204","Arc the Lad: End of Darkness","PS2",2004,"Role-Playing","Sony Computer Entertainment",0.03,0.02,0,0.01,0.06
"205","Arc the Lad: End of Darkness","PS2",2005,"Role-Playing","Namco",0.03,0.02,0,0.01,0.06
"206","Arc the Lad: Kijin Fukkatsu","WS",2002,"Role-Playing","Bandai",0,0,0,0,0
"207","Arc the Lad: Twilight of the Spirits","PS2",2003,"Role-Playing","Sony Computer Entertainment",0.18,0.14,0,0.05,0.36
"208","Arc the Lad: Twilight of the Spirits","PS4",2016,"Role-Playing","Sony Computer Entertainment",0,0,0,0,0
"209","Arcana","SNES",1992,"Role-Playing","HAL Laboratory",0,0,0,0,0
"210","Arcania: Gothic 4","PC",2010,"Role-Playing","JoWood Productions",0.09,0.08,0,0.02,0.19
"211","Arcania: Gothic 4","PS3",2013,"Role-Playing","JoWood Productions",0,0,0,0,0
"212","Arcania: Gothic 4","PS4",2015,"Role-Playing","Nordic Games",0.04,0,0,0.01,0.05
"213","Arcania: Gothic 4","X360",2010,"Role-Playing","JoWood Productions",0.04,0.04,0.01,0.01,0.1
"214","Arcanum: Of Steamworks and Magick Obscura","PC",2001,"Role-Playing","Sierra Entertainment",0,0,0,0,0
