"","Global_Sales"
"6",0.24
"7",0.17
"8",0.17
"9",0.23
"10",0.23
"11",0.16
"12",0.16
"13",0.17
"14",0.17
"15",1.27
"16",1.27
"17",0.14
"18",0.14
"19",0.68
"20",0.68
"21",0.46
"22",0.46
"23",0.18
"24",0.18
"26",0.3
"28",0.57
"29",0.57
"30",0.23
"31",0.19
"32",0.14
"34",0.2
"35",0.13
"36",0.16
"37",0.24
"41",0.11
"42",0.11
"53",0.04
"72",0.13
"73",0.14
"75",0.02
"76",0.02
"78",0.03
"81",0.01
"82",0.01
"86",0.03
"91",0.1
"92",0.2
"112",0.08
"113",0.06
"114",0.04
"119",0.04
"120",0.43
"121",0.4
"125",0.23
"126",0.23
"128",0.27
"129",0.27
"149",0.21
"170",0.02
"176",0.04
"177",0.04
"184",0.17
"185",0.16
"186",0.04
"187",0.04
"188",0.18
"189",0.18
"190",0.24
"191",0.24
"192",0.1
"193",0.1
"195",0.19
"196",0.19
"197",1.11
"200",1.05
"202",0.42
"204",0.06
"205",0.06
"207",0.36
"210",0.19
"212",0.05
"213",0.1
"232",0.05
"233",0.05
"244",0.12
"252",0.03
"255",0.12
"256",0.12
"257",0.05
"258",0.27
"259",0.27
"260",0.05
"261",0.05
"262",0.22
"263",0.21
"264",0.04
"266",0.08
"267",0.04
"268",0.06
"269",0.06
"270",0.04
"271",0.04
"272",0.29
"273",0.29
"274",0.15
"275",0.15
"279",0.03
"281",0.06
"282",0.01
"283",0.06
"284",0.24
"285",0.24
"286",0.06
"287",0.5
"288",0.48
"289",0.05
"290",0.03
"291",0.05
"292",0.2
"293",0.2
"296",0.04
"297",0.1
"298",0.15
"299",0.06
"300",0.07
"301",0.43
"302",0.43
"303",0.09
"304",0.01
"305",0.01
"319",0.24
"320",0.24
"331",0.03
"332",0.03
"334",0.13
"335",0.13
"340",0.62
"341",0.62
"352",0.03
"353",0.14
"354",0.14
"355",1.24
"356",1.24
"357",0.2
"358",0.2
"359",0.68
"360",0.26
"361",0.26
"365",0.01
"369",0.13
"370",0.13
"372",0.08
"373",0.08
"375",0.21
"379",0.1
"380",0.1
"381",0.27
"382",0.27
"384",0.05
"386",0.06
"387",0.04
