"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","'70s Robot Anime: Geppy-X","PS",1999,"Shooter","Aroma",0,0,0,0,0
"2","""Nuke It""","PC",1998,"Shooter","CrystalVision",0,0,0,0,0
"3","(c-12) Final Resistance","PS",2002,"Shooter","Sony Computer Entertainment",0,0,0,0,0
"4","0 day Attack on Earth","XBL",2009,"Shooter","Square Enix",0,0,0,0,0
"5","007 Legends","Mob",2012,"Shooter","Activision",0,0,0,0,0
"6","007 Legends","PC",2012,"Shooter","Activision",0,0,0,0,0
"7","007 Legends","PS3",2012,"Shooter","Activision",0.11,0.17,0,0.06,0.34
"8","007 Legends","WiiU",2012,"Shooter","Activision",0.06,0.06,0,0.01,0.13
"9","007 Legends","X360",2012,"Shooter","Activision",0.13,0.13,0,0.02,0.29
"10","007: Quantum of Solace","PS2",2008,"Shooter","Activision",0.17,0,0,0.26,0.43
"11","007: Quantum of Solace","PS3",2008,"Shooter","Activision",0.43,0.51,0.02,0.19,1.14
"12","007: Quantum of Solace","Wii",2008,"Shooter","Activision",0.29,0.28,0.01,0.07,0.65
"13","007: Quantum of Solace","X360",2008,"Shooter","Activision",0.82,0.51,0.01,0.14,1.48
"14","007: The World is not Enough","PS",2000,"Shooter","Electronic Arts",0.51,0.35,0,0.06,0.92
"15","007: The World is Not Enough","N64",2000,"Shooter","Electronic Arts",1.13,0.38,0.02,0.03,1.55
"16","007: Tomorrow Never Dies","PS",1999,"Shooter","Electronic Arts",1.72,1.33,0,0.16,3.21
"17","007: Tomorrow Never Dies / The World is not Enough","PS",2002,"Shooter","Electronic Arts",0,0,0,0,0
"18","100 Bullets","PSP",NA,"Shooter","Unknown",0,0,0,0,0
"19","1337 Ship Deathmatch","XBL",2009,"Shooter","Microsoft",0,0,0,0,0
"20","1941: Counter Attack","PCE",1991,"Shooter","Hudson Soft",0,0,0,0,0
"21","1942","GB",2000,"Shooter","Capcom",0,0,0,0,0
"22","1942","NES",1985,"Shooter","Capcom",0.65,0.14,0.21,0,1
"23","1942","NES",1986,"Shooter","Capcom",0.65,0.14,0.21,0,1
"24","1942 (Arcade)","VC",2011,"Shooter","Capcom",0,0,0,0,0
"25","1942: Joint Strike","PSN",2008,"Shooter","Capcom",0,0,0,0,0
