"","Global_Sales"
"7",0.34
"8",0.13
"9",0.29
"10",0.43
"11",1.14
"12",0.65
"13",1.48
"14",0.92
"15",1.55
"16",3.21
"22",1
"23",1
"31",0.42
"32",0.17
"33",0.42
"34",0.17
"39",0.19
"40",0.21
"115",0.98
"116",0.98
"117",0.12
"118",0.12
"119",0.02
"120",0.02
"121",0.18
"124",0.06
"137",0.03
"144",0.09
"147",0.1
"148",0.1
"151",0.16
"165",0.47
"166",0.47
"171",0.15
"172",0.37
"173",1.13
"174",0.3
"175",0.5
"178",0.01
"184",0.19
"185",1.05
"186",1.06
"188",0.18
"189",0.64
"190",0.8
"202",0.13
"203",0.05
"206",0.25
"207",0.08
"238",0.19
"243",0.72
"244",0.72
"245",0.45
"247",0.29
"252",0.14
"253",0.13
"256",0.11
"263",0.13
"265",0.12
"266",0.01
"268",0.26
"269",0.08
"272",0.01
"273",0.13
"275",0.02
"276",0.02
"278",0.81
"279",0.42
"280",0.24
"281",0.17
"282",0.17
"283",0.15
"284",0.15
"287",0.11
"288",0.11
"289",0.12
"291",0.13
"293",1.17
"294",1.65
"298",0.85
"300",0.32
"301",0.99
"305",0.29
"306",0.26
"309",0.02
"318",0.05
"325",4.31
"326",4.31
"331",1.15
"332",1.15
"335",0.16
"345",1.27
"346",1.27
"356",0.1
"357",0.11
"358",0.04
"359",0.04
"372",0.05
"373",0.05
"374",1.15
"375",1.15
"376",0.18
"377",0.18
"382",0.1
"386",0.08
"387",0.08
"397",0.03
"398",0.02
"402",0.04
"403",0.04
"411",0.2
"412",0.07
"413",0.48
"414",0.22
"415",0.28
"416",0.13
"419",0.77
"420",7.26
"421",5.13
"422",0.03
"425",0.03
"429",0.08
"433",0.44
"434",0.41
"435",0.56
"437",0.02
"439",0.03
"441",2.79
"442",7.23
"443",7.35
"447",1.4
"448",3.69
"449",3.94
"450",3.54
"451",2.09
"453",0.1
"454",2.22
"455",1.55
"456",0.03
"457",1.35
"458",1.46
"460",0.72
"461",2.97
"462",3.48
"469",0.14
"470",0.49
"471",2.15
"472",0.34
"473",1.24
"477",0.16
"478",0.08
"481",0.62
"482",0.62
"483",0.03
"485",0.27
"494",0.73
"495",0.73
"503",0.06
"504",0.06
"505",0.01
"507",0.02
"508",0.02
"518",0.06
"520",0.11
"523",0.04
"524",0.07
"527",0.41
"528",1.44
"529",1.45
"530",2.83
"531",2.83
"534",0.24
"535",1.55
"536",1.55
"537",2.2
"538",2.21
"551",0.67
"552",1.82
"553",1.76
"554",1.97
"555",1.96
"557",0.2
"558",0.08
"562",0.86
"563",0.48
"568",1.25
"569",0.42
"571",0.04
"584",0.09
"585",0.57
"586",0.12
"591",0.1
"595",0.1
"596",0.1
"597",0.25
"598",0.25
"622",0.57
"623",0.57
"625",0.11
"626",0.11
"628",0.42
"629",0.42
"630",0.21
"631",0.21
"633",0.27
"634",0.27
"635",0.15
"636",0.15
"646",0.01
"648",0.23
"649",0.23
"650",0.05
"651",0.05
"654",0.2
"655",0.2
"656",0.12
"657",0.11
"660",0.17
"666",0.17
"667",0.18
"668",2.12
"669",2.11
"671",3.48
"672",3.44
"673",0.94
"674",0.93
"675",2.27
"676",2.28
"677",0.68
"678",0.83
"679",3.07
"680",3.06
"681",0.09
"689",0.13
"690",0.13
"691",0.03
"692",0.01
"694",0.02
"699",1.28
"700",0.84
"701",0.68
"702",0.41
"703",0.29
"704",0.67
"705",0.75
"715",0.03
"716",0.03
"719",0.27
"720",0.01
"728",0.18
"729",0.74
"730",1.04
"735",0.04
"737",0.46
"738",0.13
"740",0.46
"741",0.31
"743",0.08
"745",0.01
"746",0.01
"748",0.02
"749",0.93
"750",0.87
"751",0.94
"752",0.87
"754",0.46
"755",0.66
"756",0.83
"762",0.07
"763",0.06
"764",0.01
"766",0.1
"767",0.1
"768",0.16
"769",0.54
"771",1.02
"777",0.13
"778",0.08
"785",0.01
"793",0.07
"794",0.07
"795",0.04
"797",0.03
"798",0.02
"799",0.03
"800",0.01
"803",0.01
"804",0.06
"805",2.06
"807",0.33
"808",2.67
"809",0.33
"810",2.67
"811",1.12
"812",1.07
"813",1.52
"814",2.24
"815",2.26
"816",2.71
"819",1.06
"820",1.15
"821",6.72
"823",9.41
"825",1.71
"828",0.42
"829",4.45
"830",7.6
"831",4.34
"832",5.22
"833",0.63
"834",1.62
"835",1.63
"836",12.73
"838",1.4
"839",14.74
"853",0.3
"854",1.95
"855",15.09
"856",2.01
"857",7.37
"858",1.53
"859",14.03
"860",0.43
"861",13.86
"862",0.13
"863",9.32
"864",4.85
"865",0.4
"866",2.89
"867",1.21
"868",0.73
"869",10.13
"870",4.17
"871",0.36
"872",10.41
"873",3.07
"874",0.33
"875",8.48
"876",4.79
"877",0.89
"878",10.69
"880",13.53
"882",1.72
"883",13.46
"884",0.89
"885",14.82
"886",0.3
"888",0.58
"889",0.24
"890",0.11
"891",0.18
"892",0.43
"893",1.53
"894",2.14
"895",0.06
"897",0.91
"898",0.19
"899",5.43
"900",1.97
"901",7.5
"911",1.72
"912",0.19
"913",13.4
"914",6.23
"915",0.01
"916",0.01
"917",0.19
"918",0.03
"919",0.89
"920",0.61
"924",0.12
"925",0.3
"926",0.27
"940",0.34
"941",0.34
"947",0.04
"948",0.04
"949",0.01
"950",0.02
"951",0.02
"954",1.36
"955",1.36
"962",0.65
"963",0.65
"968",0.05
"969",0.06
"975",0.01
"982",0.02
"983",0.04
"984",0.04
"985",0.32
"986",0.33
"988",0.02
"989",0.02
"995",0.14
"998",0.23
"999",0.44
"1000",0.02
"1017",0.5
"1021",0.1
"1022",0.1
"1024",0.05
"1032",0.25
"1033",0.25
"1035",0.01
"1036",0.2
"1037",0.32
"1040",0.18
"1041",0.18
"1047",0.02
"1048",0.02
"1052",0.75
"1053",0.75
"1054",0.06
"1055",0.06
"1056",0.09
"1057",0.09
"1060",0.02
"1061",0.11
"1062",0.11
"1065",0.06
"1066",0.06
"1067",0.03
"1068",0.03
"1071",0.07
"1072",0.07
"1074",0.01
"1076",0.02
"1077",0.02
"1079",0.06
"1080",0.02
"1082",0.39
"1084",0.13
"1087",0.01
"1088",0.19
"1089",0.19
"1090",0.08
"1091",0.08
"1093",1.57
"1094",0.87
"1095",0.87
"1096",0.04
"1097",0.04
"1099",0.77
"1100",0.77
"1101",0.28
"1102",0.28
"1104",0.19
"1105",0.19
"1106",0.1
"1107",0.1
"1109",0.53
"1110",0.53
"1111",0.22
"1112",0.22
"1121",0.3
"1122",0.31
"1123",0.11
"1124",0.11
"1126",0.13
"1127",0.13
"1132",0.67
"1133",0.67
"1135",0.58
"1136",0.58
"1143",1.05
"1144",1.05
"1151",0.05
"1152",0.05
"1154",1.11
"1162",0.09
"1165",1.75
"1167",1.12
"1188",0.04
"1189",0.04
"1191",0.72
"1194",0.73
"1195",1.33
"1196",1.37
"1203",0.64
"1204",0.91
"1205",0.92
"1206",0.09
"1207",0.02
"1211",0.01
"1212",0.01
"1229",0.01
"1230",0.09
"1231",0.07
"1232",0.04
"1233",0.22
"1239",0.1
"1240",0.1
"1242",0.03
"1243",0.03
"1249",0.04
"1250",0.04
"1251",0.24
"1252",0.24
"1255",0.47
"1256",0.47
"1257",0.48
"1258",0.48
"1260",0.1
"1261",0.32
"1262",0.32
"1263",0.21
"1264",0.21
"1271",0.04
"1272",0.04
"1274",0.11
"1282",0.59
"1283",2
"1284",1.4
"1286",0.33
"1287",1.44
"1289",1.52
"1292",0.19
"1293",1.02
"1294",1
"1296",0.48
"1298",0.02
"1299",0.02
"1300",0.14
"1301",0.14
"1303",1.36
"1304",1.36
"1305",0.72
"1306",0.72
"1308",0.2
"1309",0.2
"1310",0.11
"1311",0.11
"1312",0.13
"1313",0.13
"1314",0.28
"1315",0.28
"1316",0.21
"1317",0.21
"1321",0.22
"1322",0.22
"1328",0.28
"1329",0.28
"1331",0.03
"1333",0.01
"1339",0.03
"1340",0.04
"1341",0.04
"1343",0.07
"1344",0.07
"1346",1.05
"1348",0.01
"1349",0.11
"1351",0.4
"1352",0.09
"1355",0.45
"1356",0.45
"1359",0.21
"1360",0.36
"1361",0.57
"1367",0.46
"1368",0.34
"1378",0.12
"1379",0.11
"1380",0.17
"1381",0.17
"1383",2.13
"1384",2.13
"1387",0.19
"1400",0.1
"1401",0.1
"1406",0.26
"1408",1.73
"1409",5.76
"1410",1.95
"1411",3.41
"1412",0.16
"1413",4.14
"1414",2.35
"1415",0.02
"1416",0.36
"1417",0.13
"1418",0.78
"1419",0.41
"1420",0.43
"1421",2.18
"1422",0.4
"1423",1.27
"1424",0.94
"1425",0.46
"1427",0.09
"1428",0.09
"1429",0.13
"1430",0.13
"1434",0.01
"1435",0.59
"1436",1.39
"1437",0.12
"1438",1.39
"1440",0.33
"1450",0.03
"1451",0.03
"1453",1.54
"1455",0.12
"1456",0.12
"1462",0.22
"1468",1.48
"1469",1.48
"1471",1.55
"1472",1.72
"1475",0.06
"1476",0.06
"1477",0.1
"1478",0.11
"1481",0.13
"1482",0.13
"1487",0.02
"1488",0.01
"1490",0.05
"1491",0.05
"1492",0.01
"1498",0.14
"1499",0.03
"1500",0.04
"1501",0.78
"1502",0.78
"1506",0.43
"1507",0.38
"1508",2.92
"1509",1.45
"1510",0.1
"1511",1.34
"1512",0.03
"1513",0.59
"1514",0.49
"1516",0.71
"1517",0.47
"1523",0.04
"1524",3.61
"1527",0.56
"1536",0.02
"1537",0.02
"1539",0.06
"1549",0.07
"1550",0.07
"1552",0.07
"1553",0.07
"1563",28.31
"1576",0.09
"1577",0.09
"1581",0.44
"1582",0.01
"1584",0.41
"1585",0.76
"1586",0.77
"1587",0.83
"1588",0.84
"1592",0.04
"1596",0.08
"1599",1.38
"1600",1.38
"1601",0.61
"1602",0.26
"1609",0.07
"1610",0.05
"1615",0.08
"1616",0.02
"1617",0.02
"1618",0.06
"1619",0.36
"1620",0.36
"1621",0.15
"1622",0.15
"1624",0.08
"1625",0.11
"1626",0.24
"1627",0.2
"1628",0.2
"1629",0.19
"1630",0.19
"1633",0.13
"1634",0.13
"1635",0.12
"1636",0.13
"1641",0.31
"1643",0.06
"1644",0.06
"1650",0.08
"1653",0.07
"1654",0.04
"1655",0.05
"1657",0.02
"1658",0.35
"1659",0.45
"1664",0.14
"1665",0.14
"1667",0.01
"1669",0.04
"1671",0.02
"1672",0.02
"1674",0.21
"1678",0.13
"1679",0.11
"1683",0.18
"1684",1.01
"1685",0.95
"1686",0.67
"1687",0.62
"1699",0.55
"1700",0.34
"1701",0.09
"1702",0.07
"1703",0.47
"1704",0.49
"1705",0.52
"1706",0.53
"1711",0.15
"1712",0.45
"1713",0.46
"1714",0.45
"1715",0.45
"1717",0.09
"1718",0.09
"1719",0.01
"1720",0.01
"1725",0.08
"1726",0.12
"1727",0.12
"1738",0.05
"1739",0.48
"1740",1.38
"1742",1.59
"1744",0.98
"1745",3.45
"1746",3.04
"1748",0.65
"1749",1.44
"1750",4.06
"1751",0.98
"1752",1.68
"1753",0.57
"1754",0.08
"1755",0.25
"1756",0.08
"1760",0.48
"1773",0.27
"1781",0.37
"1791",0.24
"1792",0.29
"1795",0.69
"1800",0.17
"1801",0.33
"1804",0.13
"1806",0.52
"1807",0.23
"1809",0.08
"1810",0.05
"1811",0.29
"1812",0.2
"1813",0.02
"1814",0.56
"1816",0.15
"1817",0.15
"1818",0.22
"1823",0.07
"1824",0.07
"1839",0.02
"1842",0.25
"1843",0.25
"1861",0.24
"1863",0.77
"1864",0.77
"1889",0.02
"1890",6.11
"1892",6.76
"1896",6.24
"1901",3.38
"1904",0.29
"1906",1.61
"1907",1.6
"1908",3
"1909",3.62
"1925",0.14
"1926",0.15
"1927",0.12
"1928",0.13
"1937",0.79
"1940",0.06
"1943",0.02
"1944",0.02
"1945",0.17
"1946",0.17
"1948",0.18
"1949",0.18
"1951",0.08
"1952",8.09
"1953",1.36
"1954",0.8
"1955",0.51
"1956",0.11
"1957",0.36
"1958",0.64
"1959",0.49
"1964",0.03
"1971",1.36
"1972",1.36
"1979",0.06
"1980",0.06
"1984",0.08
"1985",0.08
"1993",0.08
"1994",0.08
"1996",0.09
"1997",0.09
"2007",0.04
"2008",0.04
"2010",0.13
"2011",0.12
"2012",0.21
"2013",0.21
"2014",0.54
"2015",0.04
"2016",0.03
"2017",0.01
"2030",0.18
"2031",0.01
"2032",1.17
"2033",0.27
"2034",0.27
"2035",0.52
"2038",0.11
"2039",0.11
"2042",0.06
"2047",0.08
"2052",0.44
"2053",0.44
"2061",0.19
"2062",0.19
"2064",0.01
"2065",0.14
"2066",0.14
"2069",0.16
"2070",0.15
"2072",0.13
"2073",0.13
"2079",0.07
"2080",0.17
"2081",0.17
"2093",4.12
"2094",4.12
"2095",0.6
"2096",0.6
"2098",2.37
"2100",0.61
"2127",0.1
"2128",8.49
"2129",0.69
"2130",12.14
"2136",6.36
"2138",9.76
"2139",9.96
"2140",4.26
"2145",0.16
"2146",0.04
"2148",6.43
"2150",2.44
"2151",2.41
"2153",9.97
"2164",3.15
"2165",3.44
"2174",1
"2180",0.07
"2181",0.07
"2184",0.02
"2185",0.19
"2186",0.18
"2187",0.11
"2191",0.02
"2208",0.19
"2209",0.19
"2213",0.11
"2218",0.08
"2219",0.08
"2224",0.11
"2225",0.06
"2227",0.14
"2229",0.15
"2230",0.13
"2232",0.8
"2233",0.34
"2237",1.27
"2239",0.24
"2240",0.91
"2242",1.46
"2248",0.08
"2249",0.5
"2250",0.21
"2254",0.28
"2257",0.13
"2261",0.02
"2263",0.07
"2264",0.06
"2283",0.09
"2302",0.14
"2303",0.14
"2308",0.44
"2310",0.15
"2311",0.16
"2313",0.08
"2328",0.09
"2329",0.01
"2330",0.01
"2331",0.07
"2332",0.06
"2338",0.46
"2339",0.46
"2340",0.13
"2341",0.13
"2347",0.34
"2354",0.72
"2355",3.53
"2356",0.9
"2357",0.07
"2358",0.02
"2359",0.72
"2360",0.48
"2361",0.17
"2362",0.42
"2363",2.31
"2364",0.64
"2365",0.13
"2366",0.78
"2368",3.33
"2369",0.82
"2371",1.16
"2377",0.05
"2378",0.05
"2388",0.02
"2393",0.05
"2396",0.03
"2397",0.03
"2398",0.02
"2399",0.02
"2401",0.11
"2402",0.11
"2403",0.14
"2404",0.19
"2405",0.15
"2406",0.13
"2410",0.07
"2411",0.59
"2412",0.49
"2414",0.76
"2415",0.76
"2424",0.02
"2425",0.02
"2426",0.37
"2427",0.37
"2430",0.02
"2431",0.02
"2433",0.7
"2434",0.7
"2435",0.24
"2436",0.24
"2439",0.27
"2440",0.06
"2443",0.94
"2444",3.02
"2445",0.59
"2452",2.81
"2457",0.9
"2458",1
"2459",2.58
"2464",0.08
"2465",0.08
"2480",0.06
"2499",0.02
"2500",0.02
"2501",3.52
"2502",3.52
"2503",0.36
"2504",0.37
"2505",3.99
"2517",0.02
"2518",0.02
"2519",0.13
"2520",0.13
"2521",0.26
"2522",0.26
"2527",0.09
"2528",0.09
"2529",0.03
"2530",0.03
"2541",5
"2542",0.04
"2555",0.03
"2556",0.96
"2557",0.76
"2558",0.04
"2559",0.22
"2560",0.12
"2562",0.64
"2563",1.34
"2576",0.19
"2577",0.19
"2578",0.11
"2579",0.11
"2580",0.07
"2591",0.08
"2592",0.09
"2595",1.32
"2598",0.05
"2599",0.05
"2606",0.12
"2607",0.12
"2608",0.01
"2616",0.03
"2617",0.03
"2623",0.11
"2624",0.11
"2637",0.03
"2638",0.02
"2639",0.02
"2640",3.31
"2641",3.31
"2642",1.22
"2643",1.22
"2645",0.03
"2646",0.03
"2647",1.34
"2648",1.34
"2649",0.64
"2650",0.64
"2653",0.43
"2654",1.86
"2655",1.9
"2656",1.63
"2657",1.66
"2658",0.11
"2659",0.11
"2664",0.2
"2665",0.2
"2670",0.17
"2671",0.17
"2675",0.49
"2676",2.67
"2677",2.67
"2678",2.83
"2680",2.64
"2685",0.25
"2687",2.66
"2689",1.16
"2690",0.42
"2691",0.05
"2692",1.23
