"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","101 Dolphin Pets","DSiW",2011,"Simulation","Teyon Entertainment",0,0,0,0,0
"2","101 Pony Pets 3D","3DS",2014,"Simulation","SelectSoft",0,0,0,0,0
"3","101 Shark Pets","DSiW",2010,"Simulation","Teyon Entertainment",0,0,0,0,0
"4","1503 A.D.: The New World","PC",2003,"Simulation","Electronic Arts",0,0,0,0,0
"5","1602 A.D.","PC",2000,"Simulation","Sunflowers",0,0,0,0,0
"6","1701 A.D.","PC",2006,"Simulation","Aspyr",0,0,0,0,0
"7","1701 A.D.","PC",2006,"Simulation","Deep Silver",0,0.25,0,0.05,0.3
"8","1701 A.D. Gold Edition","PC",2008,"Simulation","Aspyr",0,0,0,0,0
"9","1701 A.D.: The Curse of the Dragon","PC",2007,"Simulation","Sunflowers",0,0,0,0,0
"10","1830: Railroads & Robber Barons","PC",1995,"Simulation","Avalon Interactive",0,0,0,0,0
"11","1869","PC",1992,"Simulation","Unknown",0,0,0,0,0
"12","1914: Shells of Fury","PC",2007,"Simulation","Astragon",0,0,0,0,0
"13","1942: The Pacific Air War","PC",1994,"Simulation","Microprose",0,0,0,0,0
"14","3 Great Planes For Microsoft Combat Flight Simulator!","PC",NA,"Simulation","Unknown",0,0,0,0,0
"15","3D Tank Warfare Simulator Panzer Front","PS",1999,"Simulation","Avalon Interactive",0.06,0.04,0,0.01,0.1
"16","3D Tank Warfare Simulator Panzer Front","PS",2001,"Simulation","Agetec",0.06,0.04,0,0.01,0.1
"17","60 seconds!","PC",2015,"Simulation","Robot Gentleman Studios",0,0,0,0,0
"18","60 Seconds!","NS",2017,"Simulation","Robot Gentleman Studios",0,0,0,0,0
"19","688 Attack Sub","GEN",1991,"Simulation","Sega",0,0,0,0,0
"20","688 Attack Sub","PC",1989,"Simulation","Electronic Arts",0,0,0,0,0
"21","7 Sins","PC",2005,"Simulation","Digital Jesters",0,0,0,0,0
"22","7 Sins","PS2",2005,"Simulation","Digital Jesters",0,0,0,0,0
"23","757","PC",NA,"Simulation","Unknown",0,0,0,0,0
"24","757 Jetliner","PC",2011,"Simulation","Just Flight",0,0,0,0,0
"25","911 Operator","PC",2000,"Simulation","Unknown",0,0,0,0,0
"26","A Kingdom for Keflings","XBL",2008,"Simulation","NinjaBee",0,0,0,0,0
"27","A llI S.V.: A Ressha de Gyoukou 3 Super Version","SNES",1995,"Simulation","Pack-In-Video",0,0,0.06,0,0.06
"28","A Ressha de Gyoukou","NES",1991,"Simulation","Pony Canyon",0,0,0,0,0
"29","A Ressha de Gyoukou 2001","PS2",2001,"Simulation","ArtDink",0,0,0.03,0,0.03
"30","A Ressha de Ikou DS","DS",2009,"Simulation","ArtDink",0,0,0.04,0,0.04
"31","A Ressha de Ikou DS: Navigation Pack","DS",2010,"Simulation","ArtDink",0,0,0,0,0
"32","A World of Keflings","WiiU",NA,"Simulation","Unknown",0,0,0,0,0
"33","A World of Keflings","XBL",2010,"Simulation","NinjaBee",0,0,0,0,0
"34","A-10 Cuba!","OSX",1996,"Simulation","Activision",0,0,0,0,0
"35","A-10 Cuba!","PC",1996,"Simulation","Activision",0,0,0,0,0
"36","A-Ressha de Ikou Z: Mezase! Tairiku Oudan","PS",1999,"Simulation","ArtDink",0,0,0,0,0
"37","A-Train","PC",1992,"Simulation","Maxis",0,0,0,0,0
"38","A-Train","PS",1995,"Simulation","Sony Computer Entertainment",0.02,0.01,0.04,0.01,0.08
"39","A-Train 3D: City Simulator","3DS",2015,"Simulation","Natsume",0,0,0.06,0,0.06
"40","A-Train 3D: City Simulator Neo","3DS",2016,"Simulation","ArtDink",0,0,0.01,0,0.01
"41","A-Train 8","PC",2009,"Simulation","Bluestone Interactive",0,0,0,0,0
"42","A-Train 9","PC",2014,"Simulation","Degica",0,0,0,0,0
"43","A-Train Exp.","PS4",2017,"Simulation","ArtDink",0,0,0.02,0,0.02
"44","A-Train HX","X360",2008,"Simulation","505 Games",0,0,0,0,0
"45","A.C.E.: Another Century's Episode","PS2",2005,"Simulation","Banpresto",0,0,0.26,0,0.26
"46","A.C.E.: Another Century's Episode 2","PS2",2006,"Simulation","Banpresto",0,0,0.18,0,0.18
"47","A.C.E.: Another Century's Episode 2 - Special Vocal Version","PS2",2007,"Simulation","Banpresto",0,0,0.01,0,0.01
"48","A.C.E.: Another Century's Episode 3: The Final","PS2",2007,"Simulation","Banpresto",0,0,0.26,0,0.26
"49","A.C.E.: Another Century's Episode Portable","PSP",2011,"Simulation","Namco Bandai",0,0,0.12,0,0.12
"50","A.C.E.: Another Century's Episode Portable","PSP",2011,"Simulation","Namco Bandai Games",0,0,0.12,0,0.12
"51","A.C.E.: Another Century's Episode R","PS3",2010,"Simulation","Namco Bandai",0,0,0.26,0,0.26
"52","A.C.E.: Another Century's Episode R","PS3",2010,"Simulation","Namco Bandai Games",0,0,0.26,0,0.26
"53","A.III: A Ressha de Gyoukou 3","PCE",1993,"Simulation","ArtDink",0,0,0,0,0
"54","A.III: A Ressha de Gyoukou 3","VC",2007,"Simulation","ArtDink",0,0,0,0,0
"55","A.S.P. Air Strike Patrol","SNES",1994,"Simulation","Seta Corporation",0,0,0,0,0
"56","A340 500/600","PC",2006,"Simulation","Just Flight",0,0,0,0,0
"57","AC-130: Operation Devastation","PC",2009,"Simulation","ValuSoft",0,0,0,0,0
"58","Ace Attorney 123: Wright Selection","NS",2019,"Simulation","Capcom",0,0,0,0,0
"59","Ace Combat 04: Shattered Skies","PS2",2001,"Simulation","Namco",2.06,0.56,0.38,0.17,3.17
"60","Ace Combat 04: Shattered Skies","PS2",2001,"Simulation","Sony Computer Entertainment Europe",2.06,0.56,0.38,0.17,3.17
"61","Ace Combat 2","PS",1997,"Simulation","Namco",0.16,0.11,0.56,0.06,0.89
"62","Ace Combat 2","PS",1997,"Simulation","Sony Computer Entertainment",0.16,0.11,0.56,0.06,0.89
"63","Ace Combat 3: Electrosphere","PS",1999,"Simulation","Sony Computer Entertainment",0.22,0.15,0.4,0.05,0.83
"64","Ace Combat 3: Electrosphere","PS",2000,"Simulation","Namco",0.22,0.15,0.4,0.05,0.83
"65","Ace Combat 5: The Unsung War","PS2",2004,"Simulation","Namco",0.88,0.34,0.32,0.18,1.71
"66","Ace Combat 5: The Unsung War","PS2",2004,"Simulation","Namco",0,0,0,0,0
"67","Ace Combat 5: The Unsung War","PS2",2004,"Simulation","Sony Computer Entertainment Europe",0.88,0.34,0.32,0.18,1.71
"68","Ace Combat 6: Fires of Liberation","X360",2007,"Simulation","Atari",0.69,0.04,0.22,0.06,1.02
"69","Ace Combat 6: Fires of Liberation","X360",2007,"Simulation","Namco Bandai",0,0,0,0,0
"70","Ace Combat X: Skies of Deception","PSP",2006,"Simulation","Namco Bandai",0.37,0.31,0.12,0.19,1
"71","Ace Combat X: Skies of Deception","PSP",2006,"Simulation","Namco Bandai Games",0.37,0.31,0.12,0.19,0.99
"72","Ace Combat Zero: The Belkan War","PS2",2006,"Simulation","Namco",0.15,0.12,0.2,0.04,0.51
"73","Ace Combat Zero: The Belkan War","PS2",2006,"Simulation","Namco Bandai Games",0.15,0.12,0.2,0.04,0.51
"74","Ace Combat: Assault Horizon Legacy","3DS",2011,"Simulation","Namco Bandai",0.1,0.06,0.08,0.01,0.25
"75","Ace Combat: Assault Horizon Legacy","3DS",2011,"Simulation","Namco Bandai Games",0.1,0.06,0.08,0.01,0.24
"76","Ace Combat: Joint Assault","PSN",2010,"Simulation","Namco Bandai",0,0,0,0,0
"77","Ace Combat: Joint Assault","PSP",2010,"Simulation","Namco Bandai",0.06,0.05,0.15,0.03,0.29
"78","Ace Combat: Joint Assault","PSP",2010,"Simulation","Namco Bandai Games",0.06,0.05,0.15,0.03,0.29
"79","Ace of Aces","7800",1988,"Simulation","Atari",0,0,0,0,0
"80","Ace of Aces","MS",1991,"Simulation","Sega",0,0,0,0,0
"81","Aces of the Air","PS",2002,"Simulation","Agetec",0,0,0,0,0
"82","Aces of the Deep","PC",1994,"Simulation","Sierra Entertainment",0,0,0,0,0
"83","Aces of the Pacific","PC",1992,"Simulation","Sierra Entertainment",0,0,0,0,0
"84","Aces of War","PS2",2007,"Simulation","505 Games",0,0,0,0,0
"85","Aces of War","PSP",2007,"Simulation","505 Games",0,0,0,0,0
"86","Aces Over Europe","PC",1993,"Simulation","Sierra Entertainment",0,0,0,0,0
"87","Aerial Strike: Low Altitude - High Stakes","PC",2005,"Simulation","DreamCatcher Interactive",0,0,0,0,0
"88","Aero Dancing F: Todoroki Tsubasa no Hatsu Hikou","DC",2000,"Simulation","CRI",0,0,0,0,0
"89","Aero Dancing i: Jikai Sakuma de Machite Masen","DC",2001,"Simulation","CSK Research Institute",0,0,0,0,0
"90","Aero Dancing: Torodoki Taichou no Himitsu Disc","DC",2000,"Simulation","CRI",0,0,0,0,0
"91","Aero Elite: Combat Academy","PS2",2002,"Simulation","Sega",0.04,0.03,0,0.01,0.07
"92","Aero Elite: Combat Academy","PS2",2003,"Simulation","Sega",0.04,0.03,0,0.01,0.07
"93","Aero Porter","3DS",2012,"Simulation","Level 5",0,0,0,0,0
"94","AeroWings","DC",1999,"Simulation","Crave Entertainment",0,0,0,0,0
"95","AeroWings 2: Airstrike","DC",2000,"Simulation","Crave Entertainment",0,0,0,0,0
"96","After Burner","MS",1988,"Simulation","Sega",0,0,0,0,0
"97","After Burner Climax","PSN",2010,"Simulation","Sega",0,0,0,0,0
"98","After Burner Climax","XBL",2010,"Simulation","Sega",0,0,0,0,0
"99","After Burner III","SCD",1993,"Simulation","Sega",0,0,0,0,0
"100","After Burner: Black Falcon","PSN",2010,"Simulation","Sega",0,0,0,0,0
"101","After Burner: Black Falcon","PSP",2007,"Simulation","Sega",0.01,0,0,0,0.01
"102","Afterlife","PC",1996,"Simulation","LucasArts",0,0,0,0,0
"103","Agile Warrior F-111X","PC",1996,"Simulation","Virgin Interactive",0,0,0,0,0
"104","Agile Warrior F-111X","PS",1995,"Simulation","Virgin Interactive",0.08,0.05,0,0.01,0.14
"105","AH-3 Thunderstrike","SCD",1993,"Simulation","JVC",0,0,0,0,0
"106","AH-64D Longbow","PC",1996,"Simulation","Electronic Arts",0,0,0,0,0
"107","AHx-1","PC",1997,"Simulation","GT Interactive",0,0,0,0,0
"108","Aikatsu! 2-nin no My Princess","3DS",2013,"Simulation","Namco Bandai Games",0,0,0.27,0,0.27
"109","Aikatsu! Cinderella Lesson","3DS",2012,"Simulation","Namco Bandai Games",0,0,0.2,0,0.2
"110","Air Assault Task Force","PC",2010,"Simulation","Unknown",0,0,0,0,0
"111","Air Battles: Sky Defender","PC",2007,"Simulation","U.S. Army",0,0,0,0,0
"112","Air Combat","PS",1995,"Simulation","Namco",0.92,0.33,0.52,0.05,1.83
"113","Air Combat","PS",1995,"Simulation","Sony Computer Entertainment",0.92,0.33,0.52,0.05,1.83
"114","Air Combat Pack: Air Aces Pacific / Dogfighter","PC",2011,"Simulation","Unknown",0,0,0,0,0
"115","Air Conflicts: Aces of World War II","PSP",2009,"Simulation","Graffiti",0.05,0,0,0,0.05
"116","Air Conflicts: Double Pack","NS",2019,"Simulation","U&I Entertainment",0,0,0,0,0
"117","Air Conflicts: Pacific Carriers","PS3",2013,"Simulation","Maximum Games",0,0,0,0,0
"118","Air Conflicts: Pacific Carriers","PS4",2015,"Simulation","Kalypso",0,0,0,0,0
"119","Air Conflicts: Pacific Carriers","X360",2012,"Simulation","bitComposer Games",0,0,0,0,0
"120","Air Conflicts: Secret Wars","PC",2011,"Simulation","bitComposer Games",0,0.02,0,0.01,0.03
"121","Air Conflicts: Secret Wars","PS3",2011,"Simulation","bitComposer Games",0.1,0.06,0,0.03,0.19
"122","Air Conflicts: Secret Wars","PS3",2011,"Simulation","Kalypso",0.1,0.06,0,0.03,0.19
"123","Air Conflicts: Secret Wars","PS4",2017,"Simulation","Nighthawk Interactive",0.03,0,0,0.01,0.04
"124","Air Conflicts: Secret Wars","X360",2011,"Simulation","bitComposer Games",0.06,0.02,0,0.01,0.08
"125","Air Conflicts: Secret Wars","X360",2011,"Simulation","Kalypso",0.06,0.02,0,0.01,0.08
"126","Air Force Special Ops Nightfall","PS4",2017,"Simulation","Sony Interactive Entertainment",0,0,0,0,0
"127","Air Legends","XBL",2009,"Simulation","Microsoft",0,0,0,0,0
"128","Air Missions: Hind","PS4",2018,"Simulation","Soedesco",0.02,0,0,0,0.03
"129","Air Offensive: Art of Flying","PC",2003,"Simulation","Summitsoft",0,0,0,0,0
"130","Air Ranger 2 Plus: Rescue Helicopter","PS2",2003,"Simulation","ASK",0,0,0,0,0
"131","Air Ranger 2: Rescue Helicopter","PS2",2002,"Simulation","ASK",0,0,0,0,0
"132","Air Ranger: Rescue Helicopter","PS2",2002,"Simulation","Midas Interactive Entertainment",0,0,0,0,0
"133","Air Traffic Chaos","DS",2007,"Simulation","Ertain",0.05,0,0,0,0.05
"134","Air Traffic Chaos","DS",2008,"Simulation","Majesco",0.05,0,0,0,0.05
"135","Airfix Dogfighter","PC",2000,"Simulation","EON Digital Entertainment",0,0,0,0,0
"136","AirForce Delta","DC",1999,"Simulation","Konami",0,0,0,0,0
"137","AirForce Delta","GB",2000,"Simulation","Konami",0,0,0,0,0
"138","AirForce Delta Storm","XB",2001,"Simulation","Konami",0.14,0.04,0,0.01,0.18
"139","AirForce Delta Strike","PS2",2004,"Simulation","Konami",0.05,0.04,0,0.01,0.11
