"","Global_Sales"
"7",0.3
"15",0.1
"16",0.1
"27",0.06
"29",0.03
"30",0.04
"38",0.08
"39",0.06
"40",0.01
"43",0.02
"45",0.26
"46",0.18
"47",0.01
"48",0.26
"49",0.12
"50",0.12
"51",0.26
"52",0.26
"59",3.17
"60",3.17
"61",0.89
"62",0.89
"63",0.83
"64",0.83
"65",1.71
"67",1.71
"68",1.02
"70",1
"71",0.99
"72",0.51
"73",0.51
"74",0.25
"75",0.24
"77",0.29
"78",0.29
"91",0.07
"92",0.07
"101",0.01
"104",0.14
"108",0.27
"109",0.2
"112",1.83
"113",1.83
"115",0.05
"120",0.03
"121",0.19
"122",0.19
"123",0.04
"124",0.08
"125",0.08
"128",0.03
"133",0.05
"134",0.05
"138",0.18
"139",0.11
"140",0.11
"141",0.02
"142",0.02
"143",0.05
"144",0.05
"149",0.02
"152",0.08
"153",0.23
"154",0.07
"160",0.03
"161",0.03
"162",0.1
"163",0.07
"164",0.27
"165",0.09
"170",3.15
"172",0.31
"174",4.68
"175",2.98
"176",9.09
"180",12.27
"182",0.25
"183",0.25
"185",0.08
"187",0.05
"188",0.11
"189",0.1
"190",0.03
"191",0.03
"194",0.14
"195",0.13
"205",0.07
"206",0.07
"211",0.03
"212",0.03
"213",0.22
"214",0.17
"216",0.05
"223",0.06
"224",0.06
"237",0.01
"241",0.41
"242",0.79
"243",0.79
"244",0.41
"245",0.41
"246",0.67
"247",0.67
"248",0.08
"250",0.2
"251",0.2
"252",0.25
"253",0.25
"255",0.03
"256",0.4
"257",0.4
"258",0.22
"259",0.22
"260",0.19
"261",0.15
"263",0.05
"264",0.05
"265",0.18
"266",0.18
"268",0.03
"269",0.26
"270",0.26
"271",0.26
"272",0.26
"273",0.07
"274",0.07
"275",0.28
"276",0.28
"277",0.31
"278",0.12
"303",0.02
"304",0.28
"305",0.28
"306",0.5
"307",0.49
"308",0.26
"309",0.26
"314",0.07
"325",0.16
"326",0.08
"331",1.09
"332",1.09
"333",0.07
"334",0.07
"338",0.6
"339",0.6
"340",0.29
"341",0.29
"344",0.33
"345",0.33
"356",0.02
"357",0.02
"359",0.03
"360",0.03
"361",0.03
"362",0.03
"363",0.03
"365",0.03
"366",0.04
"367",0.04
"368",0.05
"369",0.05
"370",0.05
"371",0.05
"386",0.25
"387",0.16
"389",0.13
"392",0.01
"395",0.15
"396",0.14
"397",0.03
"398",0.67
"399",0.85
"400",0.42
"401",0.08
"405",0.09
"441",0.48
"442",0.27
"447",0.03
"450",0.1
"451",0.1
"452",0.93
"453",0.93
"454",0.37
