"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","'98 Koshien","PS",1998,"Sports","Magical Company",0.15,0.1,0.12,0.03,0.41
"2","'99 Koshien","PS",1999,"Sports","Magical Company",0,0,0,0,0
"3","1 on 1","PS",1998,"Sports","Jorudan",0,0,0,0,0
"4","1 on 1","PSN",2009,"Sports","Jorudan",0,0,0,0,0
"5","10 Minute Solution","Wii",2010,"Sports","Activision",0.06,0.01,0,0.01,0.08
"6","10 Pin Bowling","GB",1999,"Sports","Majesco",0,0,0,0,0
"7","10-Yard Fight","NES",1985,"Sports","Nintendo",0,0,0,0,0
"8","100 Kiri Golf DS","DS",2008,"Sports","GungHo",0,0,0,0,0
"9","101 MiniGolf World","DSiW",2010,"Sports","Teyon Entertainment",0,0,0,0,0
"10","101-in-1 Sports Megamix","DS",2010,"Sports","Atlus",0.08,0,0,0.01,0.08
"11","101-in-1 Sports Megamix","DS",2010,"Sports","Nordcurrent",0.08,0,0,0.01,0.08
"12","101-in-1 Sports Party Megamix","Wii",2010,"Sports","Nordcurrent",0.02,0,0,0,0.03
"13","101-in-1 Sports Party Megamix","Wii",2011,"Sports","Atlus",0.02,0,0,0,0.03
"14","1080 Avalanche","GC",2003,"Sports","Nintendo",0,0,0,0,0
"15","1080: TenEighty Snowboarding","N64",1998,"Sports","Nintendo",0,0,0,0,0
"16","1080: TenEighty Snowboarding","VC",2008,"Sports","Nintendo",0,0,0,0,0
"17","1500DS Spirits Vol. 8: Darts","DS",2007,"Sports","Tasuke",0,0,0,0,0
"18","2 Games in 1: GT 3 Advance: Pro Concept Racing & MotoGP","GBA",2004,"Sports","THQ",0,0,0,0,0
"19","2-for-1 Power Pack: Winter Blast/Summer Sports 2","Wii",2010,"Sports","Destineer",0,0,0,0,0
"20","2002 FIFA World Cup","GC",2002,"Sports","EA Sports",0.04,0.01,0,0,0.05
"21","2002 FIFA World Cup","GC",2002,"Sports","Electronic Arts",0.04,0.01,0,0,0.05
"22","2002 FIFA World Cup","PC",2002,"Sports","EA Sports",0,0,0,0,0
"23","2002 FIFA World Cup","PS",2002,"Sports","EA Sports",0,0,0,0,0
"24","2002 FIFA World Cup","PS2",2002,"Sports","EA Sports",0.21,0.17,0.16,0.06,0.59
"25","2002 FIFA World Cup","PS2",2002,"Sports","Electronic Arts",0.21,0.17,0.16,0.06,0.59
"26","2002 FIFA World Cup","XB",2002,"Sports","EA Sports",0.14,0.04,0,0.01,0.19
"27","2002 FIFA World Cup","XB",2002,"Sports","Electronic Arts",0.14,0.04,0,0.01,0.19
"28","2010 FIFA World Cup South Africa","PS3",2010,"Sports","EA Sports",0.3,0.64,0.07,0.22,1.23
"29","2010 FIFA World Cup South Africa","PS3",2010,"Sports","Electronic Arts",0.3,0.64,0.07,0.22,1.23
"30","2010 FIFA World Cup South Africa","PSN",2010,"Sports","EA Sports",0,0,0,0,0
"31","2010 FIFA World Cup South Africa","PSP",2010,"Sports","EA Sports",0.09,0.23,0.03,0.12,0.47
"32","2010 FIFA World Cup South Africa","PSP",2010,"Sports","Electronic Arts",0.09,0.24,0.03,0.12,0.48
"33","2010 FIFA World Cup South Africa","Wii",2010,"Sports","EA Sports",0.23,0.15,0.01,0.04,0.42
"34","2010 FIFA World Cup South Africa","Wii",2010,"Sports","Electronic Arts",0.23,0.15,0.01,0.04,0.43
"35","2010 FIFA World Cup South Africa","X360",2010,"Sports","EA Sports",0.32,0.42,0.02,0.09,0.85
"36","2010 FIFA World Cup South Africa","X360",2010,"Sports","Electronic Arts",0.32,0.43,0.02,0.09,0.86
"37","2014 FIFA World Cup Brazil","PS3",2014,"Sports","EA Sports",0.15,0.4,0.01,0.1,0.66
"38","2014 FIFA World Cup Brazil","PS3",2014,"Sports","Electronic Arts",0.15,0.39,0.01,0.16,0.71
"39","2014 FIFA World Cup Brazil","X360",2014,"Sports","EA Sports",0.15,0.25,0,0.03,0.44
"40","2014 FIFA World Cup Brazil","X360",2014,"Sports","Electronic Arts",0.14,0.28,0,0.04,0.47
"41","27 Ball Funky Pool","XBL",2011,"Sports","Microsoft",0,0,0,0,0
"42","2Xtreme","PS",1996,"Sports","Sony Computer Entertainment",1.15,0.2,0,0.05,1.4
"43","2Xtreme","PSN",2007,"Sports","Sony Computer Entertainment",0,0,0,0,0
"44","3 on 3 NHL Arcade","PSN",2009,"Sports","Electronic Arts",0,0,0,0,0
"45","3 on 3 NHL Arcade","XBL",2009,"Sports","Electronic Arts",0,0,0,0,0
"46","3-in-1 Sports Pack","GBA",2005,"Sports","Majesco",0,0,0,0,0
"47","3D Baseball","PS",1996,"Sports","BMG Interactive Entertainment",0.02,0.01,0,0,0.03
"48","3D Baseball","PS",1996,"Sports","Mindscape",0.02,0.01,0,0,0.03
"49","3D Baseball","SAT",1996,"Sports","Mindscape",0,0,0,0,0
"50","3D MiniGolf","NS",2018,"Sports","Merge Games",0,0,0,0,0
"51","3D Ultra MiniGolf Adventures","PC",2006,"Sports","Activision",0,0,0,0,0
"52","3D Ultra MiniGolf Adventures","XBL",2007,"Sports","Sierra Online",0,0,0,0,0
"53","3D Ultra MiniGolf Adventures 2","PSN",2010,"Sports","Konami",0,0,0,0,0
"54","3D Ultra MiniGolf Adventures 2","XBL",2010,"Sports","Konami",0,0,0,0,0
"55","3on3 FreeStyle","PC",2018,"Sports","Unknown",0,0,0,0,0
"56","4-4-2 Soccer","PS",1997,"Sports","Virgin Interactive",0,0,0,0,0
"57","442 Fuball Manager","PC",2002,"Sports","SCi",0,0,0,0,0
"58","4D Boxing","PC",1991,"Sports","Mindscape",0,0,0,0,0
"59","720","GB",1999,"Sports","Midway Games",0,0,0,0,0
"60","720 Degrees","NES",1989,"Sports","Mindscape",0,0,0,0,0
"61","8 to Glory: The Official Game of the PBR","PS4",2018,"Sports","THQ Nordic",0.03,0,0,0.01,0.04
"62","8 to Glory: The Official Game of the PBR","XOne",2018,"Sports","THQ Nordic",0.02,0,0,0,0.02
"63","8Ball Allstars","DS",2010,"Sports","O-Games",0,0,0,0,0
"64","90 Minutes: European Prime Goal","SNES",1995,"Sports","Ocean",0,0,0,0,0
"65","90 Minutes: Sega Championship Football","DC",2001,"Sports","Sega",0,0,0,0,0
"66","A Game About My Cat","XBL",2011,"Sports","Microsoft",0,0,0,0,0
"67","A.I.R. Play","XBL",2009,"Sports","Microsoft",0,0,0,0,0
"68","Aa Harimadana","GEN",1993,"Sports","Sega",0,0,0,0,0
"69","AaaaaAAaaaAAAaaAAAAaAAAAA!!! A Reckless Disregard for Gravity","PC",2009,"Sports","Dejobaan Games",0,0,0,0,0
"70","Aaron vs. Ruth","PC",1997,"Sports","Mindscape",0,0,0,0,0
"71","ABC Monday Night Football","PC",NA,"Sports","Unknown",0,0,0,0,0
"72","ABC Monday Night Football '98","PC",1997,"Sports","Unknown",0,0,0,0,0
"73","ABC's Monday Night Football","SNES",1993,"Sports","Data East",0,0,0,0,0
"74","ABC's Wide World of Sport Boxing","PC",1991,"Sports","Data East",0,0,0,0,0
"75","Absolute Baseball","DSiW",2011,"Sports","Tasuke",0,0,0,0,0
"76","ACA NEOGEO 2020 SUPER BASEBALL","NS",2018,"Sports","Hamster Corporation",0,0,0,0,0
"77","ACA NEOGEO 2020 SUPER BASEBALL","PS4",2017,"Sports","Hamster Corporation",0,0,0,0,0
"78","ACA NEOGEO 2020 SUPER BASEBALL","XOne",2017,"Sports","Hamster Corporation",0,0,0,0,0
"79","ACA NEOGEO BASEBALL STARS PROFESSIONAL","NS",2018,"Sports","Hamster Corporation",0,0,0,0,0
"80","ACA NEOGEO BASEBALL STARS PROFESSIONAL","XOne",2018,"Sports","Hamster Corporation",0,0,0,0,0
"81","ACA NEOGEO LEAGUE BOWLING","NS",2018,"Sports","Hamster Corporation",0,0,0,0,0
"82","ACA NEOGEO LEAGUE BOWLING","XOne",2018,"Sports","Hamster Corporation",0,0,0,0,0
"83","ACA NEOGEO NEO TURF MASTERS","NS",2017,"Sports","Hamster Corporation",0,0,0,0,0
