"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","101 Airborne: The Airborne Invasion of Normandy","PC",1998,"Strategy","Empire Interactive",0,0,0,0,0
"2","1100AD: Domination","PC",2014,"Strategy","Nikita",0,0,0,0,0
"3","12 Labours of Hercules","PC",2015,"Strategy","Jetdogs Studios",0,0,0,0,0
"4","12 Labours of Hercules II: The Cretan Bull","PC",2005,"Strategy","Unknown",0,0,0,0,0
"5","12 Labours of Hercules III: Girl Power","PC",2015,"Strategy","Jetdogs Studios",0,0,0,0,0
"6","12 Labours of Hercules IV: Mother Nature","PC",2015,"Strategy","Jetdogs Studios",0,0,0,0,0
"7","12 Labours of Hercules V: Kids of Hellas","PC",2016,"Strategy","Jetdogs Studios",0,0,0,0,0
"8","12 Labours of Hercules VI: Race for Olympus","PC",2016,"Strategy","Jetdogs Studios",0,0,0,0,0
"9","12 Labours of Hercules VII: Fleecing the Fleece","PC",2018,"Strategy","Jetdogs Studios",0,0,0,0,0
"10","12 Labours of Hercules VIII: How I Met Megara","PC",2018,"Strategy","Jetdogs Studios",0,0,0,0,0
"11","1552 Tenka Dairan","PCE",1993,"Strategy","ASK",0,0,0,0,0
"12","1914: The Great War","PC",2002,"Strategy","JoWood Productions",0,0,0,0,0
"13","3-D Tic-Tac-Toe","2600",1978,"Strategy","Atari",0,0,0,0,0
"14","300 Dwarves","PC",2013,"Strategy","Viva Media",0,0,0,0,0
"15","7th Legion","PC",1997,"Strategy","Atari",0,0,0,0,0
"16","8-Bit Armies","NS",2019,"Strategy","Soedesco",0,0,0,0,0
"17","8-Bit Armies","PC",2018,"Strategy","Soedesco",0,0,0,0,0
"18","8-Bit Armies","PS4",2018,"Strategy","Soedesco",0.03,0,0,0.01,0.03
"19","8-Bit Armies","XOne",2018,"Strategy","Soedesco",0.03,0,0,0,0.03
"20","9th Company: Roots of Terror","PC",2008,"Strategy","Noviy Disk",0,0,0,0,0
"21","A Game of Thrones - Genesis","PC",1996,"Strategy","Unknown",0,0,0,0,0
"22","A Game of Thrones: Genesis","PC",2011,"Strategy","Focus Home Interactive",0,0.03,0,0.01,0.04
"23","A Kingdom for Keflings","PC",2010,"Strategy","NinjaBee",0,0,0,0,0
"24","A Line in the Sand","PC",1992,"Strategy","SSI",0,0,0,0,0
"25","A Monsteca Corral: Monsters vs. Robots","WW",2010,"Strategy","Unknown",0,0,0,0,0
"26","A World of Keflings: It Came From Outer Space","XBL",2011,"Strategy","NinjaBee",0,0,0,0,0
"27","A-10 Tank Killer","PC",1989,"Strategy","Dynamix",0,0,0,0,0
"28","A-Train","PS",1996,"Strategy","Maxis",0.02,0.01,0.04,0.01,0.08
"29","A-Train 6","PS2",2000,"Strategy","Midas Interactive Entertainment",0,0,0.06,0,0.06
"30","A-Train 6","PS2",2004,"Strategy","Midas Interactive Entertainment",0,0,0.06,0,0.06
"31","A. IV Evolution: A Ressha de Ikou 4","PS",1994,"Strategy","ArtDink",0,0,0.24,0.02,0.25
"32","A5: A Ressha de Ikou 5","PS",1997,"Strategy","ArtDink",0,0,0,0,0
"33","ABPA Backgammon","Int",1980,"Strategy","Mattel Electronics",0,0,0,0,0
"34","Achron","PC",2011,"Strategy","Unknown",0,0,0,0,0
"35","Achtung Panzer: Kharkov 1943","PC",2010,"Strategy","Mamba Games",0,0.01,0,0,0.02
"36","Achtung Panzer: Kharkov 1943","PC",2010,"Strategy","Paradox Interactive",0,0.01,0,0,0.02
"37","Achtung! Cthulhu Tactics","NS",2017,"Strategy","Unknown",0,0,0,0,0
"38","Achtung! Cthulhu Tactics","PC",NA,"Strategy","Unknown",0,0,0,0,0
"39","Achtung! Cthulhu Tactics","PS4",2017,"Strategy","Unknown",0,0,0,0,0
"40","Achtung! Cthulhu Tactics","XOne",2017,"Strategy","Unknown",0,0,0,0,0
"41","ACORN Tactics","NS",2017,"Strategy","TACS Games",0,0,0,0,0
"42","Act of Aggression","PC",2015,"Strategy","Focus Home Interactive",0,0.01,0,0,0.01
"43","Act of War: Direct Action","PC",2005,"Strategy","Atari",0,0,0,0,0
"44","Act of War: High Treason","PC",2006,"Strategy","Atari",0,0,0,0,0
"45","Advance Wars","GBA",2001,"Strategy","Nintendo",0.5,0.19,0,0.01,0.7
"46","Advance Wars 2: Black Hole Rising","GBA",2003,"Strategy","Nintendo",0.47,0.17,0,0.01,0.65
"47","Advance Wars: Days of Ruin","DS",2008,"Strategy","Nintendo",0.43,0.13,0,0.05,0.61
"48","Advance Wars: Days of Ruin","DS",NA,"Strategy","Nintendo",0.44,0.13,0,0.06,0.63
"49","Advance Wars: Dual Strike","DS",2005,"Strategy","Nintendo",0.3,0.03,0.04,0.03,0.4
"50","Advanced Civilization","PC",1995,"Strategy","Unknown",0,0,0,0,0
"51","Advanced Daisenryaku 2001","DC",2001,"Strategy","Sega",0,0,0,0,0
"52","Advanced Daisenryaku: Deutsch Dengekisakusen","GEN",1991,"Strategy","Sega",0,0,0,0,0
"53","Advanced Daisenryaku: Europe no Arashi - Doitsu Dengeki Sakusen","DC",2000,"Strategy","Sega",0,0,0,0,0
"54","Advanced Tactics Gold","OSX",2011,"Strategy","Slitherine Studios",0,0,0,0,0
"55","Advanced Tactics Gold","PC",2011,"Strategy","Slitherine",0,0,0,0,0
"56","Aerobiz","GEN",1992,"Strategy","KOEI",0,0,0,0,0
"57","Aerobiz","SNES",1993,"Strategy","KOEI",0,0,0,0,0
"58","Aerobiz Supersonic","GEN",1994,"Strategy","KOEI",0,0,0,0,0
"59","Aerobiz Supersonic","SNES",1994,"Strategy","KOEI",0,0,0,0,0
"60","Afraid Gear","PS",1998,"Strategy","Asmik Ace Entertainment",0,0,0,0,0
"61","Afraid Gear Another","PS",2001,"Strategy","Office Create",0,0,0,0,0
"62","Against Rome","PC",2004,"Strategy","Encore",0,0,0,0,0
"63","Age of Booty","PC",2009,"Strategy","Capcom",0,0,0,0,0
"64","Age of Booty","PSN",2008,"Strategy","Capcom",0,0,0,0,0
"65","Age of Booty","XBL",2008,"Strategy","Capcom",0,0,0,0,0
"66","Age of Cavemen","PC",2019,"Strategy","Unknown",0,0,0,0,0
"67","Age of Empires","PC",1997,"Strategy","Microsoft",0.01,0,0,0,0.01
