"","Global_Sales"
"18",0.03
"19",0.03
"22",0.04
"28",0.08
"29",0.06
"30",0.06
"31",0.25
"35",0.02
"36",0.02
"42",0.01
"45",0.7
"46",0.65
"47",0.61
"48",0.63
"49",0.4
"67",0.01
"70",0.09
"71",0.1
"74",0.39
"75",0.17
"76",0.03
"77",0.07
"79",0.06
"84",0.14
"85",0.14
"87",0.22
"88",0.22
"89",0.23
"91",0.09
"92",0.01
"93",0.06
"128",0.01
"129",0.01
"133",0.19
"134",0.08
"138",0.19
"140",0.06
"156",0.04
"157",0.04
"170",1.45
"171",0.25
"187",0.02
"192",0.02
"197",0.07
"198",0.07
"200",0.11
"222",0.06
"223",0.06
"236",0.09
"251",0.4
"252",0.35
"261",0.18
"267",0.01
"268",0.04
"269",0.04
"273",0.83
"275",0.2
"276",0.63
"278",0.27
"285",0.78
"289",0.01
"290",0.01
"291",0.01
"292",0.01
"295",0.01
"306",0.12
"313",0.01
"314",0.26
"316",0.03
"317",0.33
"324",0.07
"325",0.01
"337",0.04
"338",0.09
"339",0.01
"341",0.08
"348",0.03
"349",0.02
"353",0.01
"354",0.01
"384",0.09
"390",0.01
"391",0.01
"398",0.03
"399",0.04
"400",0.04
"401",0.04
"414",0.06
"415",0.09
"416",0.11
"417",0.11
"419",0.02
"420",0.02
"440",0.03
"453",0.04
"454",0.04
"458",0.09
"459",0.09
"469",0.15
"470",0.15
"479",0.09
"481",0.02
"482",0.02
"485",0.07
"486",0.04
"493",0.05
"494",0.04
"495",0.28
"511",0.22
"512",0.03
"514",0.01
"516",0.01
"526",0.03
"529",0.39
"531",0.27
"533",0.4
"534",0.4
"537",0.02
"538",0.02
"539",0.24
"540",0.07
"541",0.43
"543",0.02
"544",0.02
"550",0.01
"554",2.85
"555",0.41
"556",0.41
"558",1.34
"559",0.67
"560",0.45
"561",0.46
"562",0.37
"564",0.7
"571",0.02
"572",1.55
"578",0.03
"582",0.18
"583",0.07
"584",0.02
"587",0.05
"588",0.36
"589",0.18
"590",0.04
"591",0.04
