"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","428: Shibuya Scramble","PS4",2018,"Visual Novel","Spike Chunsoft",0.01,0,0.01,0,0.02
"2","ã˜ã‚“ã‚‹ã„ã®ã¿ãªã•ã¾ã¸","NS",NA,"Visual Novel","Unknown",0,0,0,0,0
"3","Amaekata wa Kanojo Nari ni.","PSV",2017,"Visual Novel","Entergram",0,0,0.01,0,0.01
"4","Amatsutsumi","PSV",2018,"Visual Novel","Prototype",0,0,0.01,0,0.01
"5","Amnesia Later","PSP",2012,"Visual Novel","Idea Factory",0,0,0.05,0,0.05
"6","Amnesia: Crowd","PSP",2013,"Visual Novel","Idea Factory",0,0,0.05,0,0.05
"7","Analogue: A Hate Story","PC",2012,"Visual Novel","Love Conquers All Games",0,0,0,0,0
"8","Aokana: Four Rhythm Across the Blue","NS",2018,"Visual Novel","Sprite",0,0,0,0,0
"9","Aokana: Four Rhythm Across the Blue","PS4",2017,"Visual Novel","Sprite",0,0,0.03,0,0.03
"10","Aokana: Four Rhythm Across the Blue","PSV",2016,"Visual Novel","Sprite",0,0,0.05,0,0.05
"11","Bakemonogatari Portable","PSP",2012,"Visual Novel","Namco Bandai Games",0,0,0.05,0,0.05
"12","Boku to Nurse no Kenshuu Nisshi","PC",2018,"Visual Novel","Entergram",0,0,0,0,0
"13","Boku to Nurse no Kenshuu Nisshi","PS4",2018,"Visual Novel","Entergram",0,0,0,0,0
"14","Boku to Nurse no Kenshuu Nisshi","PSV",2018,"Visual Novel","Entergram",0,0,0,0,0
"15","Bury Me, My Love","NS",2019,"Visual Novel","Plug In Digital",0,0,0,0,0
"16","Cafe Cuillere","PSV",2018,"Visual Novel","Takuyo",0,0,0.01,0,0.01
"17","Cendrillon palikA","NS",2018,"Visual Novel","Idea Factory",0,0,0,0,0
"18","Chaos;Child","PC",2019,"Visual Novel","Spike Chunsoft",0,0,0,0,0
"19","Chaos;Child","PS3",2015,"Visual Novel","5pb",0,0,0.02,0,0.02
"20","Chaos;Child","PS4",2017,"Visual Novel","PQube",0,0,0.02,0,0.02
"21","Chaos;Child","PSV",2017,"Visual Novel","PQube",0,0,0.07,0,0.07
"22","Chaos;Child","XOne",2014,"Visual Novel","5pb",0,0,0,0,0
"23","Chaos;Child: Love Chu Chu!!","PS4",2017,"Visual Novel","5pb",0,0,0.01,0,0.01
