"","Global_Sales"
"1",0.02
"3",0.01
"4",0.01
"5",0.05
"6",0.05
"9",0.03
"10",0.05
"11",0.05
"16",0.01
"19",0.02
"20",0.02
"21",0.07
"23",0.01
"24",0.01
"25",0.01
"29",0.01
"32",0.03
"33",0.02
"38",0.01
"39",0.05
"43",0.01
"44",0.01
"45",0.02
"46",0.02
"53",0.12
"54",0.06
"63",0.01
"69",0.01
"72",0.05
"75",0.01
"84",0.02
"86",0.07
"89",0.01
"99",0.04
"101",0.01
"102",0.01
"104",0.02
"105",0.02
"106",0.01
"110",0.05
"113",0.01
"118",0.01
"119",0.05
"120",0.07
"122",0.01
"123",0.01
"124",0.01
"126",0.01
"127",0.01
"131",0.02
"147",0.05
"148",0.01
"158",0.02
"160",0.15
"161",0.04
"162",0.02
"164",0.02
"166",0.11
"167",0.02
"168",0.02
"172",0.03
"174",0.01
"181",0.01
"186",0.02
"187",0.01
"199",0.06
"200",0.19
"201",0.06
"202",0.02
"203",0.03
"204",0.01
"205",0.02
"206",0.06
"207",0.08
"209",0.06
"210",0.02
"214",0.01
"216",0.02
"217",0.15
"218",0.01
"226",0.07
"230",0.07
"231",0.01
"232",0.07
"233",0.08
"235",0.09
"236",0.04
"237",0.13
"238",0.1
"240",0.01
"242",0.01
"252",0.01
"256",0.05
"257",0.02
"258",0.01
"260",0.03
