"","Genre","n","total_NA_sales","total_EU_sales","total_JP_sales","total_Other_sales","total_Global_sales"
"1","Action",3529,596.67,307.46,83.39,128.43,1116.72
"2","Action-Adventure",32,0.49,0.37,0.09,0.03,0.99
"3","Adventure",2629,141.41,69.86,32.06,24.75,268.43
"4","Education",2,0,0,0,0,0
"5","Fighting",1015,166.52,75.48,45,30.32,317.33
"6","Misc",3535,324.99,161.11,72.94,64.52,624.28
"7","MMO",7,0.08,0.06,0.15,0.02,0.32
"8","Music",6,0.15,0.34,0.3,0.07,0.85
"9","Party",13,0.24,0.2,0.13,0.06,0.64
"10","Platform",1406,250.23,125.35,45.5,39.87,461.36
"11","Puzzle",1560,79.76,42.11,25.1,11.08,158.81
"12","Racing",1875,292.1,177.98,24.99,68.81,563.95
"13","Role-Playing",2159,224.79,102.67,183.66,35.43,546.45
"14","Sandbox",2,0,0,0,0,0
"15","Shooter",2206,327.39,158.3,13.3,54.75,553.99
"16","Simulation",1524,182.06,98,37.91,29.85,348.09
"17","Sports",3356,656.8,325.5,101.58,137,1221.29
"18","Strategy",1661,47.09,26.14,33.62,7.76,114.86
"19","Visual Novel",7,0,0,0.06,0,0.06
